,action,datetime,barcode,read_number
1603,Read,11/6/20 11:59,V004840B,11
1629,Read,11/6/20 12:41,V004839B,11
1655,Read,11/6/20 13:22,V004835B,11
1681,Read,11/6/20 14:10,V004837B,11
1707,Read,11/6/20 14:52,V004838B,11
1733,Read,11/6/20 17:58,V004836B,12
1759,Read,11/6/20 18:40,V004840B,12
1785,Read,11/6/20 19:22,V004839B,12
1811,Read,11/6/20 20:04,V004835B,12
1837,Read,11/6/20 20:52,V004837B,12
1863,Read,11/6/20 21:34,V004838B,12
1889,Read,11/7/20 0:40,V004836B,13
1915,Read,11/7/20 1:22,V004840B,13
1941,Read,11/7/20 2:04,V004839B,13
1967,Read,11/7/20 2:45,V004835B,13
1993,Read,11/7/20 3:33,V004837B,13
2019,Read,11/7/20 4:15,V004838B,13
2045,Read,11/7/20 7:21,V004836B,14
2071,Read,11/7/20 8:03,V004840B,14
2097,Read,11/7/20 8:45,V004839B,14
2123,Read,11/7/20 9:27,V004835B,14
2149,Read,11/7/20 10:15,V004837B,14
2175,Read,11/7/20 10:57,V004838B,14
2201,Read,11/7/20 14:03,V004836B,15
2227,Read,11/7/20 14:45,V004840B,15
2253,Read,11/7/20 15:27,V004839B,15
2279,Read,11/7/20 16:08,V004835B,15
2305,Read,11/7/20 16:56,V004837B,15
2331,Read,11/7/20 17:38,V004838B,15
2357,Read,11/7/20 20:44,V004836B,16
2383,Read,11/7/20 21:26,V004840B,16
2409,Read,11/7/20 22:08,V004839B,16
2435,Read,11/7/20 22:50,V004835B,16
2461,Read,11/7/20 23:38,V004837B,16
2487,Read,11/8/20 0:20,V004838B,16
2513,Read,11/8/20 3:26,V004836B,17
2539,Read,11/8/20 4:08,V004840B,17
2565,Read,11/8/20 4:50,V004839B,17
2591,Read,11/8/20 5:31,V004835B,17
2617,Read,11/8/20 6:19,V004837B,17
2643,Read,11/8/20 7:01,V004838B,17
2669,Read,11/8/20 10:07,V004836B,18
2695,Read,11/8/20 10:49,V004840B,18
2721,Read,11/8/20 11:31,V004839B,18
2747,Read,11/8/20 12:13,V004835B,18
2773,Read,11/8/20 13:01,V004837B,18
2799,Read,11/8/20 13:42,V004838B,18
2825,Read,11/8/20 16:48,V004836B,19
2851,Read,11/8/20 17:31,V004840B,19
2877,Read,11/8/20 18:12,V004839B,19
2903,Read,11/8/20 18:54,V004835B,19
2929,Read,11/8/20 19:42,V004837B,19
2955,Read,11/8/20 20:24,V004838B,19
2981,Read,11/8/20 23:30,V004836B,20
3007,Read,11/9/20 0:12,V004840B,20
3033,Read,11/9/20 0:54,V004839B,20
3059,Read,11/9/20 1:36,V004835B,20
3085,Read,11/9/20 2:23,V004837B,20
3111,Read,11/9/20 3:05,V004838B,20
3137,Read,11/9/20 6:11,V004836B,21
3163,Read,11/9/20 6:54,V004840B,21
3189,Read,11/9/20 7:35,V004839B,21
3215,Read,11/9/20 8:17,V004835B,21
3241,Read,11/9/20 9:05,V004837B,21
3267,Read,11/9/20 9:47,V004838B,21
3293,Read,11/9/20 12:53,V004836B,22
3319,Read,11/9/20 13:35,V004840B,22
3345,Read,11/9/20 14:17,V004839B,22
3371,Read,11/9/20 14:58,V004835B,22
3397,Read,11/9/20 15:46,V004837B,22
3423,Read,11/9/20 16:28,V004838B,22
3449,Read,11/9/20 19:34,V004836B,23
3475,Read,11/9/20 20:17,V004840B,23
3501,Read,11/9/20 20:58,V004839B,23
3527,Read,11/9/20 21:40,V004835B,23
3553,Read,11/9/20 22:28,V004837B,23
3579,Read,11/9/20 23:10,V004838B,23
3605,Read,11/10/20 2:15,V004836B,24
3631,Read,11/10/20 2:58,V004840B,24
3657,Read,11/10/20 3:40,V004839B,24
3683,Read,11/10/20 4:21,V004835B,24
3709,Read,11/10/20 5:09,V004837B,24
3735,Read,11/10/20 5:51,V004838B,24
3761,Read,11/10/20 8:57,V004836B,25
3787,Read,11/10/20 9:39,V004840B,25
3813,Read,11/10/20 10:21,V004839B,25
3839,Read,11/10/20 11:03,V004835B,25
3865,Read,11/10/20 11:51,V004837B,25
3891,Read,11/10/20 12:33,V004838B,25
