,TotHour,10um1,2.5um1,625nm1,156.25nm1,39nm1,9.76nm1,2.44nm1,0.61nm1,0.15nm1,DMSO1,10um2,2.5um2,625nm2,156.25nm2,39nm2,9.76nm2,2.44nm2,0.61nm2,0.15nm2,DMSO2,10um3,2.5um3,625nm3,156.25nm3,39nm3,9.76nm3,2.44nm3,0.61nm3,0.15nm3,DMSO3
0,0.0,19446,19769,20377,22050,24361,20125,25979,22727,23029,24201,20410,24506,24206,23873,27056,23688,23499,25468,24498,22438,22239,23312,24563,26183,21807,27639,23529,26849,23432,22283
1,29.68888888888889,12115,19502,23090,27358,31313,30011,33187,32073,30807,35434,13615,21655,28957,27844,34783,30746,31558,32449,33682,32774,15006,20586,28281,27002,26658,31336,32302,33458,32679,32045
2,44.26027777777778,10059,18486,22658,27512,32659,31430,35189,34180,32942,39074,11293,20202,27768,28824,36170,32600,34451,34988,35838,34891,11508,19808,28307,27389,29861,33112,34404,35252,34896,34547
3,46.03361111111111,9200,19089,22883,28063,32954,31891,34685,35596,33848,39282,10947,20461,27653,28214,35638,32763,34168,34495,35780,37790,10785,19776,27269,28218,29947,32944,34807,35383,35351,37478
4,54.73416666666667,7759,17433,21344,27027,32464,31822,34406,33348,31802,37856,9012,18670,27718,28443,35930,32861,33941,34225,35673,37094,9345,18261,27193,26952,30348,32808,34613,35118,35002,36893
5,68.00138888888888,5482,14443,18973,23807,30293,29877,31803,31062,29556,35581,6437,15610,23509,25165,33090,30838,31885,32364,31749,35393,7040,15969,23883,23520,28321,30813,33719,32442,32579,34240
6,79.075,4090,12060,16779,20693,28087,27926,29908,30649,28860,33311,4943,13704,20291,22304,30442,28644,29889,29482,30939,33035,4747,13423,20980,20684,26292,28302,30202,30017,31643,33630
7,94.90777777777778,2270,7904,13397,15862,23128,23336,24802,24572,24779,26171,2772,9762,16346,17675,25215,24823,25394,25461,25979,26551,2873,10211,16200,17156,22837,24347,25960,24866,26680,26522
8,107.17222222222223,1545,5956,11743,13871,21975,21412,23449,23522,23594,22518,1767,7506,13784,15809,22459,22186,23405,22851,22571,23939,2015,8169,14308,15059,20170,22935,24456,22853,24457,24936
9,120.03611111111111,1084,5005,10419,12810,18801,19784,19832,20586,19717,18702,1431,5731,11908,13909,19918,19683,19950,19972,20759,20458,1301,6218,12534,13653,18546,20626,21198,20510,21174,21997
