,TotHour,10um1,2.5um1,625nm1,156.25nm1,39nm1,9.76nm1,2.44nm1,0.61nm1,0.15nm1,DMSO1,10um2,2.5um2,625nm2,156.25nm2,39nm2,9.76nm2,2.44nm2,0.61nm2,0.15nm2,DMSO2,10um3,2.5um3,625nm3,156.25nm3,39nm3,9.76nm3,2.44nm3,0.61nm3,0.15nm3,DMSO3
0,0.0,20455,32412,23061,27734,24804,22937,24453,21887,25376,23402,19343,22882,24599,25168,25129,22474,23652,20409,24893,22155,19078,24842,24757,23020,24524,22184,25629,25037,25352,21274
1,29.68888888888889,8342,19555,22898,30070,28852,27874,31034,29219,32901,31444,8682,14531,25181,29131,29127,28790,29847,27358,32401,30563,8021,14637,25683,26696,30668,28654,34348,33917,34833,30011
2,44.26027777777778,5888,15619,21927,28552,27810,27904,32449,29775,34633,32805,5785,10906,23390,28431,27580,27801,30840,28577,33574,31885,4597,11812,23773,26940,29543,29279,34273,34950,35625,31374
3,46.03361111111111,5652,14253,21172,27600,26981,27436,29997,30196,34133,33016,5282,10828,23733,28163,27867,27869,31063,28677,34496,33364,4897,11095,23953,25814,28561,28826,35477,35711,37906,32622
4,54.73416666666667,4268,13055,20218,27888,26363,26984,32361,30562,33891,32639,3808,9188,21939,26841,27559,28557,31314,28600,34254,33523,3432,9702,22894,25248,27802,28243,33884,35418,37286,32482
5,68.00138888888888,2564,10548,17936,24769,23274,24944,29606,28353,30960,30941,2093,7576,19495,23739,23758,25002,29002,27500,31251,31829,1546,7806,18964,22225,24886,24559,32294,33178,33108,30096
6,79.075,1573,8842,16092,21095,20347,21629,26961,27543,30291,30494,1397,6555,15853,20682,20835,22268,26294,25797,29284,28775,1163,6340,15862,19423,21471,22566,28795,29632,30243,28143
7,94.90777777777778,1159,6705,12981,16865,16044,18139,23228,23695,24591,24296,1097,5093,12081,16696,16839,18195,22867,22038,24060,23564,951,5004,12238,14096,16464,17971,23598,24458,24372,22956
8,107.17222222222223,1009,5510,10545,15051,14148,16266,22014,21339,22807,21850,981,4212,10362,13910,14533,16741,20488,20365,20618,21578,1061,3829,10693,12368,14397,16343,21120,20902,20939,20249
9,120.03611111111111,1059,4667,9481,12790,12583,15228,19070,18946,18624,19473,921,3331,8801,12299,12496,15289,18589,17908,18548,18147,1000,3321,7865,10107,12584,15239,17824,18346,17251,17332
