,index,well,RLU,Cell_Line,Cell_Conc,Culture_Type,logRLU,logCC,CCfromLumMeas
0,2,B02,65922,H841,2000.0,Adherent,16.008472392493996,10.965784284662087,11.930588599624947
1,3,B03,26570,H841,1000.0,Adherent,14.697510607377868,9.965784284662087,10.153850459144833
2,4,B04,10864,H841,500.0,Adherent,13.407267764244732,8.965784284662087,8.40519256850077
3,5,B05,6331,H841,250.0,Adherent,12.628217680223434,7.965784284662087,7.349350961720244
4,6,B06,5590,H841,125.0,Adherent,12.448632567730552,6.965784284662087,7.105960404915988
5,7,B07,4083,H841,62.5,Adherent,11.99541385222515,5.965784284662087,6.491715972347327
6,10,B10,118396,DMS454,2000.0,Adherent,16.853260814883022,10.965784284662087,11.157789574059734
7,11,B11,63669,DMS454,1000.0,Adherent,15.958303484648056,9.965784284662087,10.16638695786362
8,12,B12,34028,DMS454,500.0,Adherent,15.054434738760843,8.965784284662087,9.165112585223737
9,13,B13,19233,DMS454,250.0,Adherent,14.231296194102123,7.965784284662087,8.25326832282492
10,14,B14,8233,DMS454,125.0,Adherent,13.007202510749742,6.965784284662087,6.897259897455558
11,15,B15,3541,DMS454,62.5,Adherent,11.789941128390916,5.965784284662087,5.54882005759392
12,16,B16,1925,DMS454,31.25,Adherent,10.910642730469625,4.965784284662087,4.5747638622138025
13,18,C02,64132,H841,2000.0,Adherent,15.968756778851928,10.965784284662087,11.876762281930885
14,19,C03,23753,H841,1000.0,Adherent,14.535822116647475,9.965784284662087,9.934715079594538
15,20,C04,7967,H841,500.0,Adherent,12.959820859580754,8.965784284662087,7.798770634328342
16,21,C05,6562,H841,250.0,Adherent,12.67991987851842,7.965784284662087,7.419422621093008
17,22,C06,4068,H841,125.0,Adherent,11.9901039638575,6.965784284662087,6.484519514531694
18,26,C10,77587,DMS454,2000.0,Adherent,16.243527323112847,10.965784284662087,10.482348009974622
19,27,C11,50349,DMS454,1000.0,Adherent,15.61967550416944,9.965784284662087,9.791266653887156
20,28,C12,33507,DMS454,500.0,Adherent,15.032174902293825,8.965784284662087,9.14045391227482
21,29,C13,21730,DMS454,250.0,Adherent,14.407400554068646,7.965784284662087,8.448350610321818
22,30,C14,16235,DMS454,125.0,Adherent,13.98681976417345,6.965784284662087,7.982445833258924
23,31,C15,8812,DMS454,62.5,Adherent,13.105253779700883,5.965784284662087,7.005877684332601
24,32,C16,2750,DMS454,31.25,Adherent,11.425215903299383,4.965784284662087,5.144790133336493
25,34,D02,43296,H841,2000.0,Adherent,15.401946123976536,10.965784284662087,11.1085674189064
26,35,D03,24065,H841,1000.0,Adherent,14.554648802852235,9.965784284662087,9.960230767251202
