,index,well,RLU,Cell_Line,Cell_Conc,Culture_Type,logRLU,logCC,CCfromLumMeas
27,36,D04,15883,H841,500.0,Adherent,13.955195815729942,8.965784284662087,9.147795959664064
28,37,D05,5450,H841,250.0,Adherent,12.41204051455165,7.965784284662087,7.056367428782307
29,38,D06,3090,H841,125.0,Adherent,11.593391122791736,6.965784284662087,5.946857132956375
30,39,D07,7537,H841,62.5,Adherent,12.879774677336927,5.965784284662087,7.690284554408148
31,40,D08,2488,H841,31.25,Adherent,11.280770770130603,4.965784284662087,5.523164764216445
32,42,D10,103713,DMS454,2000.0,Adherent,16.66223721584011,10.965784284662087,10.94618027219881
33,43,D11,58392,DMS454,1000.0,Adherent,15.833483105659585,9.965784284662087,10.028115281546638
34,44,D12,30016,DMS454,500.0,Adherent,14.873444112515376,8.965784284662087,8.964617461819786
35,45,D13,9515,DMS454,250.0,Adherent,13.215987941161384,7.965784284662087,7.128545138595924
36,46,D14,5044,DMS454,125.0,Adherent,12.30035256032822,6.965784284662087,6.114236096843738
37,47,D15,3000,DMS454,62.5,Adherent,11.550746785383243,5.965784284662087,5.283848880281077
38,48,D16,2603,DMS454,31.25,Adherent,11.345959596404112,4.965784284662087,5.056992751996107
39,50,E02,171449,H1048,2000.0,Adherent,17.38741996401658,10.965784284662087,11.252241181601685
40,51,E03,76382,H1048,1000.0,Adherent,16.22094507579039,9.965784284662087,9.85938843910871
41,52,E04,43257,H1048,500.0,Adherent,15.40064599318032,8.965784284662087,8.87989386240561
42,53,E05,21770,H1048,250.0,Adherent,14.410053787075569,7.965784284662087,7.697057365116505
43,54,E06,19089,H1048,125.0,Adherent,14.220453906972867,6.965784284662087,7.4706618244641305
44,55,E07,7668,H1048,62.5,Adherent,12.904634621668151,5.965784284662087,5.899481408442663
45,56,E08,7487,H1048,31.25,Adherent,12.870172039110212,4.965784284662087,5.858330670339583
46,58,E10,112664,CORL279,10000.0,Suspension,16.78166707319082,13.287712379549449,13.923605164374573
47,59,E11,21662,CORL279,5000.0,Suspension,14.402878829184385,12.287712379549449,11.650047326943856
48,60,E12,9652,CORL279,2500.0,Suspension,13.23661220021575,11.287712379549449,10.535372810829859
49,61,E13,6665,CORL279,1250.0,Suspension,12.702389159976336,10.287712379549449,10.024782184222953
50,62,E14,5085,CORL279,625.0,Suspension,12.312032058744862,9.287712379549449,9.651693302042
51,66,F02,190583,H1048,2000.0,Adherent,17.54005991105343,10.965784284662087,11.43450397267433
52,67,F03,80764,H1048,1000.0,Adherent,16.301424744370102,9.965784284662087,9.955486801986147
53,68,F04,39429,H1048,500.0,Adherent,15.266969500765263,8.965784284662087,8.720274764775239
54,69,F05,20332,H1048,250.0,Adherent,14.311464515448444,7.965784284662087,7.579334867399436
55,70,F06,15730,H1048,125.0,Adherent,13.941231050303049,6.965784284662087,7.137250170595878
56,74,F10,113910,CORL279,10000.0,Suspension,16.79753487922761,13.287712379549449,13.938771026602398
57,75,F11,24491,CORL279,5000.0,Suspension,14.579964061805237,12.287712379549449,11.819298843775083
58,76,F12,16488,CORL279,2500.0,Suspension,14.009128789539256,11.287712379549449,11.273715599695999
59,77,F13,8343,CORL279,1250.0,Suspension,13.026350530067843,10.287712379549449,10.334412481855425
60,78,F14,4064,CORL279,625.0,Suspension,11.988684686772165,9.287712379549449,9.342649841106198
61,79,F15,4146,CORL279,312.5,Suspension,12.017504401109415,8.287712379549449,9.370194658333649
62,82,G02,171594,H1048,2000.0,Adherent,17.388639582509814,10.965784284662087,11.253697491531922
63,83,G03,93475,H1048,1000.0,Adherent,16.512292945632893,9.965784284662087,10.207278208211847
64,84,G04,36235,H1048,500.0,Adherent,15.145096273872104,8.965784284662087,8.574749593142322
65,85,G05,14358,H1048,250.0,Adherent,13.809567182259656,7.965784284662087,6.980034287474429
66,86,G06,11900,H1048,125.0,Adherent,13.538673953082668,6.965784284662087,6.656568792425743
67,87,G07,9278,H1048,62.5,Adherent,13.179598130849836,5.965784284662087,6.227807102990267
68,88,G08,3835,H1048,31.25,Adherent,11.905010862390295,4.965784284662087,4.705860603893194
69,90,G10,124911,CORL279,10000.0,Suspension,16.930541004598595,13.287712379549449,14.065893362743672
70,91,G11,23358,CORL279,5000.0,Suspension,14.511629130068439,12.287712379549449,11.753986843006649
71,92,G12,13390,CORL279,2500.0,Suspension,13.708868340211673,11.287712379549449,10.986737765683571
72,93,G13,8623,CORL279,1250.0,Suspension,13.073974164666751,10.287712379549449,10.379929390711055
73,94,G14,2291,CORL279,625.0,Suspension,11.161761743304675,9.287712379549449,8.552307470864223
74,98,H02,67833,DMS114,2000.0,Adherent,16.049699678779238,10.965784284662087,11.327606633059906
75,99,H03,24419,DMS114,1000.0,Adherent,14.575716500244098,9.965784284662087,9.812110962971555
76,100,H04,10849,DMS114,500.0,Adherent,13.405274448806429,8.965784284662087,8.60870519357469
77,101,H05,6090,DMS114,250.0,Adherent,12.572226512793694,7.965784284662087,7.752195731059652
78,102,H06,3351,DMS114,125.0,Adherent,11.71037597120447,6.965784284662087,6.866072481444403
79,106,H10,16059,H524,10000.0,Suspension,13.97109443803615,13.287712379549449,14.148272772528346
80,107,H11,3080,H524,5000.0,Suspension,11.588714635582264,12.287712379549449,12.031599351157713
81,108,H12,2308,H524,2500.0,Suspension,11.172427508645482,11.287712379549449,11.661740650904195
82,114,I02,55941,DMS114,2000.0,Adherent,15.771618423176676,10.965784284662087,11.04169364237216
83,115,I03,26491,DMS114,1000.0,Adherent,14.693214684102989,9.965784284662087,9.93291830424553
84,116,I04,14276,DMS114,500.0,Adherent,13.801304186049023,8.965784284662087,9.015888505268821
85,117,I05,3592,DMS114,250.0,Adherent,11.810571634741146,7.965784284662087,6.969090003260607
86,118,I06,4072,DMS114,125.0,Adherent,11.991521846075695,6.965784284662087,7.155136401735531
87,122,I10,7315,H524,10000.0,Suspension,12.836642149025849,13.287712379549449,13.14034573860712
88,123,I11,2500,H524,5000.0,Suspension,11.287712379549449,12.287712379549449,11.764167821365103
89,124,I12,1888,H524,2500.0,Suspension,10.88264304936184,11.287712379549449,11.404275799053051
90,130,J02,59987,DMS114,2000.0,Adherent,15.872362262476928,10.965784284662087,11.145274778487526
91,131,J03,27368,DMS114,1000.0,Adherent,14.7402023887679,9.965784284662087,9.981229346056626
92,132,J04,11570,DMS114,500.0,Adherent,13.498101243994853,8.965784284662087,8.70414631408737
93,133,J05,9160,DMS114,250.0,Adherent,13.161131882984307,7.965784284662087,8.35768672418117
94,134,J06,6362,DMS114,125.0,Adherent,12.635264656539514,6.965784284662087,7.817009248125796
95,138,J10,6898,H524,10000.0,Suspension,12.751962413460854,13.287712379549449,13.065110318371229
96,139,J11,3214,H524,5000.0,Suspension,11.650154213675094,12.287712379549449,12.086186584408837
97,146,K02,332070,DMS53,2000.0,Adherent,18.34112786663541,10.965784284662087,11.054147897638103
98,147,K03,178822,DMS53,1000.0,Adherent,17.448164712850765,9.965784284662087,10.109920971044179
99,148,K04,120887,DMS53,500.0,Adherent,16.883299582183987,8.965784284662087,9.512627718787325
100,149,K05,48701,DMS53,250.0,Adherent,15.571663775681072,7.965784284662087,8.125692724733279
101,150,K06,15066,DMS53,125.0,Adherent,13.879008813992655,6.965784284662087,6.335864795680276
102,151,K07,9611,DMS53,62.5,Adherent,13.230470832204706,5.965784284662087,5.650095150283748
103,152,K08,7801,DMS53,31.25,Adherent,12.929443357684196,4.965784284662087,5.331786107091826
104,154,K10,25372,H526,10000.0,Suspension,14.63094962683287,13.287712379549449,13.74912153353046
105,155,K11,9619,H526,5000.0,Suspension,13.231671202562785,12.287712379549449,12.186598167307436
106,156,K12,4846,H526,2500.0,Suspension,12.242578689451346,11.287712379549449,11.082114501807444
107,157,K13,3342,H526,1250.0,Suspension,11.706496018061188,10.287712379549449,10.483490464056468
108,158,K14,1493,H526,625.0,Suspension,10.543998450134541,9.287712379549449,9.185371675431297
109,162,L02,276799,DMS53,2000.0,Adherent,18.078479205353478,10.965784284662087,10.776420941979126
110,163,L03,181326,DMS53,1000.0,Adherent,17.46822627972674,9.965784284662087,10.131134244574755
111,164,L04,89721,DMS53,500.0,Adherent,16.4531580798555,8.965784284662087,9.057792391010663
112,165,L05,31344,DMS53,250.0,Adherent,14.935901682267588,7.965784284662087,7.453432413695285
113,166,L06,19570,DMS53,125.0,Adherent,14.256356135514165,6.965784284662087,6.734875102151033
114,167,L07,11324,DMS53,62.5,Adherent,13.467096033905747,5.965784284662087,5.900304675738284
115,168,L08,7944,DMS53,31.25,Adherent,12.955649907528374,4.965784284662087,5.359497138516944
116,170,L10,26573,H526,10000.0,Suspension,14.697673491864151,13.287712379549449,13.823629648847447
117,171,L11,9846,H526,5000.0,Suspension,13.26532202423487,12.287712379549449,12.22417481698862
118,172,L12,4119,H526,2500.0,Suspension,12.008078410868256,11.287712379549449,10.820256562517756
119,173,L13,2036,H526,1250.0,Suspension,10.991521846075695,10.287712379549449,9.68510478855658
120,174,L14,3664,H526,625.0,Suspension,11.839203788096944,9.287712379549449,10.631680408218857
121,178,M02,431950,DMS53,2000.0,Adherent,18.720504798569003,10.965784284662087,11.455304331632107
122,179,M03,141003,DMS53,1000.0,Adherent,17.105366332373503,9.965784284662087,9.747443012275589
123,180,M04,57665,DMS53,500.0,Adherent,15.81540831458663,8.965784284662087,8.383430298640336
124,181,M05,40180,DMS53,250.0,Adherent,15.294189943620655,7.965784284662087,7.832289505858884
125,182,M06,26344,DMS53,125.0,Adherent,14.685186796595348,6.965784284662087,7.188324335107377
126,183,M07,12644,DMS53,62.5,Adherent,13.626165319904498,5.965784284662087,6.0685059082275625
127,184,M08,6582,DMS53,31.25,Adherent,12.68431031112435,4.965784284662087,5.072580313237055
128,186,M10,21027,H526,10000.0,Suspension,14.359955409654331,13.287712379549449,13.446512139210911
129,187,M11,7026,H526,5000.0,Suspension,12.778487861222372,12.287712379549449,11.680544798838758
130,188,M12,5819,H526,2500.0,Suspension,12.506555530751323,11.287712379549449,11.376887847496755
131,189,M13,1876,H526,1250.0,Suspension,10.873444112515376,10.287712379549449,9.553251674466797
132,190,M14,1692,H526,625.0,Suspension,10.72451385311995,9.287712379549449,9.38694666596615
