"expt.date","cell.line","time","uid","well","cell.count","cell.count.pyseg","drug1","drug1.conc","drug1.units"
"2020-09-17","NCIH1048",0,"B02","B02",90,19,"TAK-901",1e-05,"M"
"2020-09-17","NCIH1048",29.6888888888889,"B02","B02",257,137,"TAK-901",1e-05,"M"
"2020-09-17","NCIH1048",44.2602777777778,"B02","B02",316,159,"TAK-901",1e-05,"M"
"2020-09-17","NCIH1048",46.0336111111111,"B02","B02",317,156,"TAK-901",1e-05,"M"
"2020-09-17","NCIH1048",54.7341666666667,"B02","B02",340,168,"TAK-901",1e-05,"M"
"2020-09-17","NCIH1048",68.0013888888889,"B02","B02",341,165,"TAK-901",1e-05,"M"
"2020-09-17","NCIH1048",79.075,"B02","B02",364,174,"TAK-901",1e-05,"M"
"2020-09-17","NCIH1048",94.9077777777778,"B02","B02",423,174,"TAK-901",1e-05,"M"
"2020-09-17","NCIH1048",107.172222222222,"B02","B02",335,168,"TAK-901",1e-05,"M"
"2020-09-17","NCIH1048",120.036111111111,"B02","B02",354,167,"TAK-901",1e-05,"M"
"2020-09-17","NCIH1048",0,"B03","B03",48,16,"TAK-901",2.5e-06,"M"
"2020-09-17","NCIH1048",29.6888888888889,"B03","B03",201,106,"TAK-901",2.5e-06,"M"
"2020-09-17","NCIH1048",44.2602777777778,"B03","B03",268,144,"TAK-901",2.5e-06,"M"
"2020-09-17","NCIH1048",46.0336111111111,"B03","B03",275,147,"TAK-901",2.5e-06,"M"
"2020-09-17","NCIH1048",54.7341666666667,"B03","B03",331,164,"TAK-901",2.5e-06,"M"
"2020-09-17","NCIH1048",68.0013888888889,"B03","B03",357,174,"TAK-901",2.5e-06,"M"
"2020-09-17","NCIH1048",79.075,"B03","B03",403,178,"TAK-901",2.5e-06,"M"
"2020-09-17","NCIH1048",94.9077777777778,"B03","B03",410,180,"TAK-901",2.5e-06,"M"
"2020-09-17","NCIH1048",107.172222222222,"B03","B03",397,171,"TAK-901",2.5e-06,"M"
"2020-09-17","NCIH1048",120.036111111111,"B03","B03",389,160,"TAK-901",2.5e-06,"M"
"2020-09-17","NCIH1048",0,"B04","B04",69,11,"TAK-901",6.25e-07,"M"
"2020-09-17","NCIH1048",29.6888888888889,"B04","B04",184,59,"TAK-901",6.25e-07,"M"
"2020-09-17","NCIH1048",44.2602777777778,"B04","B04",210,84,"TAK-901",6.25e-07,"M"
"2020-09-17","NCIH1048",46.0336111111111,"B04","B04",223,92,"TAK-901",6.25e-07,"M"
"2020-09-17","NCIH1048",54.7341666666667,"B04","B04",274,97,"TAK-901",6.25e-07,"M"
"2020-09-17","NCIH1048",68.0013888888889,"B04","B04",308,122,"TAK-901",6.25e-07,"M"
"2020-09-17","NCIH1048",79.075,"B04","B04",360,123,"TAK-901",6.25e-07,"M"
"2020-09-17","NCIH1048",94.9077777777778,"B04","B04",376,130,"TAK-901",6.25e-07,"M"
"2020-09-17","NCIH1048",107.172222222222,"B04","B04",364,124,"TAK-901",6.25e-07,"M"
"2020-09-17","NCIH1048",120.036111111111,"B04","B04",410,129,"TAK-901",6.25e-07,"M"
"2020-09-17","NCIH1048",0,"B05","B05",108,15,"TAK-901",1.5625e-07,"M"
"2020-09-17","NCIH1048",29.6888888888889,"B05","B05",186,61,"TAK-901",1.5625e-07,"M"
"2020-09-17","NCIH1048",44.2602777777778,"B05","B05",238,97,"TAK-901",1.5625e-07,"M"
"2020-09-17","NCIH1048",46.0336111111111,"B05","B05",265,100,"TAK-901",1.5625e-07,"M"
"2020-09-17","NCIH1048",54.7341666666667,"B05","B05",316,111,"TAK-901",1.5625e-07,"M"
"2020-09-17","NCIH1048",68.0013888888889,"B05","B05",423,139,"TAK-901",1.5625e-07,"M"
"2020-09-17","NCIH1048",79.075,"B05","B05",473,147,"TAK-901",1.5625e-07,"M"
"2020-09-17","NCIH1048",94.9077777777778,"B05","B05",482,159,"TAK-901",1.5625e-07,"M"
"2020-09-17","NCIH1048",107.172222222222,"B05","B05",515,169,"TAK-901",1.5625e-07,"M"
"2020-09-17","NCIH1048",120.036111111111,"B05","B05",471,162,"TAK-901",1.5625e-07,"M"
"2020-09-17","NCIH1048",0,"B06","B06",167,17,"TAK-901",3.90625e-08,"M"
"2020-09-17","NCIH1048",29.6888888888889,"B06","B06",295,70,"TAK-901",3.90625e-08,"M"
"2020-09-17","NCIH1048",44.2602777777778,"B06","B06",375,131,"TAK-901",3.90625e-08,"M"
"2020-09-17","NCIH1048",46.0336111111111,"B06","B06",425,141,"TAK-901",3.90625e-08,"M"
"2020-09-17","NCIH1048",54.7341666666667,"B06","B06",529,171,"TAK-901",3.90625e-08,"M"
"2020-09-17","NCIH1048",68.0013888888889,"B06","B06",592,211,"TAK-901",3.90625e-08,"M"
"2020-09-17","NCIH1048",79.075,"B06","B06",665,211,"TAK-901",3.90625e-08,"M"
"2020-09-17","NCIH1048",94.9077777777778,"B06","B06",793,228,"TAK-901",3.90625e-08,"M"
"2020-09-17","NCIH1048",107.172222222222,"B06","B06",778,242,"TAK-901",3.90625e-08,"M"
"2020-09-17","NCIH1048",120.036111111111,"B06","B06",817,222,"TAK-901",3.90625e-08,"M"
"2020-09-17","NCIH1048",0,"B07","B07",186,18,"TAK-901",9.765e-09,"M"
"2020-09-17","NCIH1048",29.6888888888889,"B07","B07",261,52,"TAK-901",9.765e-09,"M"
"2020-09-17","NCIH1048",44.2602777777778,"B07","B07",319,78,"TAK-901",9.765e-09,"M"
"2020-09-17","NCIH1048",46.0336111111111,"B07","B07",310,77,"TAK-901",9.765e-09,"M"
"2020-09-17","NCIH1048",54.7341666666667,"B07","B07",383,89,"TAK-901",9.765e-09,"M"
"2020-09-17","NCIH1048",68.0013888888889,"B07","B07",435,134,"TAK-901",9.765e-09,"M"
"2020-09-17","NCIH1048",79.075,"B07","B07",539,148,"TAK-901",9.765e-09,"M"
"2020-09-17","NCIH1048",94.9077777777778,"B07","B07",660,180,"TAK-901",9.765e-09,"M"
"2020-09-17","NCIH1048",107.172222222222,"B07","B07",749,223,"TAK-901",9.765e-09,"M"
"2020-09-17","NCIH1048",120.036111111111,"B07","B07",942,265,"TAK-901",9.765e-09,"M"
"2020-09-17","NCIH1048",0,"B08","B08",191,13,"TAK-901",2.44e-09,"M"
"2020-09-17","NCIH1048",29.6888888888889,"B08","B08",264,57,"TAK-901",2.44e-09,"M"
"2020-09-17","NCIH1048",44.2602777777778,"B08","B08",295,82,"TAK-901",2.44e-09,"M"
"2020-09-17","NCIH1048",46.0336111111111,"B08","B08",299,80,"TAK-901",2.44e-09,"M"
"2020-09-17","NCIH1048",54.7341666666667,"B08","B08",333,92,"TAK-901",2.44e-09,"M"
"2020-09-17","NCIH1048",68.0013888888889,"B08","B08",424,123,"TAK-901",2.44e-09,"M"
"2020-09-17","NCIH1048",79.075,"B08","B08",509,140,"TAK-901",2.44e-09,"M"
"2020-09-17","NCIH1048",94.9077777777778,"B08","B08",640,178,"TAK-901",2.44e-09,"M"
"2020-09-17","NCIH1048",107.172222222222,"B08","B08",738,221,"TAK-901",2.44e-09,"M"
"2020-09-17","NCIH1048",120.036111111111,"B08","B08",909,240,"TAK-901",2.44e-09,"M"
"2020-09-17","NCIH1048",0,"B09","B09",247,13,"TAK-901",6.1e-10,"M"
"2020-09-17","NCIH1048",29.6888888888889,"B09","B09",350,92,"TAK-901",6.1e-10,"M"
"2020-09-17","NCIH1048",44.2602777777778,"B09","B09",383,112,"TAK-901",6.1e-10,"M"
"2020-09-17","NCIH1048",46.0336111111111,"B09","B09",362,107,"TAK-901",6.1e-10,"M"
"2020-09-17","NCIH1048",54.7341666666667,"B09","B09",428,119,"TAK-901",6.1e-10,"M"
"2020-09-17","NCIH1048",68.0013888888889,"B09","B09",510,141,"TAK-901",6.1e-10,"M"
"2020-09-17","NCIH1048",79.075,"B09","B09",600,172,"TAK-901",6.1e-10,"M"
"2020-09-17","NCIH1048",94.9077777777778,"B09","B09",757,205,"TAK-901",6.1e-10,"M"
"2020-09-17","NCIH1048",107.172222222222,"B09","B09",900,253,"TAK-901",6.1e-10,"M"
"2020-09-17","NCIH1048",120.036111111111,"B09","B09",1169,289,"TAK-901",6.1e-10,"M"
"2020-09-17","NCIH1048",0,"B10","B10",205,12,"TAK-901",1.5e-10,"M"
"2020-09-17","NCIH1048",29.6888888888889,"B10","B10",260,77,"TAK-901",1.5e-10,"M"
"2020-09-17","NCIH1048",44.2602777777778,"B10","B10",298,89,"TAK-901",1.5e-10,"M"
"2020-09-17","NCIH1048",46.0336111111111,"B10","B10",308,78,"TAK-901",1.5e-10,"M"
"2020-09-17","NCIH1048",54.7341666666667,"B10","B10",340,94,"TAK-901",1.5e-10,"M"
"2020-09-17","NCIH1048",68.0013888888889,"B10","B10",421,114,"TAK-901",1.5e-10,"M"
"2020-09-17","NCIH1048",79.075,"B10","B10",484,140,"TAK-901",1.5e-10,"M"
"2020-09-17","NCIH1048",94.9077777777778,"B10","B10",627,181,"TAK-901",1.5e-10,"M"
"2020-09-17","NCIH1048",107.172222222222,"B10","B10",782,224,"TAK-901",1.5e-10,"M"
"2020-09-17","NCIH1048",120.036111111111,"B10","B10",896,255,"TAK-901",1.5e-10,"M"
"2020-09-17","NCIH1048",0,"B11","B11",284,34,"TAK-901",0,"M"
"2020-09-17","NCIH1048",29.6888888888889,"B11","B11",341,100,"TAK-901",0,"M"
"2020-09-17","NCIH1048",44.2602777777778,"B11","B11",415,88,"TAK-901",0,"M"
"2020-09-17","NCIH1048",46.0336111111111,"B11","B11",406,105,"TAK-901",0,"M"
"2020-09-17","NCIH1048",54.7341666666667,"B11","B11",427,118,"TAK-901",0,"M"
"2020-09-17","NCIH1048",68.0013888888889,"B11","B11",515,162,"TAK-901",0,"M"
"2020-09-17","NCIH1048",79.075,"B11","B11",673,169,"TAK-901",0,"M"
"2020-09-17","NCIH1048",94.9077777777778,"B11","B11",819,232,"TAK-901",0,"M"
"2020-09-17","NCIH1048",107.172222222222,"B11","B11",991,317,"TAK-901",0,"M"
"2020-09-17","NCIH1048",120.036111111111,"B11","B11",1244,360,"TAK-901",0,"M"
"2020-09-17","DMS53",0,"B12","B12",317,79,"TAK-901",1e-05,"M"
"2020-09-17","DMS53",29.6888888888889,"B12","B12",423,97,"TAK-901",1e-05,"M"
"2020-09-17","DMS53",44.2602777777778,"B12","B12",467,122,"TAK-901",1e-05,"M"
"2020-09-17","DMS53",46.0336111111111,"B12","B12",469,118,"TAK-901",1e-05,"M"
"2020-09-17","DMS53",54.7341666666667,"B12","B12",512,135,"TAK-901",1e-05,"M"
"2020-09-17","DMS53",68.0013888888889,"B12","B12",622,141,"TAK-901",1e-05,"M"
"2020-09-17","DMS53",79.075,"B12","B12",684,158,"TAK-901",1e-05,"M"
