"file_name","cell_count","file_name_ch2","ch2_pos","plate_id","well","expt.date","cell.line","drug1","drug1.conc","drug1.units","uid","cell.count","time_i","time"
"B4_04_1_1_RFP_004.tif",92,"B4_04_2_1_GFP_004.tif",73,1,"B04",NA,"NCIH1048","TAK-901",6.25e-07,"M","1_B04",92,4,46.0336111111111
"B4_04_1_1_RFP_005.tif",97,"B4_04_2_1_GFP_005.tif",79,1,"B04",NA,"NCIH1048","TAK-901",6.25e-07,"M","1_B04",97,5,54.7341666666667
"B4_04_1_1_RFP_006.tif",122,"B4_04_2_1_GFP_006.tif",107,1,"B04",NA,"NCIH1048","TAK-901",6.25e-07,"M","1_B04",122,6,68.0013888888889
"B4_04_1_1_RFP_007.tif",123,"B4_04_2_1_GFP_007.tif",109,1,"B04",NA,"NCIH1048","TAK-901",6.25e-07,"M","1_B04",123,7,79.075
"B4_04_1_1_RFP_008.tif",130,"B4_04_2_1_GFP_008.tif",119,1,"B04",NA,"NCIH1048","TAK-901",6.25e-07,"M","1_B04",130,8,94.9077777777778
"B4_04_1_1_RFP_009.tif",124,"B4_04_2_1_GFP_009.tif",117,1,"B04",NA,"NCIH1048","TAK-901",6.25e-07,"M","1_B04",124,9,107.172222222222
"B4_04_1_1_RFP_010.tif",129,"B4_04_2_1_GFP_010.tif",115,1,"B04",NA,"NCIH1048","TAK-901",6.25e-07,"M","1_B04",129,10,120.036111111111
"B5_04_1_1_RFP_001.tif",15,"B5_04_2_1_GFP_001.tif",9,1,"B05",NA,"NCIH1048","TAK-901",1.5625e-07,"M","1_B05",15,1,0
"B5_04_1_1_RFP_002.tif",61,"B5_04_2_1_GFP_002.tif",37,1,"B05",NA,"NCIH1048","TAK-901",1.5625e-07,"M","1_B05",61,2,29.6888888888889
"B5_04_1_1_RFP_003.tif",97,"B5_04_2_1_GFP_003.tif",64,1,"B05",NA,"NCIH1048","TAK-901",1.5625e-07,"M","1_B05",97,3,44.2602777777778
"B5_04_1_1_RFP_004.tif",100,"B5_04_2_1_GFP_004.tif",72,1,"B05",NA,"NCIH1048","TAK-901",1.5625e-07,"M","1_B05",100,4,46.0336111111111
"B5_04_1_1_RFP_005.tif",111,"B5_04_2_1_GFP_005.tif",88,1,"B05",NA,"NCIH1048","TAK-901",1.5625e-07,"M","1_B05",111,5,54.7341666666667
"B5_04_1_1_RFP_006.tif",139,"B5_04_2_1_GFP_006.tif",117,1,"B05",NA,"NCIH1048","TAK-901",1.5625e-07,"M","1_B05",139,6,68.0013888888889
"B5_04_1_1_RFP_007.tif",147,"B5_04_2_1_GFP_007.tif",130,1,"B05",NA,"NCIH1048","TAK-901",1.5625e-07,"M","1_B05",147,7,79.075
"B5_04_1_1_RFP_008.tif",159,"B5_04_2_1_GFP_008.tif",139,1,"B05",NA,"NCIH1048","TAK-901",1.5625e-07,"M","1_B05",159,8,94.9077777777778
"B5_04_1_1_RFP_009.tif",169,"B5_04_2_1_GFP_009.tif",151,1,"B05",NA,"NCIH1048","TAK-901",1.5625e-07,"M","1_B05",169,9,107.172222222222
"B5_04_1_1_RFP_010.tif",162,"B5_04_2_1_GFP_010.tif",148,1,"B05",NA,"NCIH1048","TAK-901",1.5625e-07,"M","1_B05",162,10,120.036111111111
"B6_04_1_1_RFP_001.tif",17,"B6_04_2_1_GFP_001.tif",6,1,"B06",NA,"NCIH1048","TAK-901",3.90625e-08,"M","1_B06",17,1,0
"B6_04_1_1_RFP_002.tif",70,"B6_04_2_1_GFP_002.tif",33,1,"B06",NA,"NCIH1048","TAK-901",3.90625e-08,"M","1_B06",70,2,29.6888888888889
"B6_04_1_1_RFP_003.tif",131,"B6_04_2_1_GFP_003.tif",87,1,"B06",NA,"NCIH1048","TAK-901",3.90625e-08,"M","1_B06",131,3,44.2602777777778
"B6_04_1_1_RFP_004.tif",141,"B6_04_2_1_GFP_004.tif",90,1,"B06",NA,"NCIH1048","TAK-901",3.90625e-08,"M","1_B06",141,4,46.0336111111111
"B6_04_1_1_RFP_005.tif",171,"B6_04_2_1_GFP_005.tif",116,1,"B06",NA,"NCIH1048","TAK-901",3.90625e-08,"M","1_B06",171,5,54.7341666666667
"B6_04_1_1_RFP_006.tif",211,"B6_04_2_1_GFP_006.tif",167,1,"B06",NA,"NCIH1048","TAK-901",3.90625e-08,"M","1_B06",211,6,68.0013888888889
"B6_04_1_1_RFP_007.tif",211,"B6_04_2_1_GFP_007.tif",174,1,"B06",NA,"NCIH1048","TAK-901",3.90625e-08,"M","1_B06",211,7,79.075
"B6_04_1_1_RFP_008.tif",228,"B6_04_2_1_GFP_008.tif",182,1,"B06",NA,"NCIH1048","TAK-901",3.90625e-08,"M","1_B06",228,8,94.9077777777778
"B6_04_1_1_RFP_009.tif",242,"B6_04_2_1_GFP_009.tif",196,1,"B06",NA,"NCIH1048","TAK-901",3.90625e-08,"M","1_B06",242,9,107.172222222222
"B6_04_1_1_RFP_010.tif",222,"B6_04_2_1_GFP_010.tif",180,1,"B06",NA,"NCIH1048","TAK-901",3.90625e-08,"M","1_B06",222,10,120.036111111111
"B7_04_1_1_RFP_001.tif",18,"B7_04_2_1_GFP_001.tif",1,1,"B07",NA,"NCIH1048","TAK-901",9.765e-09,"M","1_B07",18,1,0
"B7_04_1_1_RFP_002.tif",52,"B7_04_2_1_GFP_002.tif",22,1,"B07",NA,"NCIH1048","TAK-901",9.765e-09,"M","1_B07",52,2,29.6888888888889
"B7_04_1_1_RFP_003.tif",78,"B7_04_2_1_GFP_003.tif",38,1,"B07",NA,"NCIH1048","TAK-901",9.765e-09,"M","1_B07",78,3,44.2602777777778
"B7_04_1_1_RFP_004.tif",77,"B7_04_2_1_GFP_004.tif",41,1,"B07",NA,"NCIH1048","TAK-901",9.765e-09,"M","1_B07",77,4,46.0336111111111
"B7_04_1_1_RFP_005.tif",89,"B7_04_2_1_GFP_005.tif",49,1,"B07",NA,"NCIH1048","TAK-901",9.765e-09,"M","1_B07",89,5,54.7341666666667
"B7_04_1_1_RFP_006.tif",134,"B7_04_2_1_GFP_006.tif",81,1,"B07",NA,"NCIH1048","TAK-901",9.765e-09,"M","1_B07",134,6,68.0013888888889
"B7_04_1_1_RFP_007.tif",148,"B7_04_2_1_GFP_007.tif",97,1,"B07",NA,"NCIH1048","TAK-901",9.765e-09,"M","1_B07",148,7,79.075
"B7_04_1_1_RFP_008.tif",180,"B7_04_2_1_GFP_008.tif",106,1,"B07",NA,"NCIH1048","TAK-901",9.765e-09,"M","1_B07",180,8,94.9077777777778
"B7_04_1_1_RFP_009.tif",223,"B7_04_2_1_GFP_009.tif",126,1,"B07",NA,"NCIH1048","TAK-901",9.765e-09,"M","1_B07",223,9,107.172222222222
"B7_04_1_1_RFP_010.tif",265,"B7_04_2_1_GFP_010.tif",127,1,"B07",NA,"NCIH1048","TAK-901",9.765e-09,"M","1_B07",265,10,120.036111111111
"B8_04_1_1_RFP_001.tif",13,"B8_04_2_1_GFP_001.tif",5,1,"B08",NA,"NCIH1048","TAK-901",2.44e-09,"M","1_B08",13,1,0
"B8_04_1_1_RFP_002.tif",57,"B8_04_2_1_GFP_002.tif",17,1,"B08",NA,"NCIH1048","TAK-901",2.44e-09,"M","1_B08",57,2,29.6888888888889
"B8_04_1_1_RFP_003.tif",82,"B8_04_2_1_GFP_003.tif",36,1,"B08",NA,"NCIH1048","TAK-901",2.44e-09,"M","1_B08",82,3,44.2602777777778
"B8_04_1_1_RFP_004.tif",80,"B8_04_2_1_GFP_004.tif",34,1,"B08",NA,"NCIH1048","TAK-901",2.44e-09,"M","1_B08",80,4,46.0336111111111
"B8_04_1_1_RFP_005.tif",92,"B8_04_2_1_GFP_005.tif",44,1,"B08",NA,"NCIH1048","TAK-901",2.44e-09,"M","1_B08",92,5,54.7341666666667
"B8_04_1_1_RFP_006.tif",123,"B8_04_2_1_GFP_006.tif",69,1,"B08",NA,"NCIH1048","TAK-901",2.44e-09,"M","1_B08",123,6,68.0013888888889
"B8_04_1_1_RFP_007.tif",140,"B8_04_2_1_GFP_007.tif",82,1,"B08",NA,"NCIH1048","TAK-901",2.44e-09,"M","1_B08",140,7,79.075
"B8_04_1_1_RFP_008.tif",178,"B8_04_2_1_GFP_008.tif",93,1,"B08",NA,"NCIH1048","TAK-901",2.44e-09,"M","1_B08",178,8,94.9077777777778
"B8_04_1_1_RFP_009.tif",221,"B8_04_2_1_GFP_009.tif",108,1,"B08",NA,"NCIH1048","TAK-901",2.44e-09,"M","1_B08",221,9,107.172222222222
"B8_04_1_1_RFP_010.tif",240,"B8_04_2_1_GFP_010.tif",114,1,"B08",NA,"NCIH1048","TAK-901",2.44e-09,"M","1_B08",240,10,120.036111111111
"B9_04_1_1_RFP_001.tif",13,"B9_04_2_1_GFP_001.tif",3,1,"B09",NA,"NCIH1048","TAK-901",6.1e-10,"M","1_B09",13,1,0
"B9_04_1_1_RFP_002.tif",92,"B9_04_2_1_GFP_002.tif",28,1,"B09",NA,"NCIH1048","TAK-901",6.1e-10,"M","1_B09",92,2,29.6888888888889
"B9_04_1_1_RFP_003.tif",112,"B9_04_2_1_GFP_003.tif",40,1,"B09",NA,"NCIH1048","TAK-901",6.1e-10,"M","1_B09",112,3,44.2602777777778
"B9_04_1_1_RFP_004.tif",107,"B9_04_2_1_GFP_004.tif",34,1,"B09",NA,"NCIH1048","TAK-901",6.1e-10,"M","1_B09",107,4,46.0336111111111
"B9_04_1_1_RFP_005.tif",119,"B9_04_2_1_GFP_005.tif",55,1,"B09",NA,"NCIH1048","TAK-901",6.1e-10,"M","1_B09",119,5,54.7341666666667
"B9_04_1_1_RFP_006.tif",141,"B9_04_2_1_GFP_006.tif",72,1,"B09",NA,"NCIH1048","TAK-901",6.1e-10,"M","1_B09",141,6,68.0013888888889
"B9_04_1_1_RFP_007.tif",172,"B9_04_2_1_GFP_007.tif",94,1,"B09",NA,"NCIH1048","TAK-901",6.1e-10,"M","1_B09",172,7,79.075
"B9_04_1_1_RFP_008.tif",205,"B9_04_2_1_GFP_008.tif",96,1,"B09",NA,"NCIH1048","TAK-901",6.1e-10,"M","1_B09",205,8,94.9077777777778
"B9_04_1_1_RFP_009.tif",253,"B9_04_2_1_GFP_009.tif",115,1,"B09",NA,"NCIH1048","TAK-901",6.1e-10,"M","1_B09",253,9,107.172222222222
"B9_04_1_1_RFP_010.tif",289,"B9_04_2_1_GFP_010.tif",112,1,"B09",NA,"NCIH1048","TAK-901",6.1e-10,"M","1_B09",289,10,120.036111111111
"B10_04_1_1_RFP_001.tif",12,"B10_04_2_1_GFP_001.tif",2,1,"B10",NA,"NCIH1048","TAK-901",1.5e-10,"M","1_B10",12,1,0
"B10_04_1_1_RFP_002.tif",77,"B10_04_2_1_GFP_002.tif",20,1,"B10",NA,"NCIH1048","TAK-901",1.5e-10,"M","1_B10",77,2,29.6888888888889
"B10_04_1_1_RFP_003.tif",89,"B10_04_2_1_GFP_003.tif",25,1,"B10",NA,"NCIH1048","TAK-901",1.5e-10,"M","1_B10",89,3,44.2602777777778
"B10_04_1_1_RFP_004.tif",78,"B10_04_2_1_GFP_004.tif",28,1,"B10",NA,"NCIH1048","TAK-901",1.5e-10,"M","1_B10",78,4,46.0336111111111
"B10_04_1_1_RFP_005.tif",94,"B10_04_2_1_GFP_005.tif",34,1,"B10",NA,"NCIH1048","TAK-901",1.5e-10,"M","1_B10",94,5,54.7341666666667
"B10_04_1_1_RFP_006.tif",114,"B10_04_2_1_GFP_006.tif",50,1,"B10",NA,"NCIH1048","TAK-901",1.5e-10,"M","1_B10",114,6,68.0013888888889
"B10_04_1_1_RFP_007.tif",140,"B10_04_2_1_GFP_007.tif",70,1,"B10",NA,"NCIH1048","TAK-901",1.5e-10,"M","1_B10",140,7,79.075
"B10_04_1_1_RFP_008.tif",181,"B10_04_2_1_GFP_008.tif",78,1,"B10",NA,"NCIH1048","TAK-901",1.5e-10,"M","1_B10",181,8,94.9077777777778
"B10_04_1_1_RFP_009.tif",224,"B10_04_2_1_GFP_009.tif",85,1,"B10",NA,"NCIH1048","TAK-901",1.5e-10,"M","1_B10",224,9,107.172222222222
"B10_04_1_1_RFP_010.tif",255,"B10_04_2_1_GFP_010.tif",84,1,"B10",NA,"NCIH1048","TAK-901",1.5e-10,"M","1_B10",255,10,120.036111111111
"B11_04_1_1_RFP_001.tif",34,"B11_04_2_1_GFP_001.tif",3,1,"B11",NA,"NCIH1048","TAK-901",0,"M","1_B11",34,1,0
"B11_04_1_1_RFP_002.tif",100,"B11_04_2_1_GFP_002.tif",15,1,"B11",NA,"NCIH1048","TAK-901",0,"M","1_B11",100,2,29.6888888888889
"B11_04_1_1_RFP_003.tif",88,"B11_04_2_1_GFP_003.tif",24,1,"B11",NA,"NCIH1048","TAK-901",0,"M","1_B11",88,3,44.2602777777778
"B11_04_1_1_RFP_004.tif",105,"B11_04_2_1_GFP_004.tif",34,1,"B11",NA,"NCIH1048","TAK-901",0,"M","1_B11",105,4,46.0336111111111
"B11_04_1_1_RFP_005.tif",118,"B11_04_2_1_GFP_005.tif",31,1,"B11",NA,"NCIH1048","TAK-901",0,"M","1_B11",118,5,54.7341666666667
"B11_04_1_1_RFP_006.tif",162,"B11_04_2_1_GFP_006.tif",59,1,"B11",NA,"NCIH1048","TAK-901",0,"M","1_B11",162,6,68.0013888888889
"B11_04_1_1_RFP_007.tif",169,"B11_04_2_1_GFP_007.tif",61,1,"B11",NA,"NCIH1048","TAK-901",0,"M","1_B11",169,7,79.075
"B11_04_1_1_RFP_008.tif",232,"B11_04_2_1_GFP_008.tif",54,1,"B11",NA,"NCIH1048","TAK-901",0,"M","1_B11",232,8,94.9077777777778
"B11_04_1_1_RFP_009.tif",317,"B11_04_2_1_GFP_009.tif",65,1,"B11",NA,"NCIH1048","TAK-901",0,"M","1_B11",317,9,107.172222222222
"B11_04_1_1_RFP_010.tif",360,"B11_04_2_1_GFP_010.tif",60,1,"B11",NA,"NCIH1048","TAK-901",0,"M","1_B11",360,10,120.036111111111
"B12_04_1_1_RFP_001.tif",79,"B12_04_2_1_GFP_001.tif",6,1,"B12",NA,"DMS53","TAK-901",1e-05,"M","1_B12",79,1,0
"B12_04_1_1_RFP_002.tif",97,"B12_04_2_1_GFP_002.tif",10,1,"B12",NA,"DMS53","TAK-901",1e-05,"M","1_B12",97,2,29.6888888888889
"B12_04_1_1_RFP_003.tif",122,"B12_04_2_1_GFP_003.tif",20,1,"B12",NA,"DMS53","TAK-901",1e-05,"M","1_B12",122,3,44.2602777777778
"B12_04_1_1_RFP_004.tif",118,"B12_04_2_1_GFP_004.tif",20,1,"B12",NA,"DMS53","TAK-901",1e-05,"M","1_B12",118,4,46.0336111111111
"B12_04_1_1_RFP_005.tif",135,"B12_04_2_1_GFP_005.tif",27,1,"B12",NA,"DMS53","TAK-901",1e-05,"M","1_B12",135,5,54.7341666666667
"B12_04_1_1_RFP_006.tif",141,"B12_04_2_1_GFP_006.tif",39,1,"B12",NA,"DMS53","TAK-901",1e-05,"M","1_B12",141,6,68.0013888888889
"B12_04_1_1_RFP_007.tif",158,"B12_04_2_1_GFP_007.tif",43,1,"B12",NA,"DMS53","TAK-901",1e-05,"M","1_B12",158,7,79.075
"B12_04_1_1_RFP_008.tif",185,"B12_04_2_1_GFP_008.tif",73,1,"B12",NA,"DMS53","TAK-901",1e-05,"M","1_B12",185,8,94.9077777777778
"B12_04_1_1_RFP_009.tif",175,"B12_04_2_1_GFP_009.tif",85,1,"B12",NA,"DMS53","TAK-901",1e-05,"M","1_B12",175,9,107.172222222222
"B12_04_1_1_RFP_010.tif",178,"B12_04_2_1_GFP_010.tif",82,1,"B12",NA,"DMS53","TAK-901",1e-05,"M","1_B12",178,10,120.036111111111
"B13_04_1_1_RFP_001.tif",80,"B13_04_2_1_GFP_001.tif",10,1,"B13",NA,"DMS53","TAK-901",2.5e-06,"M","1_B13",80,1,0
"B13_04_1_1_RFP_002.tif",84,"B13_04_2_1_GFP_002.tif",11,1,"B13",NA,"DMS53","TAK-901",2.5e-06,"M","1_B13",84,2,29.6888888888889
"B13_04_1_1_RFP_003.tif",95,"B13_04_2_1_GFP_003.tif",15,1,"B13",NA,"DMS53","TAK-901",2.5e-06,"M","1_B13",95,3,44.2602777777778
"B13_04_1_1_RFP_004.tif",97,"B13_04_2_1_GFP_004.tif",18,1,"B13",NA,"DMS53","TAK-901",2.5e-06,"M","1_B13",97,4,46.0336111111111
"B13_04_1_1_RFP_005.tif",104,"B13_04_2_1_GFP_005.tif",20,1,"B13",NA,"DMS53","TAK-901",2.5e-06,"M","1_B13",104,5,54.7341666666667
"B13_04_1_1_RFP_006.tif",139,"B13_04_2_1_GFP_006.tif",27,1,"B13",NA,"DMS53","TAK-901",2.5e-06,"M","1_B13",139,6,68.0013888888889
"B13_04_1_1_RFP_007.tif",165,"B13_04_2_1_GFP_007.tif",34,1,"B13",NA,"DMS53","TAK-901",2.5e-06,"M","1_B13",165,7,79.075
"B13_04_1_1_RFP_008.tif",232,"B13_04_2_1_GFP_008.tif",60,1,"B13",NA,"DMS53","TAK-901",2.5e-06,"M","1_B13",232,8,94.9077777777778
"B13_04_1_1_RFP_009.tif",230,"B13_04_2_1_GFP_009.tif",72,1,"B13",NA,"DMS53","TAK-901",2.5e-06,"M","1_B13",230,9,107.172222222222
"B13_04_1_1_RFP_010.tif",241,"B13_04_2_1_GFP_010.tif",79,1,"B13",NA,"DMS53","TAK-901",2.5e-06,"M","1_B13",241,10,120.036111111111
"B14_04_1_1_RFP_001.tif",66,"B14_04_2_1_GFP_001.tif",3,1,"B14",NA,"DMS53","TAK-901",6.25e-07,"M","1_B14",66,1,0
"B14_04_1_1_RFP_002.tif",53,"B14_04_2_1_GFP_002.tif",2,1,"B14",NA,"DMS53","TAK-901",6.25e-07,"M","1_B14",53,2,29.6888888888889
"B14_04_1_1_RFP_003.tif",58,"B14_04_2_1_GFP_003.tif",4,1,"B14",NA,"DMS53","TAK-901",6.25e-07,"M","1_B14",58,3,44.2602777777778
"B14_04_1_1_RFP_004.tif",68,"B14_04_2_1_GFP_004.tif",6,1,"B14",NA,"DMS53","TAK-901",6.25e-07,"M","1_B14",68,4,46.0336111111111
"B14_04_1_1_RFP_005.tif",62,"B14_04_2_1_GFP_005.tif",7,1,"B14",NA,"DMS53","TAK-901",6.25e-07,"M","1_B14",62,5,54.7341666666667
"B14_04_1_1_RFP_006.tif",115,"B14_04_2_1_GFP_006.tif",12,1,"B14",NA,"DMS53","TAK-901",6.25e-07,"M","1_B14",115,6,68.0013888888889
"B14_04_1_1_RFP_007.tif",127,"B14_04_2_1_GFP_007.tif",21,1,"B14",NA,"DMS53","TAK-901",6.25e-07,"M","1_B14",127,7,79.075
"B14_04_1_1_RFP_008.tif",174,"B14_04_2_1_GFP_008.tif",30,1,"B14",NA,"DMS53","TAK-901",6.25e-07,"M","1_B14",174,8,94.9077777777778
"B14_04_1_1_RFP_009.tif",199,"B14_04_2_1_GFP_009.tif",42,1,"B14",NA,"DMS53","TAK-901",6.25e-07,"M","1_B14",199,9,107.172222222222
"B14_04_1_1_RFP_010.tif",221,"B14_04_2_1_GFP_010.tif",50,1,"B14",NA,"DMS53","TAK-901",6.25e-07,"M","1_B14",221,10,120.036111111111
"B15_04_1_1_RFP_001.tif",108,"B15_04_2_1_GFP_001.tif",9,1,"B15",NA,"DMS53","TAK-901",1.5625e-07,"M","1_B15",108,1,0
"B15_04_1_1_RFP_002.tif",81,"B15_04_2_1_GFP_002.tif",6,1,"B15",NA,"DMS53","TAK-901",1.5625e-07,"M","1_B15",81,2,29.6888888888889
"B15_04_1_1_RFP_003.tif",91,"B15_04_2_1_GFP_003.tif",12,1,"B15",NA,"DMS53","TAK-901",1.5625e-07,"M","1_B15",91,3,44.2602777777778
"B15_04_1_1_RFP_004.tif",98,"B15_04_2_1_GFP_004.tif",10,1,"B15",NA,"DMS53","TAK-901",1.5625e-07,"M","1_B15",98,4,46.0336111111111
"B15_04_1_1_RFP_005.tif",86,"B15_04_2_1_GFP_005.tif",16,1,"B15",NA,"DMS53","TAK-901",1.5625e-07,"M","1_B15",86,5,54.7341666666667
"B15_04_1_1_RFP_006.tif",132,"B15_04_2_1_GFP_006.tif",17,1,"B15",NA,"DMS53","TAK-901",1.5625e-07,"M","1_B15",132,6,68.0013888888889
"B15_04_1_1_RFP_007.tif",172,"B15_04_2_1_GFP_007.tif",26,1,"B15",NA,"DMS53","TAK-901",1.5625e-07,"M","1_B15",172,7,79.075
"B15_04_1_1_RFP_008.tif",235,"B15_04_2_1_GFP_008.tif",36,1,"B15",NA,"DMS53","TAK-901",1.5625e-07,"M","1_B15",235,8,94.9077777777778
"B15_04_1_1_RFP_009.tif",278,"B15_04_2_1_GFP_009.tif",45,1,"B15",NA,"DMS53","TAK-901",1.5625e-07,"M","1_B15",278,9,107.172222222222
"B15_04_1_1_RFP_010.tif",304,"B15_04_2_1_GFP_010.tif",50,1,"B15",NA,"DMS53","TAK-901",1.5625e-07,"M","1_B15",304,10,120.036111111111
"B16_04_1_1_RFP_001.tif",88,"B16_04_2_1_GFP_001.tif",6,1,"B16",NA,"DMS53","TAK-901",3.90625e-08,"M","1_B16",88,1,0
"B16_04_1_1_RFP_002.tif",62,"B16_04_2_1_GFP_002.tif",6,1,"B16",NA,"DMS53","TAK-901",3.90625e-08,"M","1_B16",62,2,29.6888888888889
"B16_04_1_1_RFP_003.tif",68,"B16_04_2_1_GFP_003.tif",8,1,"B16",NA,"DMS53","TAK-901",3.90625e-08,"M","1_B16",68,3,44.2602777777778
"B16_04_1_1_RFP_004.tif",84,"B16_04_2_1_GFP_004.tif",11,1,"B16",NA,"DMS53","TAK-901",3.90625e-08,"M","1_B16",84,4,46.0336111111111
"B16_04_1_1_RFP_005.tif",69,"B16_04_2_1_GFP_005.tif",6,1,"B16",NA,"DMS53","TAK-901",3.90625e-08,"M","1_B16",69,5,54.7341666666667
"B16_04_1_1_RFP_006.tif",125,"B16_04_2_1_GFP_006.tif",12,1,"B16",NA,"DMS53","TAK-901",3.90625e-08,"M","1_B16",125,6,68.0013888888889
"B16_04_1_1_RFP_007.tif",156,"B16_04_2_1_GFP_007.tif",17,1,"B16",NA,"DMS53","TAK-901",3.90625e-08,"M","1_B16",156,7,79.075
"B16_04_1_1_RFP_008.tif",222,"B16_04_2_1_GFP_008.tif",25,1,"B16",NA,"DMS53","TAK-901",3.90625e-08,"M","1_B16",222,8,94.9077777777778
"B16_04_1_1_RFP_009.tif",271,"B16_04_2_1_GFP_009.tif",35,1,"B16",NA,"DMS53","TAK-901",3.90625e-08,"M","1_B16",271,9,107.172222222222
"B16_04_1_1_RFP_010.tif",319,"B16_04_2_1_GFP_010.tif",44,1,"B16",NA,"DMS53","TAK-901",3.90625e-08,"M","1_B16",319,10,120.036111111111
"B17_04_1_1_RFP_001.tif",92,"B17_04_2_1_GFP_001.tif",6,1,"B17",NA,"DMS53","TAK-901",9.765e-09,"M","1_B17",92,1,0
"B17_04_1_1_RFP_002.tif",61,"B17_04_2_1_GFP_002.tif",7,1,"B17",NA,"DMS53","TAK-901",9.765e-09,"M","1_B17",61,2,29.6888888888889
"B17_04_1_1_RFP_003.tif",95,"B17_04_2_1_GFP_003.tif",9,1,"B17",NA,"DMS53","TAK-901",9.765e-09,"M","1_B17",95,3,44.2602777777778
"B17_04_1_1_RFP_004.tif",72,"B17_04_2_1_GFP_004.tif",7,1,"B17",NA,"DMS53","TAK-901",9.765e-09,"M","1_B17",72,4,46.0336111111111
