"file_name","cell_count","file_name_ch2","ch2_pos","plate_id","well","expt.date","cell.line","drug1","drug1.conc","drug1.units","uid","cell.count","time_i","time"
"B2_04_1_1_RFP_001.tif",19,"B2_04_2_1_GFP_001.tif",10,1,"B02",NA,"NCIH1048","TAK-901",1e-05,"M","1_B02",19,1,0
"B2_04_1_1_RFP_002.tif",137,"B2_04_2_1_GFP_002.tif",101,1,"B02",NA,"NCIH1048","TAK-901",1e-05,"M","1_B02",137,2,29.6888888888889
"B2_04_1_1_RFP_003.tif",159,"B2_04_2_1_GFP_003.tif",133,1,"B02",NA,"NCIH1048","TAK-901",1e-05,"M","1_B02",159,3,44.2602777777778
"B2_04_1_1_RFP_004.tif",156,"B2_04_2_1_GFP_004.tif",137,1,"B02",NA,"NCIH1048","TAK-901",1e-05,"M","1_B02",156,4,46.0336111111111
"B2_04_1_1_RFP_005.tif",168,"B2_04_2_1_GFP_005.tif",145,1,"B02",NA,"NCIH1048","TAK-901",1e-05,"M","1_B02",168,5,54.7341666666667
"B2_04_1_1_RFP_006.tif",165,"B2_04_2_1_GFP_006.tif",151,1,"B02",NA,"NCIH1048","TAK-901",1e-05,"M","1_B02",165,6,68.0013888888889
"B2_04_1_1_RFP_007.tif",174,"B2_04_2_1_GFP_007.tif",168,1,"B02",NA,"NCIH1048","TAK-901",1e-05,"M","1_B02",174,7,79.075
"B2_04_1_1_RFP_008.tif",174,"B2_04_2_1_GFP_008.tif",159,1,"B02",NA,"NCIH1048","TAK-901",1e-05,"M","1_B02",174,8,94.9077777777778
"B2_04_1_1_RFP_009.tif",168,"B2_04_2_1_GFP_009.tif",157,1,"B02",NA,"NCIH1048","TAK-901",1e-05,"M","1_B02",168,9,107.172222222222
"B2_04_1_1_RFP_010.tif",167,"B2_04_2_1_GFP_010.tif",148,1,"B02",NA,"NCIH1048","TAK-901",1e-05,"M","1_B02",167,10,120.036111111111
"B3_04_1_1_RFP_001.tif",16,"B3_04_2_1_GFP_001.tif",7,1,"B03",NA,"NCIH1048","TAK-901",2.5e-06,"M","1_B03",16,1,0
"B3_04_1_1_RFP_002.tif",106,"B3_04_2_1_GFP_002.tif",37,1,"B03",NA,"NCIH1048","TAK-901",2.5e-06,"M","1_B03",106,2,29.6888888888889
"B3_04_1_1_RFP_003.tif",144,"B3_04_2_1_GFP_003.tif",80,1,"B03",NA,"NCIH1048","TAK-901",2.5e-06,"M","1_B03",144,3,44.2602777777778
"B3_04_1_1_RFP_004.tif",147,"B3_04_2_1_GFP_004.tif",86,1,"B03",NA,"NCIH1048","TAK-901",2.5e-06,"M","1_B03",147,4,46.0336111111111
"B3_04_1_1_RFP_005.tif",164,"B3_04_2_1_GFP_005.tif",118,1,"B03",NA,"NCIH1048","TAK-901",2.5e-06,"M","1_B03",164,5,54.7341666666667
"B3_04_1_1_RFP_006.tif",174,"B3_04_2_1_GFP_006.tif",155,1,"B03",NA,"NCIH1048","TAK-901",2.5e-06,"M","1_B03",174,6,68.0013888888889
"B3_04_1_1_RFP_007.tif",178,"B3_04_2_1_GFP_007.tif",168,1,"B03",NA,"NCIH1048","TAK-901",2.5e-06,"M","1_B03",178,7,79.075
"B3_04_1_1_RFP_008.tif",180,"B3_04_2_1_GFP_008.tif",172,1,"B03",NA,"NCIH1048","TAK-901",2.5e-06,"M","1_B03",180,8,94.9077777777778
"B3_04_1_1_RFP_009.tif",171,"B3_04_2_1_GFP_009.tif",168,1,"B03",NA,"NCIH1048","TAK-901",2.5e-06,"M","1_B03",171,9,107.172222222222
"B3_04_1_1_RFP_010.tif",160,"B3_04_2_1_GFP_010.tif",154,1,"B03",NA,"NCIH1048","TAK-901",2.5e-06,"M","1_B03",160,10,120.036111111111
"B4_04_1_1_RFP_001.tif",11,"B4_04_2_1_GFP_001.tif",4,1,"B04",NA,"NCIH1048","TAK-901",6.25e-07,"M","1_B04",11,1,0
"B4_04_1_1_RFP_002.tif",59,"B4_04_2_1_GFP_002.tif",36,1,"B04",NA,"NCIH1048","TAK-901",6.25e-07,"M","1_B04",59,2,29.6888888888889
"B4_04_1_1_RFP_003.tif",84,"B4_04_2_1_GFP_003.tif",64,1,"B04",NA,"NCIH1048","TAK-901",6.25e-07,"M","1_B04",84,3,44.2602777777778
