"cell.count","file_name"
205,"B10_04_1_1_RFP_001.tif"
260,"B10_04_1_1_RFP_002.tif"
298,"B10_04_1_1_RFP_003.tif"
308,"B10_04_1_1_RFP_004.tif"
340,"B10_04_1_1_RFP_005.tif"
421,"B10_04_1_1_RFP_006.tif"
484,"B10_04_1_1_RFP_007.tif"
627,"B10_04_1_1_RFP_008.tif"
782,"B10_04_1_1_RFP_009.tif"
896,"B10_04_1_1_RFP_010.tif"
284,"B11_04_1_1_RFP_001.tif"
341,"B11_04_1_1_RFP_002.tif"
415,"B11_04_1_1_RFP_003.tif"
406,"B11_04_1_1_RFP_004.tif"
427,"B11_04_1_1_RFP_005.tif"
515,"B11_04_1_1_RFP_006.tif"
673,"B11_04_1_1_RFP_007.tif"
819,"B11_04_1_1_RFP_008.tif"
991,"B11_04_1_1_RFP_009.tif"
1244,"B11_04_1_1_RFP_010.tif"
317,"B12_04_1_1_RFP_001.tif"
423,"B12_04_1_1_RFP_002.tif"
467,"B12_04_1_1_RFP_003.tif"
469,"B12_04_1_1_RFP_004.tif"
512,"B12_04_1_1_RFP_005.tif"
622,"B12_04_1_1_RFP_006.tif"
684,"B12_04_1_1_RFP_007.tif"
752,"B12_04_1_1_RFP_008.tif"
756,"B12_04_1_1_RFP_009.tif"
771,"B12_04_1_1_RFP_010.tif"
355,"B13_04_1_1_RFP_001.tif"
369,"B13_04_1_1_RFP_002.tif"
434,"B13_04_1_1_RFP_003.tif"
403,"B13_04_1_1_RFP_004.tif"
469,"B13_04_1_1_RFP_005.tif"
578,"B13_04_1_1_RFP_006.tif"
645,"B13_04_1_1_RFP_007.tif"
740,"B13_04_1_1_RFP_008.tif"
814,"B13_04_1_1_RFP_009.tif"
837,"B13_04_1_1_RFP_010.tif"
279,"B14_04_1_1_RFP_001.tif"
312,"B14_04_1_1_RFP_002.tif"
322,"B14_04_1_1_RFP_003.tif"
314,"B14_04_1_1_RFP_004.tif"
325,"B14_04_1_1_RFP_005.tif"
398,"B14_04_1_1_RFP_006.tif"
480,"B14_04_1_1_RFP_007.tif"
568,"B14_04_1_1_RFP_008.tif"
586,"B14_04_1_1_RFP_009.tif"
613,"B14_04_1_1_RFP_010.tif"
422,"B15_04_1_1_RFP_001.tif"
413,"B15_04_1_1_RFP_002.tif"
466,"B15_04_1_1_RFP_003.tif"
424,"B15_04_1_1_RFP_004.tif"
505,"B15_04_1_1_RFP_005.tif"
595,"B15_04_1_1_RFP_006.tif"
705,"B15_04_1_1_RFP_007.tif"
816,"B15_04_1_1_RFP_008.tif"
851,"B15_04_1_1_RFP_009.tif"
905,"B15_04_1_1_RFP_010.tif"
345,"B16_04_1_1_RFP_001.tif"
358,"B16_04_1_1_RFP_002.tif"
391,"B16_04_1_1_RFP_003.tif"
425,"B16_04_1_1_RFP_004.tif"
428,"B16_04_1_1_RFP_005.tif"
591,"B16_04_1_1_RFP_006.tif"
742,"B16_04_1_1_RFP_007.tif"
904,"B16_04_1_1_RFP_008.tif"
1053,"B16_04_1_1_RFP_009.tif"
1162,"B16_04_1_1_RFP_010.tif"
367,"B17_04_1_1_RFP_001.tif"
388,"B17_04_1_1_RFP_002.tif"
448,"B17_04_1_1_RFP_003.tif"
428,"B17_04_1_1_RFP_004.tif"
474,"B17_04_1_1_RFP_005.tif"
631,"B17_04_1_1_RFP_006.tif"
877,"B17_04_1_1_RFP_007.tif"
1034,"B17_04_1_1_RFP_008.tif"
1222,"B17_04_1_1_RFP_009.tif"
1393,"B17_04_1_1_RFP_010.tif"
307,"B18_04_1_1_RFP_001.tif"
344,"B18_04_1_1_RFP_002.tif"
421,"B18_04_1_1_RFP_003.tif"
372,"B18_04_1_1_RFP_004.tif"
424,"B18_04_1_1_RFP_005.tif"
590,"B18_04_1_1_RFP_006.tif"
655,"B18_04_1_1_RFP_007.tif"
899,"B18_04_1_1_RFP_008.tif"
1020,"B18_04_1_1_RFP_009.tif"
1126,"B18_04_1_1_RFP_010.tif"
369,"B19_04_1_1_RFP_001.tif"
390,"B19_04_1_1_RFP_002.tif"
427,"B19_04_1_1_RFP_003.tif"
412,"B19_04_1_1_RFP_004.tif"
477,"B19_04_1_1_RFP_005.tif"
671,"B19_04_1_1_RFP_006.tif"
779,"B19_04_1_1_RFP_007.tif"
1010,"B19_04_1_1_RFP_008.tif"
1096,"B19_04_1_1_RFP_009.tif"
1278,"B19_04_1_1_RFP_010.tif"
90,"B2_04_1_1_RFP_001.tif"
257,"B2_04_1_1_RFP_002.tif"
316,"B2_04_1_1_RFP_003.tif"
317,"B2_04_1_1_RFP_004.tif"
340,"B2_04_1_1_RFP_005.tif"
341,"B2_04_1_1_RFP_006.tif"
364,"B2_04_1_1_RFP_007.tif"
423,"B2_04_1_1_RFP_008.tif"
335,"B2_04_1_1_RFP_009.tif"
354,"B2_04_1_1_RFP_010.tif"
291,"B20_04_1_1_RFP_001.tif"
364,"B20_04_1_1_RFP_002.tif"
403,"B20_04_1_1_RFP_003.tif"
354,"B20_04_1_1_RFP_004.tif"
432,"B20_04_1_1_RFP_005.tif"
586,"B20_04_1_1_RFP_006.tif"
757,"B20_04_1_1_RFP_007.tif"
976,"B20_04_1_1_RFP_008.tif"
1051,"B20_04_1_1_RFP_009.tif"
1224,"B20_04_1_1_RFP_010.tif"
361,"B21_04_1_1_RFP_001.tif"
355,"B21_04_1_1_RFP_002.tif"
