upid,well,cell.count,time,cell.line,drug1,drug1.conc,drug1.units
model_H841_k3d_iter_100,A01,300.157,0,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,301.142,0.24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,302.129,0.48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,303.119,0.72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,304.113,0.96,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,305.11,1.2,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,306.11,1.44,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,307.112,1.68,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,308.119,1.92,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,309.128,2.16,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,310.14,2.4,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,311.155,2.64,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,312.174,2.88,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,313.196,3.12,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,314.221,3.36,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,315.249,3.6,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,316.28,3.84,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,317.315,4.08,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,318.353,4.32,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,319.394,4.56,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,320.438,4.8,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,321.485,5.04,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,322.536,5.28,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,323.59,5.52,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,324.647,5.76,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,325.708,6,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,326.771,6.24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,327.838,6.48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,328.909,6.72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,329.982,6.96,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,331.059,7.2,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,332.14,7.44,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,333.223,7.68,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,334.31,7.92,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,335.4,8.16,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,336.494,8.4,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,337.591,8.64,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,338.691,8.88,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,339.795,9.12,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,340.902,9.36,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,342.013,9.6,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,343.127,9.84,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,344.244,10.08,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,345.365,10.32,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,346.49,10.56,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,347.617,10.8,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,348.749,11.04,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,349.883,11.28,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,351.022,11.52,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,352.163,11.76,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,353.308,12,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,354.457,12.24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,355.609,12.48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,356.765,12.72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,357.924,12.96,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,359.087,13.2,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,360.253,13.44,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,361.423,13.68,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,362.597,13.92,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,363.774,14.16,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,364.955,14.4,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,366.139,14.64,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,367.327,14.88,NCIH1048,TAK-901,0,M
