upid,well,cell.count,time,cell.line,drug1,drug1.conc,drug1.units
model_H841_k3d_iter_100,A01,368.518,15.12,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,369.714,15.36,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,370.912,15.6,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,372.115,15.84,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,373.321,16.08,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,374.531,16.32,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,375.744,16.56,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,376.961,16.8,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,378.182,17.04,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,379.407,17.28,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,380.635,17.52,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,381.867,17.76,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,383.103,18,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,384.342,18.24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,385.586,18.48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,386.833,18.72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,388.084,18.96,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,389.338,19.2,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,390.597,19.44,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,391.859,19.68,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,393.125,19.92,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,394.395,20.16,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,395.668,20.4,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,396.946,20.64,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,398.227,20.88,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,399.512,21.12,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,400.801,21.36,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,402.094,21.6,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,403.391,21.84,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,404.692,22.08,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,405.997,22.32,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,407.306,22.56,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,408.618,22.8,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,409.935,23.04,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,411.255,23.28,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,412.58,23.52,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,413.908,23.76,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,415.24,24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,416.577,24.24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,417.917,24.48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,419.262,24.72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,420.61,24.96,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,421.963,25.2,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,423.319,25.44,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,424.68,25.68,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,426.044,25.92,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,427.413,26.16,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,428.786,26.4,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,430.163,26.64,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,431.544,26.88,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,432.929,27.12,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,434.318,27.36,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,435.712,27.6,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,437.109,27.84,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,438.511,28.08,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,439.917,28.32,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,441.327,28.56,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,442.741,28.8,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,444.16,29.04,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,445.582,29.28,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,447.009,29.52,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,448.44,29.76,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,449.876,30,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,451.315,30.24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,452.759,30.48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,454.207,30.72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,455.66,30.96,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,457.116,31.2,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,458.577,31.44,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,460.043,31.68,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,461.512,31.92,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,462.986,32.16,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,464.465,32.4,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,465.947,32.64,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,467.434,32.88,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,468.926,33.12,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,470.422,33.36,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,471.922,33.6,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,473.426,33.84,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,474.935,34.08,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,476.449,34.32,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,477.967,34.56,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,479.489,34.8,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,481.016,35.04,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,482.547,35.28,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,484.083,35.52,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,485.623,35.76,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,487.168,36,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,488.718,36.24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,490.271,36.48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,491.83,36.72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,493.393,36.96,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,494.96,37.2,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,496.532,37.44,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,498.109,37.68,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,499.69,37.92,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,501.276,38.16,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,502.866,38.4,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,504.461,38.64,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,506.061,38.88,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,507.665,39.12,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,509.274,39.36,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,510.888,39.6,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,512.506,39.84,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,514.129,40.08,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,515.757,40.32,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,517.389,40.56,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,519.026,40.8,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,520.668,41.04,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,522.315,41.28,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,523.966,41.52,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,525.622,41.76,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,527.283,42,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,528.949,42.24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,530.619,42.48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,532.294,42.72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,533.974,42.96,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,535.659,43.2,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,537.349,43.44,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,539.044,43.68,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,540.743,43.92,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,542.447,44.16,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,544.156,44.4,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,545.871,44.64,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,547.59,44.88,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,549.313,45.12,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,551.042,45.36,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,552.776,45.6,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,554.515,45.84,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,556.258,46.08,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,558.007,46.32,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,559.761,46.56,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,561.519,46.8,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,563.283,47.04,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,565.051,47.28,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,566.825,47.52,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,568.604,47.76,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,570.387,48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,572.176,48.24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,573.97,48.48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,575.769,48.72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,577.573,48.96,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,579.382,49.2,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,581.196,49.44,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,583.015,49.68,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,584.84,49.92,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,586.669,50.16,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,588.504,50.4,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,590.344,50.64,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,592.189,50.88,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,594.039,51.12,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,595.895,51.36,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,597.756,51.6,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,599.621,51.84,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,601.493,52.08,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,603.369,52.32,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,605.251,52.56,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,607.138,52.8,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,609.03,53.04,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,610.927,53.28,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,612.83,53.52,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,614.738,53.76,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,616.651,54,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,618.57,54.24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,620.494,54.48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,622.423,54.72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,624.358,54.96,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,626.298,55.2,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,628.244,55.44,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,630.195,55.68,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,632.151,55.92,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,634.113,56.16,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,636.08,56.4,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,638.052,56.64,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,640.03,56.88,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,642.014,57.12,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,644.003,57.36,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,645.997,57.6,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,647.997,57.84,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,650.003,58.08,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,652.014,58.32,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,654.03,58.56,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,656.052,58.8,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,658.08,59.04,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,660.113,59.28,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,662.152,59.52,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,664.196,59.76,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,666.246,60,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,668.301,60.24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,670.362,60.48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,672.429,60.72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,674.501,60.96,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,676.579,61.2,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,678.663,61.44,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,680.752,61.68,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,682.847,61.92,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,684.948,62.16,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,687.054,62.4,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,689.167,62.64,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,691.284,62.88,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,693.408,63.12,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,695.537,63.36,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,697.672,63.6,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,699.813,63.84,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,701.96,64.08,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,704.112,64.32,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,706.27,64.56,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,708.434,64.8,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,710.604,65.04,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,712.78,65.28,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,714.961,65.52,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,717.148,65.76,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,719.341,66,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,721.54,66.24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,723.745,66.48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,725.956,66.72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,728.173,66.96,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,730.395,67.2,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,732.624,67.44,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,734.858,67.68,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,737.099,67.92,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,739.345,68.16,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,741.597,68.4,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,743.856,68.64,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,746.12,68.88,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,748.39,69.12,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,750.667,69.36,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,752.949,69.6,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,755.237,69.84,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,757.532,70.08,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,759.832,70.32,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,762.139,70.56,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,764.451,70.8,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,766.77,71.04,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,769.095,71.28,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,771.425,71.52,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,773.762,71.76,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,776.105,72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,778.454,72.24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,780.81,72.48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,783.171,72.72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,785.539,72.96,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,787.913,73.2,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,790.293,73.44,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,792.679,73.68,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,795.071,73.92,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,797.47,74.16,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,799.875,74.4,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,802.286,74.64,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,804.703,74.88,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,807.127,75.12,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,809.556,75.36,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,811.992,75.6,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,814.435,75.84,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,816.883,76.08,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,819.338,76.32,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,821.8,76.56,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,824.267,76.8,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,826.741,77.04,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,829.221,77.28,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,831.708,77.52,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,834.201,77.76,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,836.7,78,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,839.206,78.24,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,841.718,78.48,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,844.236,78.72,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,846.761,78.96,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,849.293,79.2,NCIH1048,TAK-901,0,M
model_H841_k3d_iter_100,A01,851.83,79.44,NCIH1048,TAK-901,0,M
