TotHour,R03-C11,R04-C11,R05-C11,R06-C11,H841_1_avg
0,668,1587,2030,2004,1572.25
14.5,1957,2500,3089,3515,2765.25
24.35,2235,2627,3429,4069,3090
39.21666667,2658,3644,4717,5411,4107.5
47.71666667,3338,4352,5415,5823,4732
61.41666667,3681,4583,6035,6664,5240.75
71.28333333,4034,4788,6156,7025,5500.75
92.13333333,5076,6170,7094,7547,6471.75
111.0666667,5424,6186,7187,7407,6551
