,cell.line,drug1,drug1.conc,dip_rate,Count_Type,DIPzero,DIPrNorm
158,H1048,SNS-314,1e-05,-0.02220978174918999,Direct,0.018002149204850725,-1.233729456214345
159,H1048,SNS-314,1e-06,-0.02347100418204603,Direct,0.018002149204850725,-1.3037890040219036
160,H1048,SNS-314,1e-07,-0.01848067428506173,Direct,0.018002149204850725,-1.0265815528338176
161,H1048,SNS-314,1e-08,-0.008690694690754773,Direct,0.018002149204850725,-0.4827587301861182
162,H1048,SNS-314,1e-09,-0.007998372624051689,Direct,0.018002149204850725,-0.4443009850121955
163,H1048,SNS-314,1e-10,0.016817776029460538,Direct,0.018002149204850725,0.9342093456779563
164,H1048,SNS-314,2.0000000000000002e-11,0.015752277445574833,Direct,0.018002149204850725,0.8750220468859541
165,H1048,SNS-314,1e-05,-0.025414520481748668,Direct,0.018002149204850725,-1.4117492413017363
166,H1048,SNS-314,1e-06,-0.024535735303650528,Direct,0.018002149204850725,-1.3629336711107423
167,H1048,SNS-314,1e-07,-0.013545828868022329,Direct,0.018002149204850725,-0.7524562047498401
168,H1048,SNS-314,1e-08,0.02023911959401244,Direct,0.018002149204850725,1.1242612958989895
169,H1048,SNS-314,1e-09,-0.013229164345430049,Direct,0.018002149204850725,-0.7348658315677895
170,H1048,SNS-314,1e-10,0.017877360951097092,Direct,0.018002149204850725,0.9930681469010373
171,H1048,SNS-314,2.0000000000000002e-11,0.012328175506032959,Direct,0.018002149204850725,0.6848168719050001
172,H1048,SNS-314,0.0,0.016149234699255482,Direct,0.018002149204850725,0.8970725948046264
173,H1048,SNS-314,0.0,0.01569178543008094,Direct,0.018002149204850725,0.8716617805752186
174,H1048,SNS-314,0.0,0.0214709480687218,Direct,0.018002149204850725,1.192688040988817
175,H1048,SNS-314,0.0,0.01706006531018656,Direct,0.018002149204850725,0.9476682542765328
176,H1048,SNS-314,0.0,0.017114621528316724,Direct,0.018002149204850725,0.9506987934365717
177,H1048,SNS-314,0.0,0.022540762170901736,Direct,0.018002149204850725,1.252115062174247
178,H1048,SNS-314,0.0,0.026522338657741392,Direct,0.018002149204850725,1.473287347857048
179,H1048,SNS-314,0.0,0.018099783276039817,Direct,0.018002149204850725,1.0054234675025793
180,H1048,SNS-314,0.0,0.02049830557523933,Direct,0.018002149204850725,1.1386587980126288
181,H1048,SNS-314,0.0,0.025138982450530548,Direct,0.018002149204850725,1.3964434004222555
182,H1048,SNS-314,0.0,0.02109350116354369,Direct,0.018002149204850725,1.1717212719167993
183,H1048,SNS-314,0.0,0.0219030143580172,Direct,0.018002149204850725,1.2166888580234285
184,H1048,SNS-314,0.0,0.0183478007513232,Direct,0.018002149204850725,1.0192005711395469
185,H1048,SNS-314,0.0,0.013935013980459184,Direct,0.018002149204850725,0.7740750185930222
186,H1048,SNS-314,0.0,0.014451728593249372,Direct,0.018002149204850725,0.8027779588314553
187,H1048,SNS-314,0.0,0.02110422238681684,Direct,0.018002149204850725,1.1723168243228566
188,H1048,SNS-314,0.0,0.013772163834618444,Direct,0.018002149204850725,0.7650288683813097
189,H1048,SNS-314,0.0,0.02435238559259464,Direct,0.018002149204850725,1.3527487921293768
190,H1048,SNS-314,0.0,0.024905038667656792,Direct,0.018002149204850725,1.3834480752412643
191,H1048,SNS-314,0.0,0.02153971700026121,Direct,0.018002149204850725,1.1965080810716355
192,H1048,SNS-314,0.0,0.016808891059352092,Direct,0.018002149204850725,0.9337157951575522
193,H1048,SNS-314,0.0,0.0183949843123501,Direct,0.018002149204850725,1.0218215671378574
194,H1048,SNS-314,0.0,0.017538780162395372,Direct,0.018002149204850725,0.9742603487404439
195,H1048,SNS-314,0.0,0.02052366641613413,Direct,0.018002149204850725,1.1400675654106887
196,H1048,SNS-314,0.0,0.022085291053148413,Direct,0.018002149204850725,1.2268141321258172
197,H1048,SNS-314,0.0,0.021190090628340392,Direct,0.018002149204850725,1.1770867126593234
198,H1048,SNS-314,0.0,0.02165468221385321,Direct,0.018002149204850725,1.2028942748690419
199,H1048,SNS-314,0.0,0.018414655069878976,Direct,0.018002149204850725,1.0229142565331644
200,H1048,SNS-314,0.0,0.023585501779521217,Direct,0.018002149204850725,1.3101492222476439
201,H1048,SNS-314,0.0,0.02334888830476955,Direct,0.018002149204850725,1.297005598558095
202,H1048,SNS-314,0.0,0.015894963397807927,Direct,0.018002149204850725,0.8829480978596149
