Time,TotHour,10uM_1,10uM_2,10uM_3,2.5uM_1,2.5uM_2,2.5uM_3,625nM_1,625nM_2,625nM_3,156.25nM_1,156.25nM_2,156.25nM_3,39nM_1,39nM_2,39nM_3,9.76nM_1,9.76nM_2,9.76nM_3,2.44nM_1,2.44nM_2,2.44nM_3,.61nM_1,.61nM_2,.61nM_3,.15nM_1,.15nM_2,.15nM_3,DMSO_1,DMSO_2,DMSO_3
0:00:00,0,4136,7239,6799,3792,4846,4389,6288,6487,4662,4730,5943,4128,5803,6293,4893,5127,5248,3828,7579,6474,4584,6136,6923,6448,6602,8551,6172,6320,3519,8485
16:20:49,16.34694444,2334,3325,3270,2344,2928,2551,7030,11264,6666,8483,8357,11071,8584,13719,9290,10947,13877,10691,11760,14375,11183,11089,10344,13723,12525,16961,15077,16894,13545,12186
23:39:35,23.65972222,4314,3069,2432,3047,2090,1986,7980,8290,8510,10704,6835,8005,9767,16438,11690,14388,12076,12013,17479,18245,14671,14614,12213,18109,16808,22089,17401,18580,16641,15651
39:02:06,39.035,3577,2601,1947,1133,3941,3638,6618,13633,10393,11593,9205,8557,9912,18610,10847,20816,17318,18716,23341,22494,22857,20411,24433,22871,24478,29689,31147,25644,22744,29726
46:30:42,46.51166667,1739,3660,2322,1366,2501,2601,7840,10962,9385,9676,7977,9857,9173,15588,9611,21339,13191,20492,22794,26132,27911,22664,28203,32351,26490,34052,31281,29578,28839,28765
70:16:55,70.28194444,1413,2794,1884,2790,2663,2093,5512,10673,6629,6933,6482,5524,9401,11397,9543,20948,19823,21582,25858,29984,32894,26894,36436,37798,31678,33583,38334,33996,25198,34015
93:29:33,93.4925,2291,2935,2293,1259,4014,3031,6769,9007,7260,7424,10933,7576,7274,9790,9240,25550,20971,26013,34176,37374,39027,39434,44192,45290,40830,49997,55350,39734,36387,46979
99:00:58,99.01611111,2984,3865,4073,4354,4268,3652,5476,8507,6768,8328,8432,10880,10365,12880,11393,26803,24064,28405,38948,38635,42182,43049,42966,43249,48425,60199,52875,44188,37763,51301
110:52:10,110.8694444,2694,4039,2262,2355,3125,1751,5470,7592,5677,6360,8597,8495,7931,10524,7710,29326,24523,26252,34591,37804,44131,40132,43671,52501,45710,54800,56197,46726,41236,54492
