file_name,cell_count,file_name_ch2,ch2_pos,plate_id,well
F20_02_1_2_RFP_001.tif,34,F20_02_2_2_GFP_001.tif,15,82,F20
G15_02_1_2_RFP_001.tif,179,G15_02_2_2_GFP_001.tif,115,82,G15
L22_02_1_2_RFP_001.tif,304,L22_02_2_2_GFP_001.tif,158,82,L22
J5_02_1_1_RFP_001.tif,27,J5_02_2_1_GFP_001.tif,23,82,J05
E3_02_1_2_RFP_001.tif,34,E3_02_2_2_GFP_001.tif,20,82,E03
M3_02_1_2_RFP_001.tif,408,M3_02_2_2_GFP_001.tif,23,82,M03
C7_02_1_2_RFP_001.tif,324,C7_02_2_2_GFP_001.tif,3,82,C07
N20_02_1_1_RFP_001.tif,190,N20_02_2_1_GFP_001.tif,70,82,N20
G19_02_1_2_RFP_001.tif,159,G19_02_2_2_GFP_001.tif,87,82,G19
G4_02_1_1_RFP_001.tif,68,G4_02_2_1_GFP_001.tif,58,82,G04
J19_02_1_2_RFP_001.tif,51,J19_02_2_2_GFP_001.tif,33,82,J19
I12_02_1_2_RFP_001.tif,132,I12_02_2_2_GFP_001.tif,77,82,I12
E6_02_1_1_RFP_001.tif,35,E6_02_2_1_GFP_001.tif,28,82,E06
H23_02_1_1_RFP_001.tif,77,H23_02_2_1_GFP_001.tif,57,82,H23
K7_02_1_1_RFP_001.tif,55,K7_02_2_1_GFP_001.tif,5,82,K07
K21_02_1_2_RFP_001.tif,275,K21_02_2_2_GFP_001.tif,4,82,K21
F18_02_1_1_RFP_001.tif,33,F18_02_2_1_GFP_001.tif,21,82,F18
I2_02_1_2_RFP_001.tif,45,I2_02_2_2_GFP_001.tif,30,82,I02
K6_02_1_2_RFP_001.tif,487,K6_02_2_2_GFP_001.tif,3,82,K06
N19_02_1_1_RFP_001.tif,162,N19_02_2_1_GFP_001.tif,17,82,N19
G10_02_1_1_RFP_001.tif,108,G10_02_2_1_GFP_001.tif,92,82,G10
L19_02_1_2_RFP_001.tif,384,L19_02_2_2_GFP_001.tif,133,82,L19
K5_02_1_2_RFP_001.tif,453,K5_02_2_2_GFP_001.tif,4,82,K05
J20_02_1_1_RFP_001.tif,38,J20_02_2_1_GFP_001.tif,23,82,J20
G16_02_1_1_RFP_001.tif,128,G16_02_2_1_GFP_001.tif,111,82,G16
L15_02_1_2_RFP_001.tif,264,L15_02_2_2_GFP_001.tif,91,82,L15
L13_02_1_2_RFP_001.tif,142,L13_02_2_2_GFP_001.tif,82,82,L13
C16_02_1_1_RFP_001.tif,199,C16_02_2_1_GFP_001.tif,1,82,C16
I11_02_1_2_RFP_001.tif,86,I11_02_2_2_GFP_001.tif,51,82,I11
H2_02_1_2_RFP_001.tif,99,H2_02_2_2_GFP_001.tif,82,82,H02
L18_02_1_1_RFP_001.tif,254,L18_02_2_1_GFP_001.tif,166,82,L18
F13_02_1_2_RFP_001.tif,26,F13_02_2_2_GFP_001.tif,17,82,F13
K18_02_1_2_RFP_001.tif,543,K18_02_2_2_GFP_001.tif,6,82,K18
K12_02_1_1_RFP_001.tif,67,K12_02_2_1_GFP_001.tif,10,82,K12
M21_02_1_2_RFP_001.tif,463,M21_02_2_2_GFP_001.tif,67,82,M21
J16_02_1_1_RFP_001.tif,33,J16_02_2_1_GFP_001.tif,19,82,J16
D18_02_1_1_RFP_001.tif,69,D18_02_2_1_GFP_001.tif,0,82,D18
I3_02_1_1_RFP_001.tif,79,I3_02_2_1_GFP_001.tif,53,82,I03
J4_02_1_2_RFP_001.tif,124,J4_02_2_2_GFP_001.tif,69,82,J04
E6_02_1_2_RFP_001.tif,33,E6_02_2_2_GFP_001.tif,21,82,E06
F9_02_1_2_RFP_001.tif,24,F9_02_2_2_GFP_001.tif,19,82,F09
F6_02_1_1_RFP_001.tif,29,F6_02_2_1_GFP_001.tif,21,82,F06
N17_02_1_1_RFP_001.tif,217,N17_02_2_1_GFP_001.tif,59,82,N17
J17_02_1_2_RFP_001.tif,52,J17_02_2_2_GFP_001.tif,35,82,J17
C3_02_1_2_RFP_001.tif,391,C3_02_2_2_GFP_001.tif,1,82,C03
L7_02_1_1_RFP_001.tif,155,L7_02_2_1_GFP_001.tif,63,82,L07
E15_02_1_1_RFP_001.tif,29,E15_02_2_1_GFP_001.tif,20,82,E15
F6_02_1_2_RFP_001.tif,32,F6_02_2_2_GFP_001.tif,22,82,F06
G2_02_1_1_RFP_001.tif,60,G2_02_2_1_GFP_001.tif,55,82,G02
N12_02_1_2_RFP_001.tif,484,N12_02_2_2_GFP_001.tif,175,82,N12
J11_02_1_2_RFP_001.tif,41,J11_02_2_2_GFP_001.tif,31,82,J11
E18_02_1_2_RFP_001.tif,18,E18_02_2_2_GFP_001.tif,12,82,E18
N21_02_1_1_RFP_001.tif,176,N21_02_2_1_GFP_001.tif,24,82,N21
D21_02_1_2_RFP_001.tif,194,D21_02_2_2_GFP_001.tif,1,82,D21
E8_02_1_2_RFP_001.tif,41,E8_02_2_2_GFP_001.tif,22,82,E08
J7_02_1_2_RFP_001.tif,5,J7_02_2_2_GFP_001.tif,0,82,J07
C10_02_1_2_RFP_001.tif,312,C10_02_2_2_GFP_001.tif,1,82,C10
N15_02_1_1_RFP_001.tif,168,N15_02_2_1_GFP_001.tif,26,82,N15
K10_02_1_2_RFP_001.tif,299,K10_02_2_2_GFP_001.tif,3,82,K10
C11_02_1_1_RFP_001.tif,282,C11_02_2_1_GFP_001.tif,0,82,C11
D10_02_1_2_RFP_001.tif,457,D10_02_2_2_GFP_001.tif,1,82,D10
M10_02_1_1_RFP_001.tif,200,M10_02_2_1_GFP_001.tif,78,82,M10
K19_02_1_2_RFP_001.tif,315,K19_02_2_2_GFP_001.tif,6,82,K19
E4_02_1_2_RFP_001.tif,30,E4_02_2_2_GFP_001.tif,17,82,E04
K16_02_1_1_RFP_001.tif,102,K16_02_2_1_GFP_001.tif,7,82,K16
C21_02_1_2_RFP_001.tif,166,C21_02_2_2_GFP_001.tif,0,82,C21
L12_02_1_1_RFP_001.tif,209,L12_02_2_1_GFP_001.tif,109,82,L12
E2_02_1_1_RFP_001.tif,9,E2_02_2_1_GFP_001.tif,8,82,E02
L8_02_1_1_RFP_001.tif,115,L8_02_2_1_GFP_001.tif,61,82,L08
