,well,RLU,Cell_Line,Cell_Conc,Culture_Type
111,H15,2266,H524,312.5,Suspension
112,H16,1301,H524,156.25,Suspension
113,H17,329,H524,0.0,Suspension
114,I02,55941,DMS114,2000.0,Adherent
115,I03,26491,DMS114,1000.0,Adherent
116,I04,14276,DMS114,500.0,Adherent
117,I05,3592,DMS114,250.0,Adherent
118,I06,4072,DMS114,125.0,Adherent
119,I07,1972,DMS114,62.5,Adherent
120,I08,1654,DMS114,31.25,Adherent
121,I09,1086,DMS114,0.0,Adherent
122,I10,7315,H524,10000.0,Suspension
123,I11,2500,H524,5000.0,Suspension
124,I12,1888,H524,2500.0,Suspension
125,I13,810,H524,1250.0,Suspension
126,I14,412,H524,625.0,Suspension
127,I15,2543,H524,312.5,Suspension
128,I16,211,H524,156.25,Suspension
129,I17,473,H524,0.0,Suspension
130,J02,59987,DMS114,2000.0,Adherent
131,J03,27368,DMS114,1000.0,Adherent
132,J04,11570,DMS114,500.0,Adherent
133,J05,9160,DMS114,250.0,Adherent
134,J06,6362,DMS114,125.0,Adherent
135,J07,3234,DMS114,62.5,Adherent
136,J08,2995,DMS114,31.25,Adherent
137,J09,984,DMS114,0.0,Adherent
138,J10,6898,H524,10000.0,Suspension
139,J11,3214,H524,5000.0,Suspension
140,J12,1744,H524,2500.0,Suspension
141,J13,1763,H524,1250.0,Suspension
142,J14,1670,H524,625.0,Suspension
143,J15,1220,H524,312.5,Suspension
144,J16,958,H524,156.25,Suspension
145,J17,549,H524,0.0,Suspension
146,K02,332070,DMS53,2000.0,Adherent
147,K03,178822,DMS53,1000.0,Adherent
148,K04,120887,DMS53,500.0,Adherent
149,K05,48701,DMS53,250.0,Adherent
150,K06,15066,DMS53,125.0,Adherent
151,K07,9611,DMS53,62.5,Adherent
152,K08,7801,DMS53,31.25,Adherent
153,K09,1499,DMS53,0.0,Adherent
154,K10,25372,H526,10000.0,Suspension
155,K11,9619,H526,5000.0,Suspension
156,K12,4846,H526,2500.0,Suspension
157,K13,3342,H526,1250.0,Suspension
158,K14,1493,H526,625.0,Suspension
159,K15,1127,H526,312.5,Suspension
160,K16,1635,H526,156.25,Suspension
161,K17,1337,H526,0.0,Suspension
162,L02,276799,DMS53,2000.0,Adherent
163,L03,181326,DMS53,1000.0,Adherent
164,L04,89721,DMS53,500.0,Adherent
165,L05,31344,DMS53,250.0,Adherent
166,L06,19570,DMS53,125.0,Adherent
167,L07,11324,DMS53,62.5,Adherent
168,L08,7944,DMS53,31.25,Adherent
169,L09,316,DMS53,0.0,Adherent
170,L10,26573,H526,10000.0,Suspension
171,L11,9846,H526,5000.0,Suspension
172,L12,4119,H526,2500.0,Suspension
173,L13,2036,H526,1250.0,Suspension
174,L14,3664,H526,625.0,Suspension
175,L15,1005,H526,312.5,Suspension
176,L16,1909,H526,156.25,Suspension
177,L17,318,H526,0.0,Suspension
178,M02,431950,DMS53,2000.0,Adherent
179,M03,141003,DMS53,1000.0,Adherent
180,M04,57665,DMS53,500.0,Adherent
181,M05,40180,DMS53,250.0,Adherent
182,M06,26344,DMS53,125.0,Adherent
183,M07,12644,DMS53,62.5,Adherent
184,M08,6582,DMS53,31.25,Adherent
185,M09,541,DMS53,0.0,Adherent
186,M10,21027,H526,10000.0,Suspension
187,M11,7026,H526,5000.0,Suspension
188,M12,5819,H526,2500.0,Suspension
189,M13,1876,H526,1250.0,Suspension
190,M14,1692,H526,625.0,Suspension
191,M15,354,H526,312.5,Suspension
192,M16,456,H526,156.25,Suspension
193,M17,172,H526,0.0,Suspension
