,RLU,TotHour,cell.line,well,drug1,drug1.conc,drug1.units,log_RLU
0,10763,0.0,CORL279,C03,AMG-900,1e-05,M,9.283869605264297
1,23698,10.772222222222226,CORL279,C03,AMG-900,1e-05,M,10.073145935376683
2,34941,35.59333333333333,CORL279,C03,AMG-900,1e-05,M,10.461416203770762
3,39953,47.55361111111111,CORL279,C03,AMG-900,1e-05,M,10.595459042242352
4,36703,60.75861111111111,CORL279,C03,AMG-900,1e-05,M,10.510613774571024
5,31646,80.89250000000001,CORL279,C03,AMG-900,1e-05,M,10.36236703727893
6,25265,92.58583333333333,CORL279,C03,AMG-900,1e-05,M,10.137175317726008
7,24170,109.21361111111112,CORL279,C03,AMG-900,1e-05,M,10.09286747369753
8,22807,0.0,CORL279,C04,AMG-900,2.5e-06,M,10.034822785366151
9,38561,10.772222222222226,CORL279,C04,AMG-900,2.5e-06,M,10.55999668199817
10,64035,35.59333333333333,CORL279,C04,AMG-900,2.5e-06,M,11.067185087860171
11,55105,47.55361111111111,CORL279,C04,AMG-900,2.5e-06,M,10.916995735125642
12,49012,60.75861111111111,CORL279,C04,AMG-900,2.5e-06,M,10.799820445069336
13,30955,80.89250000000001,CORL279,C04,AMG-900,2.5e-06,M,10.340289815953332
14,17347,92.58583333333333,CORL279,C04,AMG-900,2.5e-06,M,9.76117485976141
15,14752,109.21361111111112,CORL279,C04,AMG-900,2.5e-06,M,9.599133945796376
16,32518,0.0,CORL279,C05,AMG-900,6.25e-07,M,10.3895490611555
17,37604,10.772222222222226,CORL279,C05,AMG-900,6.25e-07,M,10.534865706698444
18,73679,35.59333333333333,CORL279,C05,AMG-900,6.25e-07,M,11.20747309863296
19,63466,47.55361111111111,CORL279,C05,AMG-900,6.25e-07,M,11.058259608414442
20,43244,60.75861111111111,CORL279,C05,AMG-900,6.25e-07,M,10.674613774412665
21,28597,80.89250000000001,CORL279,C05,AMG-900,6.25e-07,M,10.261057096201172
22,15864,92.58583333333333,CORL279,C05,AMG-900,6.25e-07,M,9.671807670199632
23,16668,109.21361111111112,CORL279,C05,AMG-900,6.25e-07,M,9.721245992542345
24,27359,0.0,CORL279,C06,AMG-900,1.56e-07,M,10.216800821360929
25,55426,10.772222222222226,CORL279,C06,AMG-900,1.56e-07,M,10.922804076721391
26,83035,35.59333333333333,CORL279,C06,AMG-900,1.56e-07,M,11.327017484640852
27,86327,47.55361111111111,CORL279,C06,AMG-900,1.56e-07,M,11.365897690249298
28,56384,60.75861111111111,CORL279,C06,AMG-900,1.56e-07,M,10.93994070929585
29,34916,80.89250000000001,CORL279,C06,AMG-900,1.56e-07,M,10.46070045585524
30,25559,92.58583333333333,CORL279,C06,AMG-900,1.56e-07,M,10.148744784095447
31,15425,109.21361111111112,CORL279,C06,AMG-900,1.56e-07,M,9.643744848773588
32,27099,0.0,CORL279,C07,AMG-900,3.91e-08,M,10.207252105817954
33,48489,10.772222222222226,CORL279,C07,AMG-900,3.91e-08,M,10.789092247077921
34,76711,35.59333333333333,CORL279,C07,AMG-900,3.91e-08,M,11.247800392978398
35,76167,47.55361111111111,CORL279,C07,AMG-900,3.91e-08,M,11.240683577006326
36,69016,60.75861111111111,CORL279,C07,AMG-900,3.91e-08,M,11.142093640756414
37,40453,80.89250000000001,CORL279,C07,AMG-900,3.91e-08,M,10.607896085373092
38,22265,92.58583333333333,CORL279,C07,AMG-900,3.91e-08,M,10.010771217755805
39,14202,109.21361111111112,CORL279,C07,AMG-900,3.91e-08,M,9.561138078742037
40,26198,0.0,CORL279,C08,AMG-900,9.77e-09,M,10.173438350957595
