TotHour,10uM,2.5uM,625nM,156.25nM,39nM,9.76nM,2.44nM,.61nM,.15nM,DMSO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.346944444444443,-3081.6666666666665,-1734.6666666666665,2507.666666666667,4369.999999999999,4868.0,7104.000000000001,6227.000000000001,5216.333333333333,7746.000000000001,8100.333333333334
23.65972222222222,-2786.3333333333335,-1967.9999999999995,2447.666666666667,3580.999999999999,6968.666666666666,8091.333333333333,10586.0,8476.333333333332,11657.666666666668,10849.333333333332
39.035,-3349.6666666666665,-1438.333333333333,4402.333333333333,4851.333333333333,7460.0,14215.666666666668,16685.0,16069.333333333336,21329.666666666668,19930.0
46.51166666666666,-3484.3333333333335,-2186.333333333333,3583.333333333333,4236.333333333333,5794.333333333334,13606.333333333336,19400.0,21237.0,23499.333333333336,22952.666666666668
70.28194444444445,-4027.666666666667,-1826.9999999999995,1792.333333333334,1379.333333333333,4450.666666666666,16050.0,23366.333333333336,27207.000000000004,27423.333333333332,24961.666666666668
93.4925,-3551.6666666666665,-1574.333333333333,1866.333333333334,3710.666666666667,3105.0,19443.666666666668,30646.666666666668,36469.666666666664,41617.33333333333,34925.333333333336
99.01611111111112,-2417.3333333333335,-250.99999999999955,1104.666666666667,4279.666666666667,5883.0,21689.666666666668,33709.33333333333,36585.666666666664,46724.666666666664,38309.333333333336
110.86944444444444,-3059.6666666666665,-1931.9999999999995,434.0,2883.666666666666,3058.666666666666,21966.0,32629.666666666668,38932.33333333333,45127.33333333333,41376.666666666664
118.38722222222223,-2948.0,-1187.9999999999995,1725.666666666667,5205.999999999999,6307.0,23835.333333333336,35950.33333333333,43198.666666666664,46395.0,41586.666666666664
135.38222222222223,-2455.6666666666665,-1077.333333333333,2941.666666666667,2436.666666666666,3495.0,18310.666666666668,38837.33333333333,43638.666666666664,44083.666666666664,42549.666666666664
147.1563888888889,-2698.0,-1248.333333333333,1137.333333333334,3988.666666666667,4538.0,18745.0,37661.666666666664,43138.33333333333,41715.0,39463.666666666664
147.27916666666667,-2388.0,-636.6666666666665,3225.666666666667,4274.999999999999,8190.666666666666,18266.0,44273.33333333333,47483.0,45477.0,46498.0
158.95888888888888,-3194.0,-1686.333333333333,534.3333333333339,1894.333333333333,4054.0,14246.333333333336,38482.0,41462.666666666664,39445.0,36357.0
