,TotHour,10um1,2.5um1,625nm1,156.25nm1,39nm1,9.76nm1,2.44nm1,0.61nm1,0.15nm1,DMSO1,10um2,2.5um2,625nm2,156.25nm2,39nm2,9.76nm2,2.44nm2,0.61nm2,0.15nm2,DMSO2,10um3,2.5um3,625nm3,156.25nm3,39nm3,9.76nm3,2.44nm3,0.61nm3,0.15nm3,DMSO3
0,0.0,4064,5184,5143,5782,5227,6941,6043,6409,5977,7099,3669,5101,5132,5870,5101,6398,5330,7010,5851,7042,4117,6163,5261,6442,5625,6129,5736,6474,6167,6861
1,29.68888888888889,1040,2425,5193,7487,7482,7739,9344,13237,13359,13461,985,2588,5040,7608,7385,6955,9155,12166,11508,12874,1121,2617,4877,8384,7279,7310,9325,13123,11935,13714
2,44.26027777777778,729,1912,3954,6667,7256,5717,11339,16941,17116,17462,544,1973,4161,6414,6955,5241,10677,15409,15397,16789,613,1960,4034,7212,7363,5190,11357,16977,15449,17959
3,46.03361111111111,653,1748,3927,6781,7325,5464,11251,17447,18040,18353,590,2174,3652,6085,6673,5179,10511,15931,15958,17501,789,2049,3915,7218,7183,5244,11192,18032,16153,18673
4,54.73416666666667,700,1842,3519,6408,7102,4910,12788,19197,21113,20947,549,1667,3488,5823,6996,4416,11440,18583,18216,20236,579,2049,3380,7101,6837,4612,12822,20866,19069,21774
5,68.00138888888888,625,1715,3056,5552,6706,4212,14959,24775,27482,27746,667,1790,3118,5300,6792,3744,13325,22686,23235,26280,660,1850,2870,5894,6866,3934,13309,25713,23936,27836
6,79.075,651,1755,2831,5582,6920,3810,17117,28828,34037,32989,685,1835,2938,5279,6745,3723,14688,28129,28433,32191,686,1694,2847,5709,7067,3776,14689,31608,30499,34014
7,94.90777777777778,638,1663,2853,5450,6998,4201,20464,37210,40626,40607,644,1656,2550,5173,7331,4012,17826,36469,35480,41612,765,1454,2537,5903,6691,3932,16541,39493,39597,42804
8,107.17222222222223,769,1616,2552,5831,8317,4297,22826,42352,47022,47017,760,1684,2402,5959,7563,4391,19767,42339,42147,50293,802,1254,2431,6185,7909,4097,18246,45486,46501,49834
9,120.03611111111111,835,1457,2865,5659,8489,4718,26013,47816,50495,51480,762,1437,2646,6178,8491,4788,22827,49120,47450,53008,862,919,2218,5639,8092,4480,19607,50172,50636,55135
