,TotHour,10um1,2.5um1,625nm1,156.25nm1,39nm1,9.76nm1,2.44nm1,0.61nm1,0.15nm1,DMSO1,10um2,2.5um2,625nm2,156.25nm2,39nm2,9.76nm2,2.44nm2,0.61nm2,0.15nm2,DMSO2,10um3,2.5um3,625nm3,156.25nm3,39nm3,9.76nm3,2.44nm3,0.61nm3,0.15nm3,DMSO3
0,0.0,4400,5909,5228,6167,5345,6364,5934,6957,5619,7393,4570,5744,5730,6385,6049,7575,6294,7174,6306,6749,4197,5661,5392,6608,6249,7223,5869,6635,5815,7328
1,29.68888888888889,6038,6451,6389,6548,6161,6896,11125,12887,10824,12497,6822,6759,5870,6850,5921,8560,11754,12057,11143,12427,5651,6703,6550,6575,6400,8184,11456,12008,11538,12961
2,44.26027777777778,6733,5608,4100,4218,4316,5824,14731,16531,13624,15596,6460,4887,4478,4811,4056,6798,14449,15749,15771,15995,6094,5408,4556,5080,4676,6190,14895,15967,15534,16953
3,46.03361111111111,6668,4877,3625,4009,4292,5780,15201,16449,13777,16389,6411,4953,4317,4679,4332,6720,16059,16302,14799,16932,6386,5428,4674,4936,4591,5665,15013,16433,15742,16825
4,54.73416666666667,6353,5376,3696,4229,4029,5830,16792,19397,15985,19268,6593,5200,3985,4407,4514,6541,18272,18469,17011,18842,6137,5497,4618,4997,4004,6148,16898,19245,18687,20811
5,68.00138888888888,7114,5180,3401,3845,3952,6209,20854,24146,20315,23176,7005,5195,3697,4148,4247,7010,22648,22956,21838,23910,6659,6095,4485,4751,3764,5691,21977,25626,23430,25200
6,79.075,6787,5718,2974,3544,4441,5990,25922,28581,25036,28122,6894,5791,3726,4542,4715,7895,27630,28570,28190,28495,6638,6285,4684,4591,4225,5621,26105,30657,28492,30596
7,94.90777777777778,6791,5894,3069,4018,4564,5269,32697,36991,32309,36472,6143,6014,3885,4110,5019,8061,35755,37130,33997,36883,6071,6479,4295,4746,4245,6497,35999,41411,36864,40478
8,107.17222222222223,6303,6187,2587,4086,4614,6320,42509,45522,41269,43242,6186,6528,4126,4012,5165,7925,42536,43543,41446,43394,5961,7196,3995,4959,3836,6369,41847,46780,42480,45462
9,120.03611111111111,5391,5773,2802,3696,4657,6088,47950,48929,47351,48419,5226,6531,3994,3688,4577,7739,47045,48802,49269,47495,4836,6729,4286,4371,3622,6366,46721,54261,48530,51304
