,file_name,cell_count,plate_id,well
0,I13_02_1_5_RFP_001.tif,124,19,I13
1,E12_02_1_2_RFP_001.tif,69,19,E12
2,F11_02_1_5_RFP_001.tif,200,19,F11
3,H11_02_1_1_RFP_001.tif,511,19,H11
4,I12_02_1_4_RFP_001.tif,404,19,I12
5,H13_02_1_6_RFP_001.tif,332,19,H13
6,D13_02_1_3_RFP_001.tif,119,19,D13
7,C11_02_1_6_RFP_001.tif,103,19,C11
8,M13_02_1_1_RFP_001.tif,426,19,M13
9,O13_02_1_3_RFP_001.tif,1058,19,O13
10,N13_02_1_1_RFP_001.tif,830,19,N13
11,O14_02_1_3_RFP_001.tif,784,19,O14
12,D12_02_1_4_RFP_001.tif,126,19,D12
13,E14_02_1_3_RFP_001.tif,53,19,E14
14,N11_02_1_3_RFP_001.tif,1231,19,N11
15,G12_02_1_6_RFP_001.tif,165,19,G12
16,N14_02_1_4_RFP_001.tif,1497,19,N14
17,F13_02_1_5_RFP_001.tif,79,19,F13
18,M14_02_1_2_RFP_001.tif,595,19,M14
19,D11_02_1_5_RFP_001.tif,79,19,D11
20,B14_02_1_5_RFP_001.tif,81,19,B14
21,N12_02_1_5_RFP_001.tif,901,19,N12
22,H11_02_1_6_RFP_001.tif,307,19,H11
23,B12_02_1_5_RFP_001.tif,18,19,B12
24,I13_02_1_3_RFP_001.tif,216,19,I13
25,E12_02_1_1_RFP_001.tif,41,19,E12
26,N12_02_1_1_RFP_001.tif,789,19,N12
27,C14_02_1_2_RFP_001.tif,62,19,C14
28,I12_02_1_6_RFP_001.tif,287,19,I12
29,K14_02_1_4_RFP_001.tif,771,19,K14
30,L13_02_1_6_RFP_001.tif,872,19,L13
31,M12_02_1_4_RFP_001.tif,858,19,M12
32,F13_02_1_1_RFP_001.tif,378,19,F13
33,N11_02_1_2_RFP_001.tif,903,19,N11
34,O14_02_1_6_RFP_001.tif,999,19,O14
35,N13_02_1_4_RFP_001.tif,1347,19,N13
36,N12_02_1_6_RFP_001.tif,890,19,N12
37,J14_02_1_4_RFP_001.tif,794,19,J14
38,G12_02_1_3_RFP_001.tif,299,19,G12
