index,RLU,TotHour,cell.line,well,drug1,drug1.conc,drug1.units,log_RLU
0,10763,0,CORL279,C03,AMG-900,1.00E-05,M,9.283869605
1,23698,10.77222222,CORL279,C03,AMG-900,1.00E-05,M,10.07314594
2,34941,35.59333333,CORL279,C03,AMG-900,1.00E-05,M,10.4614162
3,39953,47.55361111,CORL279,C03,AMG-900,1.00E-05,M,10.59545904
4,36703,60.75861111,CORL279,C03,AMG-900,1.00E-05,M,10.51061377
5,31646,80.8925,CORL279,C03,AMG-900,1.00E-05,M,10.36236704
6,25265,92.58583333,CORL279,C03,AMG-900,1.00E-05,M,10.13717532
7,24170,109.2136111,CORL279,C03,AMG-900,1.00E-05,M,10.09286747
8,22807,0,CORL279,C04,AMG-900,2.50E-06,M,10.03482279
9,38561,10.77222222,CORL279,C04,AMG-900,2.50E-06,M,10.55999668
10,64035,35.59333333,CORL279,C04,AMG-900,2.50E-06,M,11.06718509
11,55105,47.55361111,CORL279,C04,AMG-900,2.50E-06,M,10.91699574
12,49012,60.75861111,CORL279,C04,AMG-900,2.50E-06,M,10.79982045
13,30955,80.8925,CORL279,C04,AMG-900,2.50E-06,M,10.34028982
14,17347,92.58583333,CORL279,C04,AMG-900,2.50E-06,M,9.76117486
15,14752,109.2136111,CORL279,C04,AMG-900,2.50E-06,M,9.599133946
16,32518,0,CORL279,C05,AMG-900,6.25E-07,M,10.38954906
17,37604,10.77222222,CORL279,C05,AMG-900,6.25E-07,M,10.53486571
18,73679,35.59333333,CORL279,C05,AMG-900,6.25E-07,M,11.2074731
19,63466,47.55361111,CORL279,C05,AMG-900,6.25E-07,M,11.05825961
20,43244,60.75861111,CORL279,C05,AMG-900,6.25E-07,M,10.67461377
21,28597,80.8925,CORL279,C05,AMG-900,6.25E-07,M,10.2610571
22,15864,92.58583333,CORL279,C05,AMG-900,6.25E-07,M,9.67180767
23,16668,109.2136111,CORL279,C05,AMG-900,6.25E-07,M,9.721245993
24,27359,0,CORL279,C06,AMG-900,1.56E-07,M,10.21680082
25,55426,10.77222222,CORL279,C06,AMG-900,1.56E-07,M,10.92280408
26,83035,35.59333333,CORL279,C06,AMG-900,1.56E-07,M,11.32701748
27,86327,47.55361111,CORL279,C06,AMG-900,1.56E-07,M,11.36589769
28,56384,60.75861111,CORL279,C06,AMG-900,1.56E-07,M,10.93994071
29,34916,80.8925,CORL279,C06,AMG-900,1.56E-07,M,10.46070046
30,25559,92.58583333,CORL279,C06,AMG-900,1.56E-07,M,10.14874478
31,15425,109.2136111,CORL279,C06,AMG-900,1.56E-07,M,9.643744849
32,27099,0,CORL279,C07,AMG-900,3.91E-08,M,10.20725211
33,48489,10.77222222,CORL279,C07,AMG-900,3.91E-08,M,10.78909225
34,76711,35.59333333,CORL279,C07,AMG-900,3.91E-08,M,11.24780039
35,76167,47.55361111,CORL279,C07,AMG-900,3.91E-08,M,11.24068358
36,69016,60.75861111,CORL279,C07,AMG-900,3.91E-08,M,11.14209364
37,40453,80.8925,CORL279,C07,AMG-900,3.91E-08,M,10.60789609
38,22265,92.58583333,CORL279,C07,AMG-900,3.91E-08,M,10.01077122
39,14202,109.2136111,CORL279,C07,AMG-900,3.91E-08,M,9.561138079
40,26198,0,CORL279,C08,AMG-900,9.77E-09,M,10.17343835
41,47661,10.77222222,CORL279,C08,AMG-900,9.77E-09,M,10.77186873
42,64937,35.59333333,CORL279,C08,AMG-900,9.77E-09,M,11.08117285
43,71432,47.55361111,CORL279,C08,AMG-900,9.77E-09,M,11.17650123
44,58181,60.75861111,CORL279,C08,AMG-900,9.77E-09,M,10.97131412
45,34406,80.8925,CORL279,C08,AMG-900,9.77E-09,M,10.44598625
46,19449,92.58583333,CORL279,C08,AMG-900,9.77E-09,M,9.875550934
47,16631,109.2136111,CORL279,C08,AMG-900,9.77E-09,M,9.719023703
48,31179,0,CORL279,C09,AMG-900,2.44E-09,M,10.34750007
49,53655,10.77222222,CORL279,C09,AMG-900,2.44E-09,M,10.89032994
