index,RLU,TotHour,cell.line,well,drug1,drug1.conc,drug1.units,log_RLU
50,93578,35.59333333,CORL279,C09,AMG-900,2.44E-09,M,11.44655059
51,91129,47.55361111,CORL279,C09,AMG-900,2.44E-09,M,11.42003136
52,71227,60.75861111,CORL279,C09,AMG-900,2.44E-09,M,11.17362724
53,35392,80.8925,CORL279,C09,AMG-900,2.44E-09,M,10.47424108
54,25182,92.58583333,CORL279,C09,AMG-900,2.44E-09,M,10.13388473
55,19797,109.2136111,CORL279,C09,AMG-900,2.44E-09,M,9.89328569
56,28542,0,CORL279,C10,AMG-900,6.10E-10,M,10.25913197
57,47787,10.77222222,CORL279,C10,AMG-900,6.10E-10,M,10.77450891
58,87867,35.59333333,CORL279,C10,AMG-900,6.10E-10,M,11.38357959
59,105621,47.55361111,CORL279,C10,AMG-900,6.10E-10,M,11.56761249
60,96980,60.75861111,CORL279,C10,AMG-900,6.10E-10,M,11.48226005
61,85994,80.8925,CORL279,C10,AMG-900,6.10E-10,M,11.36203281
62,61064,92.58583333,CORL279,C10,AMG-900,6.10E-10,M,11.01967777
63,42415,109.2136111,CORL279,C10,AMG-900,6.10E-10,M,10.65525735
64,32841,0,CORL279,C11,AMG-900,1.53E-10,M,10.39943301
65,53318,10.77222222,CORL279,C11,AMG-900,1.53E-10,M,10.88402926
66,93449,35.59333333,CORL279,C11,AMG-900,1.53E-10,M,11.44517111
67,118612,47.55361111,CORL279,C11,AMG-900,1.53E-10,M,11.68361294
68,119614,60.75861111,CORL279,C11,AMG-900,1.53E-10,M,11.69202517
69,112145,80.8925,CORL279,C11,AMG-900,1.53E-10,M,11.62754796
70,95203,92.58583333,CORL279,C11,AMG-900,1.53E-10,M,11.46376673
71,85126,109.2136111,CORL279,C11,AMG-900,1.53E-10,M,11.35188779
72,26230,0,CORL279,C12,AMG-900,0,M,10.17465907
73,51355,10.77222222,CORL279,C12,AMG-900,0,M,10.84651758
74,111574,35.59333333,CORL279,C12,AMG-900,0,M,11.62244333
75,141104,47.55361111,CORL279,C12,AMG-900,0,M,11.85725249
76,173392,60.75861111,CORL279,C12,AMG-900,0,M,12.06331021
77,186915,80.8925,CORL279,C12,AMG-900,0,M,12.13840925
78,180166,92.58583333,CORL279,C12,AMG-900,0,M,12.10163393
79,166864,109.2136111,CORL279,C12,AMG-900,0,M,12.02493439
80,27133,0,CORL279,C13,TAK-901,1.00E-05,M,10.20850598
81,4502,10.77222222,CORL279,C13,TAK-901,1.00E-05,M,8.412277021
82,2160,35.59333333,CORL279,C13,TAK-901,1.00E-05,M,7.677863501
83,2939,47.55361111,CORL279,C13,TAK-901,1.00E-05,M,7.985824666
84,3731,60.75861111,CORL279,C13,TAK-901,1.00E-05,M,8.224431573
85,4247,80.8925,CORL279,C13,TAK-901,1.00E-05,M,8.35396813
86,6093,92.58583333,CORL279,C13,TAK-901,1.00E-05,M,8.71489585
87,3917,109.2136111,CORL279,C13,TAK-901,1.00E-05,M,8.273081334
88,28588,0,CORL279,C14,TAK-901,2.50E-06,M,10.26074233
89,14712,10.77222222,CORL279,C14,TAK-901,2.50E-06,M,9.596418766
90,4265,35.59333333,CORL279,C14,TAK-901,2.50E-06,M,8.35819746
91,3911,47.55361111,CORL279,C14,TAK-901,2.50E-06,M,8.271548375
92,3858,60.75861111,CORL279,C14,TAK-901,2.50E-06,M,8.257904193
93,1839,80.8925,CORL279,C14,TAK-901,2.50E-06,M,7.516977225
94,3038,92.58583333,CORL279,C14,TAK-901,2.50E-06,M,8.018954683
95,3019,109.2136111,CORL279,C14,TAK-901,2.50E-06,M,8.01268093
96,29707,0,CORL279,C15,TAK-901,6.25E-07,M,10.29913799
97,24679,10.77222222,CORL279,C15,TAK-901,6.25E-07,M,10.11370796
98,21872,35.59333333,CORL279,C15,TAK-901,6.25E-07,M,9.992962559
99,19240,47.55361111,CORL279,C15,TAK-901,6.25E-07,M,9.864746724
100,23651,60.75861111,CORL279,C15,TAK-901,6.25E-07,M,10.07116068
101,17178,80.8925,CORL279,C15,TAK-901,6.25E-07,M,9.751384774
102,12116,92.58583333,CORL279,C15,TAK-901,6.25E-07,M,9.402282172
103,7517,109.2136111,CORL279,C15,TAK-901,6.25E-07,M,8.924922401
104,29017,0,CORL279,C16,TAK-901,1.56E-07,M,10.27563714
105,40386,10.77222222,CORL279,C16,TAK-901,1.56E-07,M,10.60623847
106,68481,35.59333333,CORL279,C16,TAK-901,1.56E-07,M,11.13431161
107,70796,47.55361111,CORL279,C16,TAK-901,1.56E-07,M,11.16755778
108,59857,60.75861111,CORL279,C16,TAK-901,1.56E-07,M,10.99971366
109,39869,80.8925,CORL279,C16,TAK-901,1.56E-07,M,10.59335436
110,25498,92.58583333,CORL279,C16,TAK-901,1.56E-07,M,10.1463553
111,20239,109.2136111,CORL279,C16,TAK-901,1.56E-07,M,9.915366715
112,32431,0,CORL279,C17,TAK-901,3.91E-08,M,10.38687003
113,43607,10.77222222,CORL279,C17,TAK-901,3.91E-08,M,10.68297297
114,82734,35.59333333,CORL279,C17,TAK-901,3.91E-08,M,11.32338592
115,80903,47.55361111,CORL279,C17,TAK-901,3.91E-08,M,11.30100619
116,65060,60.75861111,CORL279,C17,TAK-901,3.91E-08,M,11.0830652
117,42612,80.8925,CORL279,C17,TAK-901,3.91E-08,M,10.65989118
118,26120,92.58583333,CORL279,C17,TAK-901,3.91E-08,M,10.17045658
119,12296,109.2136111,CORL279,C17,TAK-901,3.91E-08,M,9.417029285
120,29631,0,CORL279,C18,TAK-901,9.77E-09,M,10.29657639
121,44277,10.77222222,CORL279,C18,TAK-901,9.77E-09,M,10.69822063
122,115299,35.59333333,CORL279,C18,TAK-901,9.77E-09,M,11.65528403
123,114035,47.55361111,CORL279,C18,TAK-901,9.77E-09,M,11.6442607
124,150518,60.75861111,CORL279,C18,TAK-901,9.77E-09,M,11.92183796
125,148415,80.8925,CORL279,C18,TAK-901,9.77E-09,M,11.90776768
126,122144,92.58583333,CORL279,C18,TAK-901,9.77E-09,M,11.71295596
127,140043,109.2136111,CORL279,C18,TAK-901,9.77E-09,M,11.8497048
128,27442,0,CORL279,C19,TAK-901,2.44E-09,M,10.21982997
129,46262,10.77222222,CORL279,C19,TAK-901,2.44E-09,M,10.74207617
130,101234,35.59333333,CORL279,C19,TAK-901,2.44E-09,M,11.52518995
131,119892,47.55361111,CORL279,C19,TAK-901,2.44E-09,M,11.69434662
132,163687,60.75861111,CORL279,C19,TAK-901,2.44E-09,M,12.00571135
133,171709,80.8925,CORL279,C19,TAK-901,2.44E-09,M,12.05355646
134,186560,92.58583333,CORL279,C19,TAK-901,2.44E-09,M,12.13650818
135,196765,109.2136111,CORL279,C19,TAK-901,2.44E-09,M,12.1897654
136,25460,0,CORL279,C20,TAK-901,6.10E-10,M,10.14486387
137,47028,10.77222222,CORL279,C20,TAK-901,6.10E-10,M,10.75849845
138,107781,35.59333333,CORL279,C20,TAK-901,6.10E-10,M,11.58785667
139,155101,47.55361111,CORL279,C20,TAK-901,6.10E-10,M,11.9518318
140,178861,60.75861111,CORL279,C20,TAK-901,6.10E-10,M,12.09436425
141,161559,80.8925,CORL279,C20,TAK-901,6.10E-10,M,11.99262568
142,140501,92.58583333,CORL279,C20,TAK-901,6.10E-10,M,11.85296989
143,219301,109.2136111,CORL279,C20,TAK-901,6.10E-10,M,12.29820049
144,32228,0,CORL279,C21,TAK-901,1.53E-10,M,10.38059092
145,49875,10.77222222,CORL279,C21,TAK-901,1.53E-10,M,10.81727515
146,91889,35.59333333,CORL279,C21,TAK-901,1.53E-10,M,11.42833661
147,145796,47.55361111,CORL279,C21,TAK-901,1.53E-10,M,11.88996366
148,168525,60.75861111,CORL279,C21,TAK-901,1.53E-10,M,12.03483939
149,174303,80.8925,CORL279,C21,TAK-901,1.53E-10,M,12.06855044
150,170457,92.58583333,CORL279,C21,TAK-901,1.53E-10,M,12.04623834
151,224616,109.2136111,CORL279,C21,TAK-901,1.53E-10,M,12.32214756
152,29393,0,CORL279,C22,TAK-901,0,M,10.28851183
153,42928,10.77222222,CORL279,C22,TAK-901,0,M,10.66727957
154,111187,35.59333333,CORL279,C22,TAK-901,0,M,11.61896875
155,160541,47.55361111,CORL279,C22,TAK-901,0,M,11.98630464
156,199423,60.75861111,CORL279,C22,TAK-901,0,M,12.20318348
157,215568,80.8925,CORL279,C22,TAK-901,0,M,12.28103168
158,215266,92.58583333,CORL279,C22,TAK-901,0,M,12.27962975
159,245692,109.2136111,CORL279,C22,TAK-901,0,M,12.411834
160,6461,0,CORL279,D03,AMG-900,1.00E-05,M,8.773539384
161,17530,10.77222222,CORL279,D03,AMG-900,1.00E-05,M,9.771668978
162,35759,35.59333333,CORL279,D03,AMG-900,1.00E-05,M,10.48455726
163,30596,47.55361111,CORL279,D03,AMG-900,1.00E-05,M,10.32862456
164,35570,60.75861111,CORL279,D03,AMG-900,1.00E-05,M,10.47925786
165,21649,80.8925,CORL279,D03,AMG-900,1.00E-05,M,9.982714543
166,18011,92.58583333,CORL279,D03,AMG-900,1.00E-05,M,9.798737961
167,12834,109.2136111,CORL279,D03,AMG-900,1.00E-05,M,9.459853178
168,23296,0,CORL279,D04,AMG-900,2.50E-06,M,10.05603695
169,36463,10.77222222,CORL279,D04,AMG-900,2.50E-06,M,10.50405333
170,56933,35.59333333,CORL279,D04,AMG-900,2.50E-06,M,10.94963042
171,54650,47.55361111,CORL279,D04,AMG-900,2.50E-06,M,10.90870449
172,43440,60.75861111,CORL279,D04,AMG-900,2.50E-06,M,10.67913595
173,24778,80.8925,CORL279,D04,AMG-900,2.50E-06,M,10.11771144
174,19706,92.58583333,CORL279,D04,AMG-900,2.50E-06,M,9.888678437
175,14528,109.2136111,CORL279,D04,AMG-900,2.50E-06,M,9.583833101
176,24389,0,CORL279,D05,AMG-900,6.25E-07,M,10.10188749
177,44771,10.77222222,CORL279,D05,AMG-900,6.25E-07,M,10.70931589
178,65218,35.59333333,CORL279,D05,AMG-900,6.25E-07,M,11.08549078
179,58459,47.55361111,CORL279,D05,AMG-900,6.25E-07,M,10.97608093
180,46149,60.75861111,CORL279,D05,AMG-900,6.25E-07,M,10.73963057
181,25590,80.8925,CORL279,D05,AMG-900,6.25E-07,M,10.14995693
182,18861,92.58583333,CORL279,D05,AMG-900,6.25E-07,M,9.844851577
183,18417,109.2136111,CORL279,D05,AMG-900,6.25E-07,M,9.82102943
184,29005,0,CORL279,D06,AMG-900,1.56E-07,M,10.27522351
185,44885,10.77222222,CORL279,D06,AMG-900,1.56E-07,M,10.71185894
186,82720,35.59333333,CORL279,D06,AMG-900,1.56E-07,M,11.32321669
187,93400,47.55361111,CORL279,D06,AMG-900,1.56E-07,M,11.44464662
188,65781,60.75861111,CORL279,D06,AMG-900,1.56E-07,M,11.09408632
189,34989,80.8925,CORL279,D06,AMG-900,1.56E-07,M,10.46278901
190,20621,92.58583333,CORL279,D06,AMG-900,1.56E-07,M,9.934065253
191,12876,109.2136111,CORL279,D06,AMG-900,1.56E-07,M,9.463120392
192,28490,0,CORL279,D07,AMG-900,3.91E-08,M,10.25730843
193,47090,10.77222222,CORL279,D07,AMG-900,3.91E-08,M,10.75981594
194,78753,35.59333333,CORL279,D07,AMG-900,3.91E-08,M,11.27407165
195,79897,47.55361111,CORL279,D07,AMG-900,3.91E-08,M,11.28849358
196,67298,60.75861111,CORL279,D07,AMG-900,3.91E-08,M,11.1168858
197,31501,80.8925,CORL279,D07,AMG-900,3.91E-08,M,10.35777457
198,24217,92.58583333,CORL279,D07,AMG-900,3.91E-08,M,10.09481014
199,11347,109.2136111,CORL279,D07,AMG-900,3.91E-08,M,9.336708671
200,31325,0,CORL279,D08,AMG-900,9.77E-09,M,10.35217178
201,49535,10.77222222,CORL279,D08,AMG-900,9.77E-09,M,10.81043477
202,73894,35.59333333,CORL279,D08,AMG-900,9.77E-09,M,11.21038691
203,78008,47.55361111,CORL279,D08,AMG-900,9.77E-09,M,11.26456666
204,63749,60.75861111,CORL279,D08,AMG-900,9.77E-09,M,11.06270878
205,37836,80.8925,CORL279,D08,AMG-900,9.77E-09,M,10.54101631
206,17857,92.58583333,CORL279,D08,AMG-900,9.77E-09,M,9.790150867
207,17042,109.2136111,CORL279,D08,AMG-900,9.77E-09,M,9.743436164
208,30582,0,CORL279,D09,AMG-900,2.44E-09,M,10.32816688
209,48738,10.77222222,CORL279,D09,AMG-900,2.44E-09,M,10.79421429
210,89952,35.59333333,CORL279,D09,AMG-900,2.44E-09,M,11.40703147
211,83854,47.55361111,CORL279,D09,AMG-900,2.44E-09,M,11.33683247
212,73210,60.75861111,CORL279,D09,AMG-900,2.44E-09,M,11.2010873
213,39856,80.8925,CORL279,D09,AMG-900,2.44E-09,M,10.59302824
214,22456,92.58583333,CORL279,D09,AMG-900,2.44E-09,M,10.01931312
215,16124,109.2136111,CORL279,D09,AMG-900,2.44E-09,M,9.688064124
216,33107,0,CORL279,D10,AMG-900,6.10E-10,M,10.40750002
217,53545,10.77222222,CORL279,D10,AMG-900,6.10E-10,M,10.8882777
218,99786,35.59333333,CORL279,D10,AMG-900,6.10E-10,M,11.51078317
219,79089,47.55361111,CORL279,D10,AMG-900,6.10E-10,M,11.27832908
220,70147,60.75861111,CORL279,D10,AMG-900,6.10E-10,M,11.15834832
221,53508,80.8925,CORL279,D10,AMG-900,6.10E-10,M,10.88758645
222,31966,92.58583333,CORL279,D10,AMG-900,6.10E-10,M,10.37242812
223,30428,109.2136111,CORL279,D10,AMG-900,6.10E-10,M,10.32311852
224,31390,0,CORL279,D11,AMG-900,1.53E-10,M,10.35424465
225,53199,10.77222222,CORL279,D11,AMG-900,1.53E-10,M,10.88179488
226,96880,35.59333333,CORL279,D11,AMG-900,1.53E-10,M,11.48122838
227,85227,47.55361111,CORL279,D11,AMG-900,1.53E-10,M,11.35307356
228,82214,60.75861111,CORL279,D11,AMG-900,1.53E-10,M,11.31708088
229,65324,80.8925,CORL279,D11,AMG-900,1.53E-10,M,11.08711478
230,51579,92.58583333,CORL279,D11,AMG-900,1.53E-10,M,10.85086989
231,50287,109.2136111,CORL279,D11,AMG-900,1.53E-10,M,10.82550187
232,30511,0,CORL279,D12,AMG-900,0,M,10.32584255
233,47610,10.77222222,CORL279,D12,AMG-900,0,M,10.7707981
234,110000,35.59333333,CORL279,D12,AMG-900,0,M,11.60823564
235,150450,47.55361111,CORL279,D12,AMG-900,0,M,11.92138608
236,128822,60.75861111,CORL279,D12,AMG-900,0,M,11.76618689
237,157458,80.8925,CORL279,D12,AMG-900,0,M,11.96691404
238,145710,92.58583333,CORL279,D12,AMG-900,0,M,11.88937362
239,152843,109.2136111,CORL279,D12,AMG-900,0,M,11.93716653
240,35941,0,CORL279,D13,TAK-901,1.00E-05,M,10.48963398
241,4091,10.77222222,CORL279,D13,TAK-901,1.00E-05,M,8.316544718
242,3226,35.59333333,CORL279,D13,TAK-901,1.00E-05,M,8.078998259
243,6346,47.55361111,CORL279,D13,TAK-901,1.00E-05,M,8.755579972
244,2321,60.75861111,CORL279,D13,TAK-901,1.00E-05,M,7.749753406
245,3170,80.8925,CORL279,D13,TAK-901,1.00E-05,M,8.061486867
246,3164,92.58583333,CORL279,D13,TAK-901,1.00E-05,M,8.059592329
247,3064,109.2136111,CORL279,D13,TAK-901,1.00E-05,M,8.027476531
248,30207,0,CORL279,D14,TAK-901,2.50E-06,M,10.31582896
249,10459,10.77222222,CORL279,D14,TAK-901,2.50E-06,M,9.255218131
250,4765,35.59333333,CORL279,D14,TAK-901,2.50E-06,M,8.469052816
251,5469,47.55361111,CORL279,D14,TAK-901,2.50E-06,M,8.606851063
252,5840,60.75861111,CORL279,D14,TAK-901,2.50E-06,M,8.672486076
253,3922,80.8925,CORL279,D14,TAK-901,2.50E-06,M,8.274357007
254,2467,92.58583333,CORL279,D14,TAK-901,2.50E-06,M,7.810758117
255,3582,109.2136111,CORL279,D14,TAK-901,2.50E-06,M,8.183676583
256,31344,0,CORL279,D15,TAK-901,6.25E-07,M,10.35277814
257,29508,10.77222222,CORL279,D15,TAK-901,6.25E-07,M,10.29241669
258,20755,35.59333333,CORL279,D15,TAK-901,6.25E-07,M,9.94054246
259,25552,47.55361111,CORL279,D15,TAK-901,6.25E-07,M,10.14847087
260,22376,60.75861111,CORL279,D15,TAK-901,6.25E-07,M,10.01574423
261,15981,80.8925,CORL279,D15,TAK-901,6.25E-07,M,9.679155796
262,11039,92.58583333,CORL279,D15,TAK-901,6.25E-07,M,9.309189736
263,8758,109.2136111,CORL279,D15,TAK-901,6.25E-07,M,9.077722847
264,27770,0,CORL279,D16,TAK-901,1.56E-07,M,10.23171158
265,40193,10.77222222,CORL279,D16,TAK-901,1.56E-07,M,10.60144813
266,65657,35.59333333,CORL279,D16,TAK-901,1.56E-07,M,11.0921995
267,67607,47.55361111,CORL279,D16,TAK-901,1.56E-07,M,11.12146681
268,54191,60.75861111,CORL279,D16,TAK-901,1.56E-07,M,10.90027012
269,36854,80.8925,CORL279,D16,TAK-901,1.56E-07,M,10.51471944
270,26422,92.58583333,CORL279,D16,TAK-901,1.56E-07,M,10.18195228
271,17174,109.2136111,CORL279,D16,TAK-901,1.56E-07,M,9.751151891
272,31607,0,CORL279,D17,TAK-901,3.91E-08,M,10.36113389
273,47846,10.77222222,CORL279,D17,TAK-901,3.91E-08,M,10.7757428
274,88729,35.59333333,CORL279,D17,TAK-901,3.91E-08,M,11.39334206
275,92464,47.55361111,CORL279,D17,TAK-901,3.91E-08,M,11.43457466
276,71723,60.75861111,CORL279,D17,TAK-901,3.91E-08,M,11.18056676
277,50940,80.8925,CORL279,D17,TAK-901,3.91E-08,M,10.83840375
278,26492,92.58583333,CORL279,D17,TAK-901,3.91E-08,M,10.18459808
279,25118,109.2136111,CORL279,D17,TAK-901,3.91E-08,M,10.13134
280,33710,0,CORL279,D18,TAK-901,9.77E-09,M,10.42554981
281,49742,10.77222222,CORL279,D18,TAK-901,9.77E-09,M,10.81460493
282,111405,35.59333333,CORL279,D18,TAK-901,9.77E-09,M,11.62092749
283,111700,47.55361111,CORL279,D18,TAK-901,9.77E-09,M,11.62357199
284,157782,60.75861111,CORL279,D18,TAK-901,9.77E-09,M,11.96896961
285,164013,80.8925,CORL279,D18,TAK-901,9.77E-09,M,12.00770097
286,127582,92.58583333,CORL279,D18,TAK-901,9.77E-09,M,11.75651457
287,171161,109.2136111,CORL279,D18,TAK-901,9.77E-09,M,12.05035991
288,35389,0,CORL279,D19,TAK-901,2.44E-09,M,10.47415632
289,55486,10.77222222,CORL279,D19,TAK-901,2.44E-09,M,10.92388602
290,145231,35.59333333,CORL279,D19,TAK-901,2.44E-09,M,11.88608086
291,147370,47.55361111,CORL279,D19,TAK-901,2.44E-09,M,11.90070171
292,160912,60.75861111,CORL279,D19,TAK-901,2.44E-09,M,11.98861291
293,181339,80.8925,CORL279,D19,TAK-901,2.44E-09,M,12.10812349
294,149135,92.58583333,CORL279,D19,TAK-901,2.44E-09,M,11.91260721
295,197177,109.2136111,CORL279,D19,TAK-901,2.44E-09,M,12.19185708
296,30952,0,CORL279,D20,TAK-901,6.10E-10,M,10.3401929
297,42895,10.77222222,CORL279,D20,TAK-901,6.10E-10,M,10.66651055
298,95332,35.59333333,CORL279,D20,TAK-901,6.10E-10,M,11.46512082
299,138270,47.55361111,CORL279,D20,TAK-901,6.10E-10,M,11.83696357
300,152909,60.75861111,CORL279,D20,TAK-901,6.10E-10,M,11.93759825
301,189916,80.8925,CORL279,D20,TAK-901,6.10E-10,M,12.15433715
302,172548,92.58583333,CORL279,D20,TAK-901,6.10E-10,M,12.05843074
303,217757,109.2136111,CORL279,D20,TAK-901,6.10E-10,M,12.29113504
304,30108,0,CORL279,D21,TAK-901,1.53E-10,M,10.3125462
305,52518,10.77222222,CORL279,D21,TAK-901,1.53E-10,M,10.86891125
306,107715,35.59333333,CORL279,D21,TAK-901,1.53E-10,M,11.58724413
307,142723,47.55361111,CORL279,D21,TAK-901,1.53E-10,M,11.86866097
308,173966,60.75861111,CORL279,D21,TAK-901,1.53E-10,M,12.06661516
309,203375,80.8925,CORL279,D21,TAK-901,1.53E-10,M,12.22280684
310,183398,92.58583333,CORL279,D21,TAK-901,1.53E-10,M,12.11941393
311,194706,109.2136111,CORL279,D21,TAK-901,1.53E-10,M,12.17924601
312,29602,0,CORL279,D22,TAK-901,0,M,10.29559721
313,54477,10.77222222,CORL279,D22,TAK-901,0,M,10.90553387
314,122838,35.59333333,CORL279,D22,TAK-901,0,M,11.71862169
315,144975,47.55361111,CORL279,D22,TAK-901,0,M,11.88431659
316,195426,60.75861111,CORL279,D22,TAK-901,0,M,12.18293707
317,215110,80.8925,CORL279,D22,TAK-901,0,M,12.2789048
318,181901,92.58583333,CORL279,D22,TAK-901,0,M,12.11121786
319,203076,109.2136111,CORL279,D22,TAK-901,0,M,12.22133557
320,8634,0,CORL279,E03,AMG-900,1.00E-05,M,9.063463176
321,16547,10.77222222,CORL279,E03,AMG-900,1.00E-05,M,9.713960095
322,37563,35.59333333,CORL279,E03,AMG-900,1.00E-05,M,10.5337748
323,39776,47.55361111,CORL279,E03,AMG-900,1.00E-05,M,10.59101899
324,39578,60.75861111,CORL279,E03,AMG-900,1.00E-05,M,10.58602869
325,23262,80.8925,CORL279,E03,AMG-900,1.00E-05,M,10.05457641
326,19047,92.58583333,CORL279,E03,AMG-900,1.00E-05,M,9.854664888
327,14089,109.2136111,CORL279,E03,AMG-900,1.00E-05,M,9.55314963
328,17698,0,CORL279,E04,AMG-900,2.50E-06,M,9.781206918
329,40636,10.77222222,CORL279,E04,AMG-900,2.50E-06,M,10.61240965
330,55667,35.59333333,CORL279,E04,AMG-900,2.50E-06,M,10.92714279
331,54132,47.55361111,CORL279,E04,AMG-900,2.50E-06,M,10.89918079
332,38697,60.75861111,CORL279,E04,AMG-900,2.50E-06,M,10.56351736
333,21816,80.8925,CORL279,E04,AMG-900,2.50E-06,M,9.990398925
334,13019,92.58583333,CORL279,E04,AMG-900,2.50E-06,M,9.474165108
335,12549,109.2136111,CORL279,E04,AMG-900,2.50E-06,M,9.43739626
336,22298,0,CORL279,E05,AMG-900,6.25E-07,M,10.01225227
337,42241,10.77222222,CORL279,E05,AMG-900,6.25E-07,M,10.65114659
338,70294,35.59333333,CORL279,E05,AMG-900,6.25E-07,M,11.16044173
339,64555,47.55361111,CORL279,E05,AMG-900,6.25E-07,M,11.07527285
340,43563,60.75861111,CORL279,E05,AMG-900,6.25E-07,M,10.68196345
341,32670,80.8925,CORL279,E05,AMG-900,6.25E-07,M,10.3942125
342,19605,92.58583333,CORL279,E05,AMG-900,6.25E-07,M,9.883539915
343,15000,109.2136111,CORL279,E05,AMG-900,6.25E-07,M,9.61580548
344,31137,0,CORL279,E06,AMG-900,1.56E-07,M,10.3461521
345,46465,10.77222222,CORL279,E06,AMG-900,1.56E-07,M,10.74645462
346,76597,35.59333333,CORL279,E06,AMG-900,1.56E-07,M,11.24631319
347,75977,47.55361111,CORL279,E06,AMG-900,1.56E-07,M,11.23818594
348,55039,60.75861111,CORL279,E06,AMG-900,1.56E-07,M,10.9157973
349,33533,80.8925,CORL279,E06,AMG-900,1.56E-07,M,10.42028531
350,22573,92.58583333,CORL279,E06,AMG-900,1.56E-07,M,10.02450978
351,11605,109.2136111,CORL279,E06,AMG-900,1.56E-07,M,9.359191319
352,29718,0,CORL279,E07,AMG-900,3.91E-08,M,10.2995082
353,52255,10.77222222,CORL279,E07,AMG-900,3.91E-08,M,10.86389086
354,79286,35.59333333,CORL279,E07,AMG-900,3.91E-08,M,11.28081685
355,62473,47.55361111,CORL279,E07,AMG-900,3.91E-08,M,11.04248974
356,41022,60.75861111,CORL279,E07,AMG-900,3.91E-08,M,10.62186379
