,TotHour,10um1,2.5um1,625nm1,156.25nm1,39nm1,9.76nm1,2.44nm1,0.61nm1,0.15nm1,DMSO1,10um2,2.5um2,625nm2,156.25nm2,39nm2,9.76nm2,2.44nm2,0.61nm2,0.15nm2,DMSO2,10um3,2.5um3,625nm3,156.25nm3,39nm3,9.76nm3,2.44nm3,0.61nm3,0.15nm3,DMSO3
0,0.0,4405,4201,4829,5468,5219,5837,5199,6393,4940,8641,4261,4386,5146,5795,5193,5828,5200,7184,5686,9465,4941,4574,4972,5956,6230,6433,5971,7178,5423,10119
1,29.68888888888889,1369,3101,5618,7432,7834,11458,11522,12295,10158,16086,1509,2957,5884,7271,6662,11254,10959,13652,10561,16812,1374,3623,5964,6950,7691,11775,11649,13910,12513,18021
2,44.26027777777778,814,2421,5317,6833,7359,14923,14562,15481,13267,20571,661,2388,5613,6657,5213,14326,14544,17749,13824,20889,826,2712,5205,5836,6303,15395,16232,18552,15239,23118
3,46.03361111111111,779,2398,5176,6393,7494,16545,15683,16915,14299,23091,881,2346,5625,6272,4798,14604,14942,18733,14139,22759,903,2686,5321,5837,6478,15196,16064,18945,15576,23252
4,54.73416666666667,669,1952,5236,6543,7748,17841,16333,18788,16534,24795,575,1819,5049,6297,4655,16645,17657,21807,16970,25020,645,2106,5527,6116,6288,18281,18866,22875,18117,27971
5,68.00138888888888,595,1428,4370,6917,7790,21333,20860,23020,19471,31004,500,1425,4768,5963,4405,20932,22336,27505,20448,32859,698,1835,4960,6036,6552,22592,24494,28903,23270,34797
6,79.075,565,1135,4632,7291,8618,25685,25148,28246,23366,36604,615,1310,4725,6283,4485,25108,27074,31750,25504,38327,617,1551,4929,5729,6717,26291,29395,34653,28226,41850
7,94.90777777777778,619,897,4621,8153,8405,31683,31429,35666,30047,43519,738,1125,4621,6670,4546,33293,34616,39923,32565,46546,651,1520,4840,6135,6902,35614,37307,42681,35619,51135
8,107.17222222222223,745,613,4904,8587,8581,37268,37065,41116,35459,47654,665,730,4751,7955,4790,38385,41216,45850,38318,50553,663,993,5008,7679,6589,41919,45273,47682,41710,56146
9,120.03611111111111,776,793,4949,9689,8115,41302,41472,46150,40181,51668,685,722,4954,8787,4627,43600,48236,50255,43585,55710,700,1049,4910,8137,6838,46581,50677,52925,46754,58546
