,TotHour,10um1,2.5um1,625nm1,156.25nm1,39nm1,9.76nm1,2.44nm1,0.61nm1,0.15nm1,DMSO1,10um2,2.5um2,625nm2,156.25nm2,39nm2,9.76nm2,2.44nm2,0.61nm2,0.15nm2,DMSO2,10um3,2.5um3,625nm3,156.25nm3,39nm3,9.76nm3,2.44nm3,0.61nm3,0.15nm3,DMSO3
0,0.0,2214,3831,4550,5564,5526,6328,6645,6899,5934,8050,1903,3920,4517,6159,6108,6096,6210,6637,5414,6902,1956,4060,4808,5818,5758,6839,6275,5978,5972,6391
1,29.68888888888889,2203,6621,7741,8263,6332,6903,8947,10781,10446,14832,1991,5882,7333,7385,6503,7146,7712,9622,9995,12346,2162,6428,7222,8213,6038,7460,7775,9961,11020,12323
2,44.26027777777778,2744,6876,8504,7369,4713,5391,8424,12125,14178,20159,2495,6777,7974,6327,4961,5329,7562,11719,13526,15928,2593,7320,8263,8503,4610,6159,7133,12135,13483,15435
3,46.03361111111111,2736,6977,8679,7585,4561,5515,8975,12623,13953,20529,2732,6593,8441,6755,4750,5510,7731,12112,14130,16337,3034,7157,8145,8857,4536,5738,8124,12710,14285,16108
4,54.73416666666667,2969,7888,9894,8743,4585,5475,9615,15363,16875,24444,3058,7274,9494,7201,4537,5343,7753,13735,15709,19519,3188,8090,9440,9182,4352,5719,8470,14150,17417,19171
5,68.00138888888888,3471,8806,11511,10416,4105,5746,10005,17312,21149,30772,2917,8077,10968,7646,4280,5227,9210,16802,20154,24823,3221,8669,11489,10408,4350,5802,8855,16249,21493,24013
6,79.075,3628,10151,14702,11043,4574,5311,10731,20419,25770,36935,3193,9130,12641,8470,4681,5275,9378,20002,23893,29607,3270,10325,13702,12112,4189,6034,9487,19155,27131,29821
7,94.90777777777778,3417,12833,17152,12215,4527,5753,12010,26603,33685,46131,3046,10245,17142,9824,4717,5954,10198,25987,32209,39150,2976,12927,16232,13473,3848,6443,10497,23786,34449,38222
8,107.17222222222223,3472,14564,19461,13967,4104,5106,12480,31004,38632,51436,2967,12481,17848,10333,4809,6249,11060,30514,37296,46215,2831,14754,18345,15041,4200,6354,10055,28634,41513,45614
9,120.03611111111111,3203,15695,18763,13100,3757,5667,12847,34257,43830,56390,2424,14468,18502,9485,4181,5864,11023,34800,42692,51264,2645,16844,18620,14075,3862,6932,10004,32801,46552,48356
