well	cell.line	drug1	drug1.conc	drug1.units
A01				M
A02				M
A03				M
A04				M
A05				M
A06				M
A07				M
A08				M
A09				M
A10				M
A11				M
A12				M
A13				M
A14				M
A15				M
A16				M
A17				M
A18				M
A19				M
A20				M
A21				M
A22				M
A23				M
A24				M
B01				M
B02	NCIH1048	SNS-314	0.000009999999999999999	M
B03	NCIH1048	SNS-314	0.0000024999999999999998	M
B04	NCIH1048	SNS-314	6.25e-7	M
B05	NCIH1048	SNS-314	1.5625e-7	M
B06	NCIH1048	SNS-314	3.90625e-8	M
B07	NCIH1048	SNS-314	9.760000000000001e-9	M
B08	NCIH1048	SNS-314	2.4400000000000003e-9	M
B09	NCIH1048	SNS-314	6.100000000000001e-10	M
B10	NCIH1048	SNS-314	1.5e-10	M
B11	NCIH1048	SNS-314	0	M
B12	NCIH1048	SCH-1473759	0.000009999999999999999	M
B13	NCIH1048	SCH-1473759	0.0000024999999999999998	M
B14	NCIH1048	SCH-1473759	6.25e-7	M
B15	NCIH1048	SCH-1473759	1.5625e-7	M
B16	NCIH1048	SCH-1473759	3.90625e-8	M
B17	NCIH1048	SCH-1473759	9.760000000000001e-9	M
B18	NCIH1048	SCH-1473759	2.4400000000000003e-9	M
B19	NCIH1048	SCH-1473759	6.100000000000001e-10	M
B20	NCIH1048	SCH-1473759	1.5e-10	M
B21	NCIH1048	SCH-1473759	0	M
B22				M
B23				M
B24				M
C01				M
C02	NCIH1048	SNS-314	0.000009999999999999999	M
C03	NCIH1048	SNS-314	0.0000024999999999999998	M
C04	NCIH1048	SNS-314	6.25e-7	M
C05	NCIH1048	SNS-314	1.5625e-7	M
C06	NCIH1048	SNS-314	3.90625e-8	M
C07	NCIH1048	SNS-314	9.760000000000001e-9	M
C08	NCIH1048	SNS-314	2.4400000000000003e-9	M
C09	NCIH1048	SNS-314	6.100000000000001e-10	M
C10	NCIH1048	SNS-314	1.5e-10	M
C11	NCIH1048	SNS-314	0	M
C12	NCIH1048	SCH-1473759	0.000009999999999999999	M
C13	NCIH1048	SCH-1473759	0.0000024999999999999998	M
C14	NCIH1048	SCH-1473759	6.25e-7	M
C15	NCIH1048	SCH-1473759	1.5625e-7	M
C16	NCIH1048	SCH-1473759	3.90625e-8	M
C17	NCIH1048	SCH-1473759	9.760000000000001e-9	M
C18	NCIH1048	SCH-1473759	2.4400000000000003e-9	M
C19	NCIH1048	SCH-1473759	6.100000000000001e-10	M
C20	NCIH1048	SCH-1473759	1.5e-10	M
C21	NCIH1048	SCH-1473759	0	M
C22				M
C23				M
C24				M
D01				M
D02	NCIH1048	SNS-314	0.000009999999999999999	M
D03	NCIH1048	SNS-314	0.0000024999999999999998	M
D04	NCIH1048	SNS-314	6.25e-7	M
D05	NCIH1048	SNS-314	1.5625e-7	M
D06	NCIH1048	SNS-314	3.90625e-8	M
D07	NCIH1048	SNS-314	9.760000000000001e-9	M
D08	NCIH1048	SNS-314	2.4400000000000003e-9	M
D09	NCIH1048	SNS-314	6.100000000000001e-10	M
D10	NCIH1048	SNS-314	1.5e-10	M
D11	NCIH1048	SNS-314	0	M
D12	NCIH1048	SCH-1473759	0.000009999999999999999	M
D13	NCIH1048	SCH-1473759	0.0000024999999999999998	M
D14	NCIH1048	SCH-1473759	6.25e-7	M
D15	NCIH1048	SCH-1473759	1.5625e-7	M
D16	NCIH1048	SCH-1473759	3.90625e-8	M
D17	NCIH1048	SCH-1473759	9.760000000000001e-9	M
D18	NCIH1048	SCH-1473759	2.4400000000000003e-9	M
D19	NCIH1048	SCH-1473759	6.100000000000001e-10	M
D20	NCIH1048	SCH-1473759	1.5e-10	M
D21	NCIH1048	SCH-1473759	0	M
D22				M
D23				M
D24				M
E01				M
E02	NCIH1048	SNS-314	0.000009999999999999999	M
E03	NCIH1048	SNS-314	0.0000024999999999999998	M
E04	NCIH1048	SNS-314	6.25e-7	M
E05	NCIH1048	SNS-314	1.5625e-7	M
E06	NCIH1048	SNS-314	3.90625e-8	M
E07	NCIH1048	SNS-314	9.760000000000001e-9	M
E08	NCIH1048	SNS-314	2.4400000000000003e-9	M
E09	NCIH1048	SNS-314	6.100000000000001e-10	M
E10	NCIH1048	SNS-314	1.5e-10	M
E11	NCIH1048	SNS-314	0	M
E12	NCIH1048	SCH-1473759	0.000009999999999999999	M
E13	NCIH1048	SCH-1473759	0.0000024999999999999998	M
E14	NCIH1048	SCH-1473759	6.25e-7	M
E15	NCIH1048	SCH-1473759	1.5625e-7	M
E16	NCIH1048	SCH-1473759	3.90625e-8	M
E17	NCIH1048	SCH-1473759	9.760000000000001e-9	M
E18	NCIH1048	SCH-1473759	2.4400000000000003e-9	M
E19	NCIH1048	SCH-1473759	6.100000000000001e-10	M
E20	NCIH1048	SCH-1473759	1.5e-10	M
E21	NCIH1048	SCH-1473759	0	M
E22				M
E23				M
E24				M
F01				M
F02	NCIH1048	SNS-314	0.000009999999999999999	M
F03	NCIH1048	SNS-314	0.0000024999999999999998	M
F04	NCIH1048	SNS-314	6.25e-7	M
F05	NCIH1048	SNS-314	1.5625e-7	M
F06	NCIH1048	SNS-314	3.90625e-8	M
F07	NCIH1048	SNS-314	9.760000000000001e-9	M
F08	NCIH1048	SNS-314	2.4400000000000003e-9	M
F09	NCIH1048	SNS-314	6.100000000000001e-10	M
F10	NCIH1048	SNS-314	1.5e-10	M
F11	NCIH1048	SNS-314	0	M
F12	NCIH1048	SCH-1473759	0.000009999999999999999	M
F13	NCIH1048	SCH-1473759	0.0000024999999999999998	M
F14	NCIH1048	SCH-1473759	6.25e-7	M
F15	NCIH1048	SCH-1473759	1.5625e-7	M
F16	NCIH1048	SCH-1473759	3.90625e-8	M
F17	NCIH1048	SCH-1473759	9.760000000000001e-9	M
F18	NCIH1048	SCH-1473759	2.4400000000000003e-9	M
F19	NCIH1048	SCH-1473759	6.100000000000001e-10	M
F20	NCIH1048	SCH-1473759	1.5e-10	M
F21	NCIH1048	SCH-1473759	0	M
F22				M
F23				M
F24				M
G01				M
G02	NCIH1048	SNS-314	0.000009999999999999999	M
G03	NCIH1048	SNS-314	0.0000024999999999999998	M
G04	NCIH1048	SNS-314	6.25e-7	M
G05	NCIH1048	SNS-314	1.5625e-7	M
G06	NCIH1048	SNS-314	3.90625e-8	M
G07	NCIH1048	SNS-314	9.760000000000001e-9	M
G08	NCIH1048	SNS-314	2.4400000000000003e-9	M
G09	NCIH1048	SNS-314	6.100000000000001e-10	M
G10	NCIH1048	SNS-314	1.5e-10	M
G11	NCIH1048	SNS-314	0	M
G12	NCIH1048	SCH-1473759	0.000009999999999999999	M
G13	NCIH1048	SCH-1473759	0.0000024999999999999998	M
G14	NCIH1048	SCH-1473759	6.25e-7	M
G15	NCIH1048	SCH-1473759	1.5625e-7	M
G16	NCIH1048	SCH-1473759	3.90625e-8	M
G17	NCIH1048	SCH-1473759	9.760000000000001e-9	M
G18	NCIH1048	SCH-1473759	2.4400000000000003e-9	M
G19	NCIH1048	SCH-1473759	6.100000000000001e-10	M
G20	NCIH1048	SCH-1473759	1.5e-10	M
G21	NCIH1048	SCH-1473759	0	M
G22				M
G23				M
G24				M
H01				M
H02	NCIH1048	SNS-314	0.000009999999999999999	M
H03	NCIH1048	SNS-314	0.0000024999999999999998	M
H04	NCIH1048	SNS-314	6.25e-7	M
H05	NCIH1048	SNS-314	1.5625e-7	M
H06	NCIH1048	SNS-314	3.90625e-8	M
H07	NCIH1048	SNS-314	9.760000000000001e-9	M
H08	NCIH1048	SNS-314	2.4400000000000003e-9	M
H09	NCIH1048	SNS-314	6.100000000000001e-10	M
H10	NCIH1048	SNS-314	1.5e-10	M
H11	NCIH1048	SNS-314	0	M
H12	NCIH1048	SCH-1473759	0.000009999999999999999	M
H13	NCIH1048	SCH-1473759	0.0000024999999999999998	M
H14	NCIH1048	SCH-1473759	6.25e-7	M
H15	NCIH1048	SCH-1473759	1.5625e-7	M
H16	NCIH1048	SCH-1473759	3.90625e-8	M
H17	NCIH1048	SCH-1473759	9.760000000000001e-9	M
H18	NCIH1048	SCH-1473759	2.4400000000000003e-9	M
H19	NCIH1048	SCH-1473759	6.100000000000001e-10	M
H20	NCIH1048	SCH-1473759	1.5e-10	M
H21	NCIH1048	SCH-1473759	0	M
H22				M
H23				M
H24				M
I01				M
I02	NCIH1048	SNS-314	0.000009999999999999999	M
I03	NCIH1048	SNS-314	0.0000024999999999999998	M
I04	NCIH1048	SNS-314	6.25e-7	M
I05	NCIH1048	SNS-314	1.5625e-7	M
I06	NCIH1048	SNS-314	3.90625e-8	M
I07	NCIH1048	SNS-314	9.760000000000001e-9	M
I08	NCIH1048	SNS-314	2.4400000000000003e-9	M
I09	NCIH1048	SNS-314	6.100000000000001e-10	M
I10	NCIH1048	SNS-314	1.5e-10	M
I11	NCIH1048	SNS-314	0	M
I12	NCIH1048	SCH-1473759	0.000009999999999999999	M
I13	NCIH1048	SCH-1473759	0.0000024999999999999998	M
I14	NCIH1048	SCH-1473759	6.25e-7	M
I15	NCIH1048	SCH-1473759	1.5625e-7	M
I16	NCIH1048	SCH-1473759	3.90625e-8	M
I17	NCIH1048	SCH-1473759	9.760000000000001e-9	M
I18	NCIH1048	SCH-1473759	2.4400000000000003e-9	M
I19	NCIH1048	SCH-1473759	6.100000000000001e-10	M
I20	NCIH1048	SCH-1473759	1.5e-10	M
I21	NCIH1048	SCH-1473759	0	M
I22				M
I23				M
I24				M
J01				M
J02	NCIH1048	SNS-314	0.000009999999999999999	M
J03	NCIH1048	SNS-314	0.0000024999999999999998	M
J04	NCIH1048	SNS-314	6.25e-7	M
J05	NCIH1048	SNS-314	1.5625e-7	M
J06	NCIH1048	SNS-314	3.90625e-8	M
J07	NCIH1048	SNS-314	9.760000000000001e-9	M
J08	NCIH1048	SNS-314	2.4400000000000003e-9	M
J09	NCIH1048	SNS-314	6.100000000000001e-10	M
J10	NCIH1048	SNS-314	1.5e-10	M
J11	NCIH1048	SNS-314	0	M
