well	cell.line	drug1	drug1.conc	drug1.units
A01				M
A02				M
A03				M
A04				M
A05				M
A06				M
A07				M
A08				M
A09				M
A10				M
A11				M
A12				M
A13				M
A14				M
A15				M
A16				M
A17				M
A18				M
A19				M
A20				M
A21				M
A22				M
A23				M
A24				M
B01				M
B02				M
B03				M
B04				M
B05				M
B06				M
B07				M
B08				M
B09				M
B10				M
B11				M
B12				M
B13				M
B14				M
B15				M
B16				M
B17				M
B18				M
B19				M
B20				M
B21				M
B22				M
B23				M
B24				M
C01				M
C02	NCIH1048	TAK-901	0	M
C03	NCIH1048	TAK-901	0.000009960000000000001	M
C04	NCIH1048	TAK-901	0.0000024900000000000003	M
C05	NCIH1048	TAK-901	6.23e-7	M
C06	NCIH1048	TAK-901	1.56e-7	M
C07	NCIH1048	TAK-901	3.89e-8	M
C08	NCIH1048	TAK-901	9.340000000000001e-9	M
C09	NCIH1048	TAK-901	2.33e-9	M
C10	NCIH1048	TAK-901	6.23e-10	M
C11	NCIH1048	TAK-901	1.56e-10	M
C12	NCIH1048	TAK-901	7.78e-11	M
C13	NCIH1048	YM-155	0	M
C14	NCIH1048	YM-155	0.000009960000000000001	M
C15	NCIH1048	YM-155	0.0000024900000000000003	M
C16	NCIH1048	YM-155	1.56e-7	M
C17	NCIH1048	YM-155	1.56e-7	M
C18	NCIH1048	YM-155	3.89e-8	M
C19	NCIH1048	YM-155	9.340000000000001e-9	M
C20	NCIH1048	YM-155	2.33e-9	M
C21	NCIH1048	YM-155	6.23e-10	M
C22	NCIH1048	YM-155	1.56e-10	M
C23	NCIH1048	YM-155	7.78e-11	M
C24				M
D01				M
D02	NCIH1048	TAK-901	0	M
D03	NCIH1048	TAK-901	0.000009960000000000001	M
D04	NCIH1048	TAK-901	0.0000024900000000000003	M
D05	NCIH1048	TAK-901	6.23e-7	M
D06	NCIH1048	TAK-901	1.56e-7	M
D07	NCIH1048	TAK-901	3.89e-8	M
D08	NCIH1048	TAK-901	9.340000000000001e-9	M
D09	NCIH1048	TAK-901	2.33e-9	M
D10	NCIH1048	TAK-901	6.23e-10	M
D11	NCIH1048	TAK-901	1.56e-10	M
D12	NCIH1048	TAK-901	7.78e-11	M
D13	NCIH1048	YM-155	0	M
D14	NCIH1048	YM-155	0.000009960000000000001	M
D15	NCIH1048	YM-155	0.0000024900000000000003	M
D16	NCIH1048	YM-155	1.56e-7	M
D17	NCIH1048	YM-155	1.56e-7	M
D18	NCIH1048	YM-155	3.89e-8	M
D19	NCIH1048	YM-155	9.340000000000001e-9	M
D20	NCIH1048	YM-155	2.33e-9	M
D21	NCIH1048	YM-155	6.23e-10	M
D22	NCIH1048	YM-155	1.56e-10	M
D23	NCIH1048	YM-155	7.78e-11	M
D24				M
E01				M
E02	NCIH1048	TAK-901	0	M
E03	NCIH1048	TAK-901	0.000009960000000000001	M
E04	NCIH1048	TAK-901	0.0000024900000000000003	M
E05	NCIH1048	TAK-901	6.23e-7	M
E06	NCIH1048	TAK-901	1.56e-7	M
E07	NCIH1048	TAK-901	3.89e-8	M
E08	NCIH1048	TAK-901	9.340000000000001e-9	M
E09	NCIH1048	TAK-901	2.33e-9	M
E10	NCIH1048	TAK-901	6.23e-10	M
E11	NCIH1048	TAK-901	1.56e-10	M
E12	NCIH1048	TAK-901	7.78e-11	M
E13	NCIH1048	YM-155	0	M
E14	NCIH1048	YM-155	0.000009960000000000001	M
E15	NCIH1048	YM-155	0.0000024900000000000003	M
E16	NCIH1048	YM-155	1.56e-7	M
E17	NCIH1048	YM-155	1.56e-7	M
E18	NCIH1048	YM-155	3.89e-8	M
E19	NCIH1048	YM-155	9.340000000000001e-9	M
E20	NCIH1048	YM-155	2.33e-9	M
E21	NCIH1048	YM-155	6.23e-10	M
E22	NCIH1048	YM-155	1.56e-10	M
E23	NCIH1048	YM-155	7.78e-11	M
E24				M
F01				M
F02	NCIH1048	SCH-1473759	0	M
F03	NCIH1048	SCH-1473759	0.000009960000000000001	M
F04	NCIH1048	SCH-1473759	0.0000024900000000000003	M
F05	NCIH1048	SCH-1473759	6.23e-7	M
F06	NCIH1048	SCH-1473759	1.56e-7	M
F07	NCIH1048	SCH-1473759	3.89e-8	M
F08	NCIH1048	SCH-1473759	9.340000000000001e-9	M
F09	NCIH1048	SCH-1473759	2.33e-9	M
F10	NCIH1048	SCH-1473759	6.23e-10	M
F11	NCIH1048	SCH-1473759	1.56e-10	M
F12	NCIH1048	SCH-1473759	7.78e-11	M
F13	NCIH1048	AZD-1152	0	M
F14	NCIH1048	AZD-1152	0.000009960000000000001	M
F15	NCIH1048	AZD-1152	0.0000024900000000000003	M
F16	NCIH1048	AZD-1152	1.56e-7	M
F17	NCIH1048	AZD-1152	1.56e-7	M
F18	NCIH1048	AZD-1152	3.89e-8	M
F19	NCIH1048	AZD-1152	9.340000000000001e-9	M
F20	NCIH1048	AZD-1152	2.33e-9	M
F21	NCIH1048	AZD-1152	6.23e-10	M
F22	NCIH1048	AZD-1152	1.56e-10	M
F23	NCIH1048	AZD-1152	7.78e-11	M
F24				M
G01				M
G02	NCIH1048	SCH-1473759	0	M
G03	NCIH1048	SCH-1473759	0.000009960000000000001	M
G04	NCIH1048	SCH-1473759	0.0000024900000000000003	M
G05	NCIH1048	SCH-1473759	6.23e-7	M
G06	NCIH1048	SCH-1473759	1.56e-7	M
G07	NCIH1048	SCH-1473759	3.89e-8	M
G08	NCIH1048	SCH-1473759	9.340000000000001e-9	M
G09	NCIH1048	SCH-1473759	2.33e-9	M
G10	NCIH1048	SCH-1473759	6.23e-10	M
G11	NCIH1048	SCH-1473759	1.56e-10	M
G12	NCIH1048	SCH-1473759	7.78e-11	M
G13	NCIH1048	AZD-1152	0	M
G14	NCIH1048	AZD-1152	0.000009960000000000001	M
G15	NCIH1048	AZD-1152	0.0000024900000000000003	M
G16	NCIH1048	AZD-1152	1.56e-7	M
G17	NCIH1048	AZD-1152	1.56e-7	M
G18	NCIH1048	AZD-1152	3.89e-8	M
G19	NCIH1048	AZD-1152	9.340000000000001e-9	M
G20	NCIH1048	AZD-1152	2.33e-9	M
G21	NCIH1048	AZD-1152	6.23e-10	M
G22	NCIH1048	AZD-1152	1.56e-10	M
G23	NCIH1048	AZD-1152	7.78e-11	M
G24				M
H01				M
H02	NCIH1048	SCH-1473759	0	M
H03	NCIH1048	SCH-1473759	0.000009960000000000001	M
H04	NCIH1048	SCH-1473759	0.0000024900000000000003	M
H05	NCIH1048	SCH-1473759	6.23e-7	M
H06	NCIH1048	SCH-1473759	1.56e-7	M
H07	NCIH1048	SCH-1473759	3.89e-8	M
H08	NCIH1048	SCH-1473759	9.340000000000001e-9	M
H09	NCIH1048	SCH-1473759	2.33e-9	M
H10	NCIH1048	SCH-1473759	6.23e-10	M
H11	NCIH1048	SCH-1473759	1.56e-10	M
H12	NCIH1048	SCH-1473759	7.78e-11	M
H13	NCIH1048	AZD-1152	0	M
H14	NCIH1048	AZD-1152	0.000009960000000000001	M
H15	NCIH1048	AZD-1152	0.0000024900000000000003	M
H16	NCIH1048	AZD-1152	1.56e-7	M
H17	NCIH1048	AZD-1152	1.56e-7	M
H18	NCIH1048	AZD-1152	3.89e-8	M
H19	NCIH1048	AZD-1152	9.340000000000001e-9	M
H20	NCIH1048	AZD-1152	2.33e-9	M
H21	NCIH1048	AZD-1152	6.23e-10	M
H22	NCIH1048	AZD-1152	1.56e-10	M
H23	NCIH1048	AZD-1152	7.78e-11	M
H24				M
I01				M
I02	NCIH1048	trametinib	0	M
I03	NCIH1048	trametinib	0.000009960000000000001	M
I04	NCIH1048	trametinib	0.0000024900000000000003	M
I05	NCIH1048	trametinib	6.23e-7	M
I06	NCIH1048	trametinib	1.56e-7	M
I07	NCIH1048	trametinib	3.89e-8	M
I08	NCIH1048	trametinib	9.340000000000001e-9	M
I09	NCIH1048	trametinib	2.33e-9	M
I10	NCIH1048	trametinib	6.23e-10	M
I11	NCIH1048	trametinib	1.56e-10	M
I12	NCIH1048	trametinib	7.78e-11	M
I13	NCIH1048	pimasertib	0	M
I14	NCIH1048	pimasertib	0.000009960000000000001	M
I15	NCIH1048	pimasertib	0.0000024900000000000003	M
I16	NCIH1048	pimasertib	1.56e-7	M
I17	NCIH1048	pimasertib	1.56e-7	M
I18	NCIH1048	pimasertib	3.89e-8	M
I19	NCIH1048	pimasertib	9.340000000000001e-9	M
I20	NCIH1048	pimasertib	2.33e-9	M
I21	NCIH1048	pimasertib	6.23e-10	M
I22	NCIH1048	pimasertib	1.56e-10	M
I23	NCIH1048	pimasertib	7.78e-11	M
I24				M
J01				M
J02	NCIH1048	trametinib	0	M
J03	NCIH1048	trametinib	0.000009960000000000001	M
J04	NCIH1048	trametinib	0.0000024900000000000003	M
J05	NCIH1048	trametinib	6.23e-7	M
J06	NCIH1048	trametinib	1.56e-7	M
J07	NCIH1048	trametinib	3.89e-8	M
J08	NCIH1048	trametinib	9.340000000000001e-9	M
J09	NCIH1048	trametinib	2.33e-9	M
J10	NCIH1048	trametinib	6.23e-10	M
J11	NCIH1048	trametinib	1.56e-10	M
J12	NCIH1048	trametinib	7.78e-11	M
J13	NCIH1048	pimasertib	0	M
J14	NCIH1048	pimasertib	0.000009960000000000001	M
J15	NCIH1048	pimasertib	0.0000024900000000000003	M
J16	NCIH1048	pimasertib	1.56e-7	M
J17	NCIH1048	pimasertib	1.56e-7	M
J18	NCIH1048	pimasertib	3.89e-8	M
J19	NCIH1048	pimasertib	9.340000000000001e-9	M
J20	NCIH1048	pimasertib	2.33e-9	M
J21	NCIH1048	pimasertib	6.23e-10	M
J22	NCIH1048	pimasertib	1.56e-10	M
J23	NCIH1048	pimasertib	7.78e-11	M
J24				M
K01				M
K02	NCIH1048	trametinib	0	M
K03	NCIH1048	trametinib	0.000009960000000000001	M
K04	NCIH1048	trametinib	0.0000024900000000000003	M
K05	NCIH1048	trametinib	6.23e-7	M
K06	NCIH1048	trametinib	1.56e-7	M
