well	cell.line	drug1	drug1.conc	drug1.units
A01				M
A02				M
A03				M
A04				M
A05				M
A06				M
A07				M
A08				M
A09				M
A10				M
A11				M
A12				M
A13				M
A14				M
A15				M
A16				M
A17				M
A18				M
A19				M
A20				M
A21				M
A22				M
A23				M
A24				M
B01				M
B02				M
B03				M
B04				M
B05				M
B06				M
B07				M
B08				M
B09				M
B10				M
B11				M
B12				M
B13				M
B14				M
B15				M
B16				M
B17				M
B18				M
B19				M
B20				M
B21				M
B22				M
B23				M
B24				M
C01				M
C02	293FT	TAK-901	0	M
C03	293FT	TAK-901	0.000009960000000000001	M
C04	293FT	TAK-901	0.0000024900000000000003	M
C05	293FT	TAK-901	6.23e-7	M
C06	293FT	TAK-901	1.56e-7	M
C07	293FT	TAK-901	3.89e-8	M
C08	293FT	TAK-901	9.340000000000001e-9	M
C09	293FT	TAK-901	2.33e-9	M
C10	293FT	TAK-901	6.23e-10	M
C11	293FT	TAK-901	1.56e-10	M
C12	293FT	TAK-901	7.78e-11	M
C13	293FT	YM-155	0	M
C14	293FT	YM-155	0.000009960000000000001	M
C15	293FT	YM-155	0.0000024900000000000003	M
C16	293FT	YM-155	1.56e-7	M
C17	293FT	YM-155	1.56e-7	M
C18	293FT	YM-155	3.89e-8	M
C19	293FT	YM-155	9.340000000000001e-9	M
C20	293FT	YM-155	2.33e-9	M
C21	293FT	YM-155	6.23e-10	M
C22	293FT	YM-155	1.56e-10	M
C23	293FT	YM-155	7.78e-11	M
C24				M
D01				M
D02	293FT	TAK-901	0	M
D03	293FT	TAK-901	0.000009960000000000001	M
D04	293FT	TAK-901	0.0000024900000000000003	M
D05	293FT	TAK-901	6.23e-7	M
D06	293FT	TAK-901	1.56e-7	M
D07	293FT	TAK-901	3.89e-8	M
D08	293FT	TAK-901	9.340000000000001e-9	M
D09	293FT	TAK-901	2.33e-9	M
D10	293FT	TAK-901	6.23e-10	M
D11	293FT	TAK-901	1.56e-10	M
D12	293FT	TAK-901	7.78e-11	M
D13	293FT	YM-155	0	M
D14	293FT	YM-155	0.000009960000000000001	M
D15	293FT	YM-155	0.0000024900000000000003	M
D16	293FT	YM-155	1.56e-7	M
D17	293FT	YM-155	1.56e-7	M
D18	293FT	YM-155	3.89e-8	M
D19	293FT	YM-155	9.340000000000001e-9	M
D20	293FT	YM-155	2.33e-9	M
D21	293FT	YM-155	6.23e-10	M
D22	293FT	YM-155	1.56e-10	M
D23	293FT	YM-155	7.78e-11	M
D24				M
E01				M
E02	293FT	TAK-901	0	M
E03	293FT	TAK-901	0.000009960000000000001	M
E04	293FT	TAK-901	0.0000024900000000000003	M
E05	293FT	TAK-901	6.23e-7	M
E06	293FT	TAK-901	1.56e-7	M
E07	293FT	TAK-901	3.89e-8	M
E08	293FT	TAK-901	9.340000000000001e-9	M
E09	293FT	TAK-901	2.33e-9	M
E10	293FT	TAK-901	6.23e-10	M
E11	293FT	TAK-901	1.56e-10	M
E12	293FT	TAK-901	7.78e-11	M
E13	293FT	YM-155	0	M
E14	293FT	YM-155	0.000009960000000000001	M
E15	293FT	YM-155	0.0000024900000000000003	M
E16	293FT	YM-155	1.56e-7	M
E17	293FT	YM-155	1.56e-7	M
E18	293FT	YM-155	3.89e-8	M
E19	293FT	YM-155	9.340000000000001e-9	M
E20	293FT	YM-155	2.33e-9	M
E21	293FT	YM-155	6.23e-10	M
E22	293FT	YM-155	1.56e-10	M
E23	293FT	YM-155	7.78e-11	M
E24				M
F01				M
F02	293FT	SCH-1473759	0	M
F03	293FT	SCH-1473759	0.000009960000000000001	M
F04	293FT	SCH-1473759	0.0000024900000000000003	M
F05	293FT	SCH-1473759	6.23e-7	M
F06	293FT	SCH-1473759	1.56e-7	M
F07	293FT	SCH-1473759	3.89e-8	M
F08	293FT	SCH-1473759	9.340000000000001e-9	M
F09	293FT	SCH-1473759	2.33e-9	M
F10	293FT	SCH-1473759	6.23e-10	M
F11	293FT	SCH-1473759	1.56e-10	M
F12	293FT	SCH-1473759	7.78e-11	M
F13	293FT	AZD-1152	0	M
F14	293FT	AZD-1152	0.000009960000000000001	M
F15	293FT	AZD-1152	0.0000024900000000000003	M
F16	293FT	AZD-1152	1.56e-7	M
F17	293FT	AZD-1152	1.56e-7	M
F18	293FT	AZD-1152	3.89e-8	M
F19	293FT	AZD-1152	9.340000000000001e-9	M
F20	293FT	AZD-1152	2.33e-9	M
F21	293FT	AZD-1152	6.23e-10	M
F22	293FT	AZD-1152	1.56e-10	M
F23	293FT	AZD-1152	7.78e-11	M
F24				M
G01				M
G02	293FT	SCH-1473759	0	M
G03	293FT	SCH-1473759	0.000009960000000000001	M
G04	293FT	SCH-1473759	0.0000024900000000000003	M
G05	293FT	SCH-1473759	6.23e-7	M
G06	293FT	SCH-1473759	1.56e-7	M
G07	293FT	SCH-1473759	3.89e-8	M
G08	293FT	SCH-1473759	9.340000000000001e-9	M
G09	293FT	SCH-1473759	2.33e-9	M
G10	293FT	SCH-1473759	6.23e-10	M
G11	293FT	SCH-1473759	1.56e-10	M
G12	293FT	SCH-1473759	7.78e-11	M
G13	293FT	AZD-1152	0	M
G14	293FT	AZD-1152	0.000009960000000000001	M
G15	293FT	AZD-1152	0.0000024900000000000003	M
G16	293FT	AZD-1152	1.56e-7	M
G17	293FT	AZD-1152	1.56e-7	M
G18	293FT	AZD-1152	3.89e-8	M
G19	293FT	AZD-1152	9.340000000000001e-9	M
G20	293FT	AZD-1152	2.33e-9	M
G21	293FT	AZD-1152	6.23e-10	M
G22	293FT	AZD-1152	1.56e-10	M
G23	293FT	AZD-1152	7.78e-11	M
G24				M
H01				M
H02	293FT	SCH-1473759	0	M
H03	293FT	SCH-1473759	0.000009960000000000001	M
H04	293FT	SCH-1473759	0.0000024900000000000003	M
H05	293FT	SCH-1473759	6.23e-7	M
H06	293FT	SCH-1473759	1.56e-7	M
H07	293FT	SCH-1473759	3.89e-8	M
H08	293FT	SCH-1473759	9.340000000000001e-9	M
H09	293FT	SCH-1473759	2.33e-9	M
H10	293FT	SCH-1473759	6.23e-10	M
H11	293FT	SCH-1473759	1.56e-10	M
H12	293FT	SCH-1473759	7.78e-11	M
H13	293FT	AZD-1152	0	M
H14	293FT	AZD-1152	0.000009960000000000001	M
H15	293FT	AZD-1152	0.0000024900000000000003	M
H16	293FT	AZD-1152	1.56e-7	M
H17	293FT	AZD-1152	1.56e-7	M
H18	293FT	AZD-1152	3.89e-8	M
H19	293FT	AZD-1152	9.340000000000001e-9	M
H20	293FT	AZD-1152	2.33e-9	M
H21	293FT	AZD-1152	6.23e-10	M
H22	293FT	AZD-1152	1.56e-10	M
H23	293FT	AZD-1152	7.78e-11	M
H24				M
I01				M
I02	293FT	trametinib	0	M
I03	293FT	trametinib	0.000009960000000000001	M
I04	293FT	trametinib	0.0000024900000000000003	M
I05	293FT	trametinib	6.23e-7	M
I06	293FT	trametinib	1.56e-7	M
I07	293FT	trametinib	3.89e-8	M
I08	293FT	trametinib	9.340000000000001e-9	M
I09	293FT	trametinib	2.33e-9	M
I10	293FT	trametinib	6.23e-10	M
I11	293FT	trametinib	1.56e-10	M
I12	293FT	trametinib	7.78e-11	M
I13	293FT	pimasertib	0	M
I14	293FT	pimasertib	0.000009960000000000001	M
I15	293FT	pimasertib	0.0000024900000000000003	M
I16	293FT	pimasertib	1.56e-7	M
I17	293FT	pimasertib	1.56e-7	M
I18	293FT	pimasertib	3.89e-8	M
I19	293FT	pimasertib	9.340000000000001e-9	M
I20	293FT	pimasertib	2.33e-9	M
I21	293FT	pimasertib	6.23e-10	M
I22	293FT	pimasertib	1.56e-10	M
I23	293FT	pimasertib	7.78e-11	M
I24				M
J01				M
J02	293FT	trametinib	0	M
J03	293FT	trametinib	0.000009960000000000001	M
J04	293FT	trametinib	0.0000024900000000000003	M
J05	293FT	trametinib	6.23e-7	M
J06	293FT	trametinib	1.56e-7	M
J07	293FT	trametinib	3.89e-8	M
J08	293FT	trametinib	9.340000000000001e-9	M
J09	293FT	trametinib	2.33e-9	M
J10	293FT	trametinib	6.23e-10	M
J11	293FT	trametinib	1.56e-10	M
J12	293FT	trametinib	7.78e-11	M
J13	293FT	pimasertib	0	M
J14	293FT	pimasertib	0.000009960000000000001	M
J15	293FT	pimasertib	0.0000024900000000000003	M
J16	293FT	pimasertib	1.56e-7	M
J17	293FT	pimasertib	1.56e-7	M
J18	293FT	pimasertib	3.89e-8	M
J19	293FT	pimasertib	9.340000000000001e-9	M
J20	293FT	pimasertib	2.33e-9	M
J21	293FT	pimasertib	6.23e-10	M
J22	293FT	pimasertib	1.56e-10	M
J23	293FT	pimasertib	7.78e-11	M
J24				M
K01				M
K02	293FT	trametinib	0	M
K03	293FT	trametinib	0.000009960000000000001	M
K04	293FT	trametinib	0.0000024900000000000003	M
K05	293FT	trametinib	6.23e-7	M
K06	293FT	trametinib	1.56e-7	M
K07	293FT	trametinib	3.89e-8	M
K08	293FT	trametinib	9.340000000000001e-9	M
K09	293FT	trametinib	2.33e-9	M
K10	293FT	trametinib	6.23e-10	M
K11	293FT	trametinib	1.56e-10	M
K12	293FT	trametinib	7.78e-11	M
K13	293FT	pimasertib	0	M
K14	293FT	pimasertib	0.000009960000000000001	M
K15	293FT	pimasertib	0.0000024900000000000003	M
K16	293FT	pimasertib	1.56e-7	M
K17	293FT	pimasertib	1.56e-7	M
K18	293FT	pimasertib	3.89e-8	M
K19	293FT	pimasertib	9.340000000000001e-9	M
K20	293FT	pimasertib	2.33e-9	M
K21	293FT	pimasertib	6.23e-10	M
K22	293FT	pimasertib	1.56e-10	M
K23	293FT	pimasertib	7.78e-11	M
K24				M
L01				M
L02	293FT	SNS-314	0	M
L03	293FT	SNS-314	0.000009960000000000001	M
L04	293FT	SNS-314	0.0000024900000000000003	M
L05	293FT	SNS-314	6.23e-7	M
L06	293FT	SNS-314	1.56e-7	M
L07	293FT	SNS-314	3.89e-8	M
L08	293FT	SNS-314	9.340000000000001e-9	M
