,TotHour,10um1,2.5um1,625nm1,156.25nm1,39nm1,9.76nm1,2.44nm1,0.61nm1,0.15nm1,DMSO1,10um2,2.5um2,625nm2,156.25nm2,39nm2,9.76nm2,2.44nm2,0.61nm2,0.15nm2,DMSO2,10um3,2.5um3,625nm3,156.25nm3,39nm3,9.76nm3,2.44nm3,0.61nm3,0.15nm3,DMSO3
0,0.0,13396,20363,21797,25677,26521,25819,23974,23180,25456,24118,12700,16036,23614,22187,25164,21262,24668,23641,25767,22292,12175,17728,22514,22969,24532,21354,23811,23637,26731,23487
1,29.68888888888889,10824,19671,24603,27430,30320,30530,30779,30027,35933,33695,9967,17728,26970,24095,28802,28015,30378,31073,32589,31985,9862,17104,26256,26098,30287,26241,29926,31025,35051,31935
2,44.26027777777778,9522,18197,23824,28254,29111,31478,32525,30467,37536,36324,9039,15960,25497,23224,28940,27380,30485,32807,34304,33640,8945,16476,24424,23773,28243,24943,28893,31400,36274,34370
3,46.03361111111111,9356,18665,24902,28163,29822,31331,32345,30244,38174,37052,8976,16765,25860,23274,29299,27210,30810,32763,34249,34057,9216,16235,24887,25043,29756,25144,30026,31868,35991,34253
4,54.73416666666667,9232,17801,24467,27784,29497,31391,31755,31692,37709,36575,8820,15495,24994,24217,29521,27380,30891,32712,33988,33746,8424,15060,23925,24136,29433,25162,30004,31867,35900,34767
5,68.00138888888888,8277,16345,21393,24945,26496,28422,28577,28964,34298,33697,7225,14026,22131,22254,26740,25298,28528,30264,31412,32238,7415,14904,21532,21710,25466,23647,28236,29859,33584,33285
6,79.075,6462,14586,19713,21786,24120,25101,26235,26693,32113,31870,6279,11922,19737,19914,24064,22790,26816,28091,28603,29989,6216,12265,19299,19749,24186,21360,25223,27448,30680,29950
7,94.90777777777778,4474,12458,15894,18931,19975,22020,22969,22507,26700,27090,4405,10426,16649,16868,20514,20563,22972,24320,24340,25195,4084,10668,16113,17030,19847,18296,21179,24182,26047,26379
8,107.17222222222223,3406,10029,14227,16471,17876,19248,21049,20667,22963,24947,3293,9208,14209,15602,17385,17844,20167,21268,21895,23043,3614,8910,14173,15189,16776,16835,19350,21935,23759,23069
9,120.03611111111111,3145,9569,12545,14679,16025,17763,18973,18876,20379,21671,3001,8490,12438,13676,16216,16504,18669,18758,19209,19484,3075,8026,12276,13712,14800,15649,17334,19215,21709,20963
