,TotHour,10um1,2.5um1,625nm1,156.25nm1,39nm1,9.76nm1,2.44nm1,0.61nm1,0.15nm1,DMSO1,10um2,2.5um2,625nm2,156.25nm2,39nm2,9.76nm2,2.44nm2,0.61nm2,0.15nm2,DMSO2,10um3,2.5um3,625nm3,156.25nm3,39nm3,9.76nm3,2.44nm3,0.61nm3,0.15nm3,DMSO3
0,0.0,22469,24578,25612,23480,27838,22416,27012,24529,24912,23306,17640,24521,27766,23736,26510,25322,25066,24646,23321,23203,21013,29076,26678,28512,25781,24503,26218,22456,24576,24218
1,29.68888888888889,26248,27352,29238,28082,30561,29833,35022,32072,32465,31527,20302,28121,33650,28755,32006,32098,32364,33252,31579,31764,23462,31420,32907,32944,32084,31560,34282,30404,31636,32485
2,44.26027777777778,23892,26528,30222,27499,29917,30491,35390,33208,33761,33682,21331,27693,33744,27669,32264,34995,33624,34292,32206,33749,22774,31497,33439,32422,33987,33154,35975,32229,33137,35230
3,46.03361111111111,21832,25055,29946,26385,29929,30267,36328,33317,34049,35200,19671,26143,32122,27422,31095,31577,33784,34842,33329,34161,20336,30059,32623,30856,32280,32015,35063,30941,33596,36083
4,54.73416666666667,21405,25175,28302,25246,28787,29958,35407,33323,33087,35140,20886,26449,32463,28299,31794,32302,34065,33880,32894,34846,22038,30454,33264,31085,32033,33646,35752,32107,33841,34948
5,68.00138888888888,19059,23733,25636,23317,25815,28675,33110,31061,31179,33100,18946,24694,29244,24868,29050,31093,32264,32553,31759,32021,20360,27639,29840,29164,29462,31622,33296,29157,31688,33688
6,79.075,18905,20562,22805,22416,23334,26516,29875,30183,28982,30588,16769,22995,26965,22565,26384,30961,30848,31360,28498,29604,17772,24705,27060,25935,26488,29619,31961,29173,30637,32480
7,94.90777777777778,14318,16478,20367,18296,20382,22967,26922,25158,25822,25672,13581,19289,21294,19020,21226,25037,25365,25326,24397,24575,13207,21153,22732,21546,22472,24051,26079,24762,24808,26609
8,107.17222222222223,12375,16391,17577,17450,17685,20910,22957,22702,22583,22971,11508,17535,19579,16540,19593,23510,23808,23766,22619,24246,11227,19457,19635,19290,19609,23263,23764,22790,23139,24919
9,120.03611111111111,11391,14548,16441,15260,17086,20151,21200,20868,19740,20936,9428,15729,17428,15404,17840,20311,21208,21279,19389,19498,9697,17101,17522,17890,17855,21316,21927,20664,20176,20898
